期間,總計,未(稍)受污染,輕度污染,中度污染,嚴重污染
2010,"2,933.9","1,835.9",216.1,720.6,161.4
2011,"2,933.9","1,869.6",291.8,616.2,156.3
2012,"2,933.9","1,840.1",284.2,704.1,105.4
2013,"2,933.9","1,799.8",257.0,742.2,134.9
