期間,發行部門-其他貨幣機構_原始值,發行部門-其他貨幣機構_年增率(%),持有部門-其他貨幣機構_原始值,持有部門-其他貨幣機構_年增率(%),持有部門-保險公司及退休基金_原始值,持有部門-保險公司及退休基金_年增率(%),持有部門-其他金融機構_原始值,持有部門-其他金融機構_年增率(%),持有部門-公營事業_原始值,持有部門-公營事業_年增率(%),持有部門-民營企業_原始值,持有部門-民營企業_年增率(%),持有部門-家庭及非營利團體_原始值,持有部門-家庭及非營利團體_年增率(%),持有部門-國外_原始值,持有部門-國外_年增率(%)
2006,"925,915",14.14,"159,420",20.31,"398,417",45.55,"229,934",-27.64,"7,869",256.55,"18,307",103.32,"107,167",41.05,"4,800",--
2007,"917,393",-0.92,"137,504",-13.75,"430,550",8.06,"163,171",-29.04,"11,653",48.09,"19,709",7.66,"150,006",39.97,"4,801",0.02
2008,"896,031",-2.33,"113,921",-17.15,"510,461",18.56,"135,321",-17.07,"15,082",29.43,"12,354",-37.32,"104,090",-30.61,"4,801",0.00
