期間,收受部門--中央銀行,存款部門--存款貨幣機構,存款部門--其他金融機構
1982,"229,616","226,319","3,297"
1983,"182,644","181,381","1,263"
1984,"123,527","122,113","1,414"
1985,"64,635","57,329","7,306"
1986,"57,308","53,842","3,466"
