期間,新臺幣_原始值,新臺幣_年增率(%),日圓_原始值,日圓_年增率(%),馬克_原始值,馬克_年增率(%),英鎊_原始值,英鎊_年增率(%),法國法郎_原始值,法國法郎_年增率(%),港幣_原始值,港幣_年增率(%),韓元_原始值,韓元_年增率(%),加拿大幣_原始值,加拿大幣_年增率(%),新加坡元_原始值,新加坡元_年增率(%),人民幣_原始值,人民幣_年增率(%),澳幣_原始值,澳幣_年增率(%),印尼盾_原始值,印尼盾_年增率(%),荷蘭幣_原始值,荷蘭幣_年增率(%),泰銖_原始值,泰銖_年增率(%),馬來西亞幣_原始值,馬來西亞幣_年增率(%),菲律賓披索_原始值,菲律賓披索_年增率(%),歐元_原始值,歐元_年增率(%)
1960,40.0000,...,360.0000,...,4.2000,...,0.3571,...,4.9371,...,5.7143,...,63.1250,...,0.9698,...,3.0612,...,2.4618,...,0.8929,...,...,...,3.8000,...,21.1818,...,3.0612,...,2.0150,...,-,--
1961,40.0000,0.00,360.0000,0.00,4.0333,4.13,0.3571,0.00,4.9371,0.00,5.7143,0.00,124.7920,-49.42,1.0131,-4.27,3.0612,0.00,2.4618,0.00,0.8929,0.00,...,...,3.6500,4.11,21.0584,0.59,3.0612,0.00,2.0200,-0.25,-,--
1962,40.0000,0.00,360.0000,0.00,4.0000,0.83,0.3571,0.00,4.9371,0.00,5.7143,0.00,130.0000,-4.01,1.0688,-5.21,3.0612,0.00,2.4618,0.00,0.8929,0.00,...,...,3.6200,0.83,20.8801,0.85,3.0612,0.00,3.7279,-45.81,-,--
1963,40.0000,0.00,360.0000,0.00,4.0000,0.00,0.3571,0.00,4.9371,0.00,5.7143,0.00,130.0000,0.00,1.0785,-0.90,3.0612,0.00,2.4618,0.00,0.8929,0.00,...,...,3.6200,0.00,20.8301,0.24,3.0612,0.00,3.9104,-4.67,-,--
1964,40.0000,0.00,360.0000,0.00,4.0000,0.00,0.3571,0.00,4.9371,0.00,5.7143,0.00,213.8470,-39.21,1.0786,-0.01,3.0612,0.00,2.4618,0.00,0.8929,0.00,...,...,3.6200,0.00,20.8000,0.14,3.0612,0.00,3.9100,0.01,-,--
1965,40.0000,0.00,360.0000,0.00,4.0000,0.00,0.3571,0.00,4.9371,0.00,5.7143,0.00,266.4010,-19.73,1.0780,0.06,3.0612,0.00,2.4618,0.00,0.8929,0.00,...,...,3.6200,0.00,20.8000,0.00,3.0612,0.00,3.9092,0.02,-,--
1966,40.0000,0.00,360.0000,0.00,4.0000,0.00,0.3571,0.00,4.9371,0.00,5.7143,0.00,271.3370,-1.82,1.0773,0.06,3.0612,0.00,2.4618,0.00,0.8929,0.00,...,...,3.6200,0.00,20.8000,0.00,3.0612,0.00,3.9000,0.24,-,--
1967,40.0000,0.00,360.0000,0.00,4.0000,0.00,0.3614,-1.19,4.9371,0.00,5.7432,-0.50,270.5170,0.30,1.0787,-0.13,3.0612,0.00,2.4618,0.00,0.8929,0.00,149.5830,...,3.6200,0.00,20.8000,0.00,3.0612,0.00,3.9000,0.00,-,--
1968,40.0000,0.00,360.0000,0.00,4.0000,0.00,0.4167,-13.25,4.9371,0.00,6.0606,-5.24,276.6450,-2.22,1.0775,0.12,3.0612,0.00,2.4618,0.00,0.8929,0.00,296.2920,-49.52,3.6200,0.00,20.8000,0.00,3.0612,0.00,3.9000,0.00,-,--
1969,40.0000,0.00,360.0000,0.00,3.9433,1.44,0.4167,0.00,5.1942,-4.95,6.0606,0.00,288.1610,-4.00,1.0768,0.06,3.0612,0.00,2.4618,0.00,0.8929,0.00,326.0000,-9.11,3.6200,0.00,20.8000,0.00,3.0612,0.00,3.9000,0.00,-,--
1970,40.0000,0.00,360.0000,0.00,3.6600,7.74,0.4167,0.00,5.5542,-6.48,6.0606,0.00,310.5560,-7.21,1.0449,3.05,3.0612,0.00,2.4618,0.00,0.8929,0.00,362.8330,-10.15,3.6200,0.00,20.8000,0.00,3.0612,0.00,5.9043,-33.95,-,--
1971,40.0000,0.00,350.6780,2.66,3.5074,4.35,0.4108,1.43,5.5406,0.25,5.9804,1.34,347.1470,-10.54,1.0098,3.48,3.0507,0.34,2.4618,0.00,0.8817,1.27,391.8750,-7.41,3.5171,2.93,20.8000,0.00,3.0523,0.29,6.4317,-8.20,-,--
1972,40.0000,0.00,303.1720,15.67,3.1886,10.00,0.3997,2.77,5.0445,9.83,5.6414,6.01,392.8940,-11.64,0.9899,2.01,2.8125,8.47,2.2451,9.65,0.8387,5.12,415.0000,-5.57,3.2095,9.58,20.8000,0.00,2.8196,8.25,6.6748,-3.64,-,--
