期間,總入境人數(人次)_原始值,總入境人數(人次)_年增率(%),男性_原始值,男性_年增率(%),女性_原始值,女性_年增率(%),0 - 14 歲_原始值,0 - 14 歲_年增率(%),15 - 64歲_原始值,15 - 64歲_年增率(%),65歲以上_原始值,65歲以上_年增率(%),本國人民 (含金馬地區)_原始值,本國人民 (含金馬地區)_年增率(%),大陸地區人民_原始值,大陸地區人民_年增率(%),香港澳門居民_原始值,香港澳門居民_年增率(%),本國無戶籍國民_原始值,本國無戶籍國民_年增率(%),外國人_原始值,外國人_年增率(%)
2003M08,"929,212",-5.64,"527,343",-4.12,"401,869",-7.56,"99,570",-7.42,"788,537",-5.53,"41,105",-3.28,"728,598",-1.37,"11,022",-19.41,"29,680",-20.12,"2,105",-65.50,"157,807",-16.57
2003M09,"833,034",1.53,"506,915",2.85,"326,119",-0.45,"21,738",10.29,"755,944",1.04,"55,352",5.22,"614,440",4.70,"14,504",3.57,"25,781",-6.04,"1,869",-28.06,"176,440",-6.93
2003M10,"863,049",-0.52,"518,704",-0.68,"344,345",-0.28,"24,669",30.50,"772,577",-0.47,"65,803",-9.16,"639,497",4.97,"15,063",18.52,"25,676",-21.27,"1,615",-69.82,"181,198",-12.75
2003M11,"811,401",2.72,"500,854",2.27,"310,547",3.46,"21,934",14.62,"731,251",2.66,"58,216",-0.38,"570,052",6.70,"17,002",20.67,"25,329",-21.36,"1,537",-77.22,"197,481",-2.53
2003M12,"792,632",-1.98,"477,256",-2.06,"315,376",-1.85,"32,702",-5.51,"718,502",-1.51,"41,428",-6.93,"546,950",4.52,"16,282",7.27,"32,798",-18.82,"1,839",-81.34,"194,763",-11.42
2004M01,"860,503",7.46,"502,810",2.51,"357,693",15.28,"73,807",58.82,"752,939",5.07,"33,757",-10.43,"647,649",15.09,"13,560",-6.39,"26,993",10.66,"2,091",-2.97,"170,210",-13.60
2004M02,"708,913",-9.55,"423,138",-3.72,"285,775",-16.99,"39,998",-32.77,"635,904",-7.13,"33,011",-16.46,"487,893",-6.85,"15,315",16.02,"24,278",-37.04,"2,199",2.18,"179,228",-13.02
2004M03,"809,912",3.91,"494,658",3.49,"315,254",4.58,"23,970",11.76,"733,796",3.75,"52,146",2.81,"570,337",9.41,"12,715",-25.41,"25,918",-13.48,"1,856",-3.93,"199,086",-4.83
2004M04,"842,204",128.95,"508,326",116.00,"333,878",151.96,"29,547",156.82,"750,997",123.72,"61,660",198.51,"613,143",138.38,"11,766",10.02,"30,016",146.44,"1,594",28.24,"185,685",114.61
2004M05,"824,616",478.12,"496,835",466.36,"327,781",496.91,"26,359",664.47,"740,689",453.61,"57,568",966.47,"592,323",478.54,"10,779",181.22,"25,607","3,839.54","1,644",172.64,"194,263",452.35
2004M06,"937,643",253.88,"547,951",244.57,"389,692",267.86,"41,765",260.60,"835,689",245.81,"60,189",413.82,"678,782",226.61,"11,558",111.14,"35,447","1,754.89","1,951",111.38,"209,905",329.93
