期間,合計_原始值,合計_年增率(%),亞洲_原始值,亞洲_年增率(%),亞洲-香港、澳門_原始值,亞洲-香港、澳門_年增率(%),亞洲-中國大陸_原始值,亞洲-中國大陸_年增率(%),亞洲-日本_原始值,亞洲-日本_年增率(%),美洲_原始值,美洲_年增率(%),歐洲_原始值,歐洲_年增率(%),大洋洲_原始值,大洋洲_年增率(%),非洲_原始值,非洲_年增率(%),未列明_原始值,未列明_年增率(%)
1997M09,"180,176",-2.12,"138,865",-2.99,...,...,...,...,"70,068",-6.34,"25,341",0.22,"11,229",2.27,"2,659",2.39,654,-8.15,"1,428",4.46
1997M10,"205,094",-3.94,"149,796",-5.61,...,...,...,...,"72,214",-1.86,"31,043",-1.67,"18,209",5.96,"3,130",-3.63,"1,109",-4.97,"1,807",11.00
1997M11,"198,492",-5.34,"148,936",-7.51,...,...,...,...,"81,221",-7.08,"28,965",3.69,"15,159",0.18,"3,248",-0.85,791,-23.57,"1,393",9.94
1997M12,"195,822",-7.09,"146,896",-10.05,...,...,...,...,"76,921",-8.80,"32,287",4.55,"10,528",0.14,"3,834",5.53,716,-15.67,"1,561",-1.14
1998M01,"169,908",-12.56,"124,638",-15.36,...,...,...,...,"59,631",-24.20,"29,486",-1.85,"10,933",-9.37,"2,875",-4.93,446,-22.30,"1,530",13.00
1998M02,"184,967",-3.76,"143,094",-7.64,...,...,...,...,"68,495",-5.18,"24,826",8.03,"12,203",21.06,"2,450",18.02,525,9.38,"1,869",13.62
1998M03,"196,555",-13.64,"144,071",-17.42,...,...,...,...,"73,682",-18.59,"30,295",-3.68,"16,970",6.00,"2,995",-2.89,703,-22.06,"1,521",-9.09
1998M04,"195,763",-4.15,"141,621",-6.50,...,...,...,...,"59,624",-21.55,"33,267",9.09,"15,104",-9.55,"3,220",0.47,902,-10.69,"1,649",21.79
1998M05,"186,656",-7.41,"135,455",-12.04,...,...,...,...,"61,737",-18.01,"32,782",7.71,"13,252",6.97,"2,812",2.14,746,-4.73,"1,609",30.71
1998M06,"190,032",-8.05,"141,527",-10.03,...,...,...,...,"64,870",-15.67,"30,267",-0.98,"12,950",-3.87,"2,981",2.76,683,-19.27,"1,624",4.04
1998M07,"176,031",-3.04,"131,416",-2.79,...,...,...,...,"64,507",-4.31,"28,142",-4.84,"11,711",0.02,"2,481",-1.04,559,-13.60,"1,722",-11.01
1998M08,"189,541",2.72,"147,218",4.14,...,...,...,...,"74,193",9.00,"26,142",-2.70,"11,406",-1.02,"2,531",5.28,562,-10.08,"1,682",-2.94
1998M09,"182,784",1.45,"142,481",2.60,...,...,...,...,"70,152",0.12,"23,937",-5.54,"11,590",3.21,"2,790",4.93,576,-11.93,"1,410",-1.26
1998M10,"207,719",1.28,"151,635",1.23,...,...,...,...,"68,665",-4.91,"31,745",2.26,"18,268",0.32,"3,226",3.07,"1,076",-2.98,"1,769",-2.10
1998M11,"203,103",2.32,"153,347",2.96,...,...,...,...,"79,908",-1.62,"29,885",3.18,"14,637",-3.44,"2,992",-7.88,665,-15.93,"1,577",13.21
1998M12,"215,647",10.12,"164,418",11.93,...,...,...,...,"81,168",5.52,"34,562",7.05,"11,253",6.89,"3,244",-15.39,596,-16.76,"1,574",0.83
1999M01,"192,584",13.35,"146,570",17.60,...,...,...,...,"73,299",22.92,"28,540",-3.21,"12,404",13.45,"2,986",3.86,501,12.33,"1,583",3.46
1999M02,"198,321",7.22,"155,807",8.88,...,...,...,...,"70,198",2.49,"26,683",7.48,"10,771",-11.73,"2,298",-6.20,527,0.38,"2,235",19.58
1999M03,"238,957",21.57,"183,323",27.24,...,...,...,...,"94,652",28.46,"32,726",8.02,"16,153",-4.81,"3,345",11.69,824,17.21,"2,586",70.02
1999M04,"215,189",9.92,"157,019",10.87,...,...,...,...,"66,560",11.63,"33,510",0.73,"17,766",17.62,"3,500",8.70,869,-3.66,"2,525",53.12
1999M05,"215,457",15.43,"163,081",20.39,...,...,...,...,"71,592",15.96,"32,320",-1.41,"13,738",3.67,"3,144",11.81,847,13.54,"2,327",44.62
1999M06,"221,403",16.51,"168,607",19.13,...,...,...,...,"75,573",16.50,"33,167",9.58,"13,731",6.03,"3,059",2.62,562,-17.72,"2,277",40.21
1999M07,"219,392",24.63,"165,528",25.96,...,...,...,...,"74,721",15.83,"33,595",19.38,"13,753",17.44,"3,257",31.28,610,9.12,"2,649",53.83
1999M08,"220,195",16.17,"171,741",16.66,...,...,...,...,"82,425",11.10,"29,669",13.49,"12,763",11.90,"2,780",9.84,613,9.07,"2,629",56.30
1999M09,"179,392",-1.86,"137,899",-3.22,...,...,...,...,"64,749",-7.70,"25,141",5.03,"10,578",-8.73,"2,736",-1.94,513,-10.94,"2,525",79.08
1999M10,"162,282",-21.87,"111,843",-26.24,...,...,...,...,"44,805",-34.75,"28,878",-9.03,"15,577",-14.73,"2,884",-10.60,798,-25.84,"2,302",30.13
1999M11,"175,481",-13.60,"125,013",-18.48,...,...,...,...,"53,726",-32.77,"29,956",0.24,"14,588",-0.33,"3,101",3.64,795,19.55,"2,028",28.60
1999M12,"172,595",-19.96,"126,648",-22.97,...,...,...,...,"53,922",-33.57,"30,557",-11.59,"9,986",-11.26,"2,785",-14.15,496,-16.78,"2,123",34.88
2000M01,"180,922",-6.06,"130,132",-11.22,"21,209",...,...,...,"56,008",-23.59,"31,786",11.37,"12,892",3.93,"3,373",12.96,545,8.78,"2,194",38.60
2000M02,"190,108",-4.14,"146,095",-6.23,"28,259",...,...,...,"61,878",-11.85,"27,706",3.83,"10,729",-0.39,"2,594",12.88,528,0.19,"2,456",9.89
2000M03,"223,654",-6.40,"165,298",-9.83,"26,502",...,...,...,"78,422",-17.15,"37,388",14.25,"14,577",-9.76,"3,340",-0.15,726,-11.89,"2,325",-10.09
2000M04,"217,576",1.11,"157,447",0.27,"32,962",...,...,...,"64,682",-2.82,"36,781",9.76,"16,345",-8.00,"3,649",4.26,"1,107",27.39,"2,247",-11.01
2000M05,"216,692",0.57,"161,859",-0.75,"26,517",...,...,...,"72,099",0.71,"35,205",8.93,"13,700",-0.28,"3,183",1.24,808,-4.60,"1,937",-16.76
2000M06,"225,069",1.66,"169,188",0.34,"33,461",...,...,...,"69,804",-7.63,"37,288",12.43,"12,906",-6.01,"3,368",10.10,746,32.74,"1,573",-30.92
2000M07,"217,302",-0.95,"165,041",-0.29,"29,772",...,...,...,"76,173",1.94,"34,418",2.45,"12,840",-6.64,"2,903",-10.87,645,5.74,"1,455",-45.07
2000M08,"220,227",0.01,"171,903",0.09,"33,131",...,...,...,"80,634",-2.17,"31,547",6.33,"11,695",-8.37,"2,794",0.50,697,13.70,"1,591",-39.48
2000M09,"221,504",23.47,"174,840",26.79,"33,689",...,...,...,"83,661",29.21,"29,649",17.93,"11,923",12.72,"2,977",8.81,696,35.67,"1,419",-43.80
2000M10,"249,352",53.65,"187,015",67.21,"34,118",...,...,...,"89,841",100.52,"37,178",28.74,"18,624",19.56,"3,568",23.72,"1,030",29.07,"1,937",-15.86
2000M11,"232,810",32.67,"180,663",44.52,"27,857",...,...,...,"96,302",79.25,"32,639",8.96,"14,468",-0.82,"3,100",-0.03,624,-21.51,"1,316",-35.11
2000M12,"228,821",32.58,"175,034",38.21,"33,831",...,...,...,"86,797",60.97,"37,996",24.34,"10,313",3.27,"3,380",21.36,635,28.02,"1,463",-31.09
2001M01,"212,103",17.23,"165,137",26.90,"27,638",30.31,"18,217",...,"72,705",29.81,"31,943",0.49,"10,804",-16.20,"3,196",-5.25,586,7.52,437,-80.08
2001M02,"246,509",29.67,"200,471",37.22,"27,755",-1.78,"15,890",...,"102,187",65.14,"29,649",7.01,"12,292",14.57,"2,797",7.83,827,56.63,473,-80.74
2001M03,"266,176",19.01,"211,277",27.82,"38,222",44.22,"18,480",...,"102,385",30.56,"34,736",-7.09,"15,310",5.03,"3,363",0.69,872,20.11,618,-73.42
2001M04,"247,999",13.98,"190,818",21.20,"40,011",21.39,"17,628",...,"79,962",23.62,"38,318",4.18,"13,994",-14.38,"3,371",-7.62,898,-18.88,600,-73.30
2001M05,"240,696",11.08,"188,003",16.15,"30,193",13.86,"17,132",...,"84,574",17.30,"35,789",1.66,"12,656",-7.62,"2,994",-5.94,699,-13.49,555,-71.35
2001M06,"253,597",12.68,"193,325",14.27,"40,803",21.94,"17,638",...,"79,456",13.83,"42,550",14.11,"13,010",0.81,"3,169",-5.91,879,17.83,664,-57.79
2001M07,"232,608",7.04,"181,532",9.99,"32,562",9.37,"17,984",...,"84,373",10.76,"34,404",-0.04,"12,485",-2.76,"2,897",-0.21,658,2.02,632,-56.56
2001M08,"240,704",9.30,"194,662",13.24,"41,229",24.44,"20,279",...,"85,968",6.62,"31,855",0.98,"10,374",-11.30,"2,632",-5.80,728,4.45,453,-71.53
2001M09,"216,500",-2.26,"176,904",1.18,"38,500",14.28,"15,749",...,"76,455",-8.61,"23,938",-19.26,"10,364",-13.08,"3,003",0.87,747,7.33,"1,544",8.81
2001M10,"213,603",-14.34,"166,388",-11.03,"36,309",6.42,"16,452",...,"67,125",-25.28,"27,911",-24.93,"14,689",-21.13,"3,183",-10.79,741,-28.06,691,-64.33
2001M11,"217,828",-6.44,"168,588",-6.68,"36,796",32.09,"17,644",...,"68,589",-28.78,"31,004",-5.01,"12,783",-11.65,"3,558",14.77,671,7.53,"1,224",-6.99
2001M12,"242,712",6.07,"187,251",6.98,"45,146",33.45,"17,957",...,"72,971",-15.93,"40,230",5.88,"9,808",-4.90,"4,199",24.23,566,-10.87,658,-55.02
2002M01,"217,600",2.59,"168,180",1.84,"28,065",1.54,"17,607",-3.35,"75,038",3.21,"33,423",4.63,"11,590",7.28,"3,405",6.54,557,-4.95,445,1.83
