期間,總計_原始值,總計_年增率(%),人為縱火_原始值,人為縱火_年增率(%),自殺_原始值,自殺_年增率(%),燈燭_原始值,燈燭_年增率(%),爐火烹調_原始值,爐火烹調_年增率(%),敬神掃墓祭祖_原始值,敬神掃墓祭祖_年增率(%),菸蒂_原始值,菸蒂_年增率(%),電氣設備_原始值,電氣設備_年增率(%),機械設備_原始值,機械設備_年增率(%),玩火_原始值,玩火_年增率(%),烤火_原始值,烤火_年增率(%),燒什草垃圾_原始值,燒什草垃圾_年增率(%),施工不慎_原始值,施工不慎_年增率(%),易燃品自(復)燃_原始值,易燃品自(復)燃_年增率(%),瓦斯漏氣或爆炸_原始值,瓦斯漏氣或爆炸_年增率(%),化學物品_原始值,化學物品_年增率(%),燃放爆竹_原始值,燃放爆竹_年增率(%),交通事故_原始值,交通事故_年增率(%),天然災害_原始值,天然災害_年增率(%),原因不明_原始值,原因不明_年增率(%),其他_原始值,其他_年增率(%)
2010M10,151,-22.56,22,-15.38,1,0.00,4,100.00,4,-69.23,5,0.00,10,66.67,54,-18.18,2,-71.43,2,0.00,0,--,-,--,3,-50.00,0,--,2,0.00,1,0.00,4,0.00,0,-100.00,0,--,0,-100.00,37,-21.28
2010M11,169,-26.52,17,-45.16,0,-100.00,2,--,7,-22.22,1,-85.71,14,-48.15,60,-18.92,5,66.67,0,-100.00,0,--,-,--,3,0.00,0,-100.00,3,-40.00,0,--,5,150.00,1,0.00,0,--,0,-100.00,51,-12.07
2010M12,182,-20.87,20,-9.09,1,-80.00,2,-33.33,11,22.22,1,-75.00,15,-40.00,56,-18.84,5,-28.57,1,0.00,0,-100.00,-,--,0,-100.00,0,-100.00,2,-60.00,1,--,1,0.00,1,--,0,-100.00,1,-93.33,64,10.34
2011M01,202,-7.34,10,-56.52,1,-80.00,1,0.00,3,-72.73,5,150.00,22,-8.33,83,38.33,8,100.00,2,-66.67,1,--,-,--,7,133.33,1,--,1,0.00,0,-100.00,3,--,2,-33.33,0,--,1,-85.71,51,-21.54
2011M02,200,-3.38,24,0.00,1,-50.00,2,-33.33,17,240.00,2,100.00,10,-33.33,62,-11.43,4,0.00,5,400.00,0,-100.00,-,--,2,0.00,0,--,2,--,0,--,6,-25.00,3,50.00,0,--,1,-50.00,59,-11.94
2011M03,171,-31.87,11,-57.69,1,-83.33,0,-100.00,5,-61.54,11,-60.71,13,-23.53,55,-23.61,5,25.00,5,150.00,1,--,-,--,3,-40.00,0,--,2,100.00,1,-50.00,3,200.00,3,50.00,0,--,2,-33.33,50,-24.24
2011M04,164,-15.46,15,-25.00,1,-75.00,0,-100.00,4,-20.00,7,-12.50,10,-33.33,56,-17.65,5,150.00,3,-50.00,0,--,-,--,5,400.00,1,--,2,-60.00,0,-100.00,4,33.33,2,0.00,0,--,1,0.00,48,-5.88
2011M05,123,-32.42,14,-54.84,3,0.00,0,--,2,-66.67,1,0.00,6,-53.85,51,-28.17,8,100.00,1,-50.00,0,--,-,--,2,-75.00,0,--,4,100.00,1,0.00,1,-80.00,1,--,0,--,1,--,27,-22.86
2011M06,154,14.07,17,6.25,2,--,0,--,5,-28.57,3,--,4,-33.33,62,10.71,3,-50.00,3,50.00,0,--,-,--,4,33.33,0,-100.00,2,0.00,0,--,1,-66.67,3,50.00,0,--,3,200.00,42,40.00
2011M07,122,-37.76,22,-42.11,5,400.00,1,--,3,-72.73,3,-25.00,5,-61.54,39,-39.06,5,0.00,2,100.00,0,-100.00,-,--,4,-42.86,0,--,2,100.00,1,0.00,1,--,1,-80.00,0,--,0,-100.00,28,-34.88
2011M08,120,-29.82,16,-33.33,2,100.00,1,--,9,-18.18,5,--,7,-36.36,37,-40.32,0,-100.00,2,100.00,0,-100.00,-,--,2,-66.67,0,-100.00,3,200.00,2,--,0,--,2,-33.33,0,-100.00,2,0.00,30,-26.83
