期間,資產--放款_原始值,資產--放款_年增率(%),資產--證券投資-政府債券_原始值,資產--證券投資-政府債券_年增率(%),資產--證券投資-股份與債券等-公營事業_原始值,資產--證券投資-股份與債券等-公營事業_年增率(%),資產--證券投資-股份與債券等-民營企業_原始值,資產--證券投資-股份與債券等-民營企業_年增率(%),資產--證券投資-股份與債券等-金融機構_原始值,資產--證券投資-股份與債券等-金融機構_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-其他金融機構_原始值,資產--對金融機構債權-其他金融機構_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),負債與淨值--信託資金_原始值,負債與淨值--信託資金_年增率(%),負債與淨值--對金融機構負債-中央銀行_原始值,負債與淨值--對金融機構負債-中央銀行_年增率(%),負債與淨值--對金融機構負債-其他貨幣機構_原始值,負債與淨值--對金融機構負債-其他貨幣機構_年增率(%),負債與淨值--對金融機構負債-其他金融機構_原始值,負債與淨值--對金融機構負債-其他金融機構_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
1992M11,"226,463",-17.34,"48,241",5.68,"8,404",-13.91,"39,423",-16.53,"13,518",-72.72,"9,181",2.64,10,-56.52,"29,426",-67.34,"1,053",48.31,172,-49.11,"67,696",-22.29,"443,587",-27.68,"323,811",-31.96,766,28.74,"20,282",35.17,"5,400",31.39,"51,795",-11.44,"41,533",--
1992M12,"233,222",-20.18,"48,154",-1.70,"8,254",-13.11,"37,625",-17.17,"14,748",-66.30,"9,591",7.58,11,-26.67,"28,563",-68.81,"3,677",-58.65,212,-53.71,"73,136",-13.21,"457,193",-27.89,"325,028",-32.51,737,6.20,"21,726",14.12,"5,100",-58.27,"59,460",-4.67,"45,142",--
1993M01,"239,977",-17.73,"42,873",-9.50,"7,889",-43.94,"36,033",-24.35,"13,888",-67.73,"10,433",15.84,12,-40.00,"25,907",-68.06,219,-96.21,270,-52.04,"70,564",-14.38,"448,065",-28.05,"322,972",-32.27,826,26.11,"19,061",18.11,"4,420",-57.30,"55,321",-8.44,"45,465",--
1993M02,"242,418",-17.63,"46,184",-5.75,"7,671",-44.42,"38,052",-18.51,"15,884",-62.85,"10,531",17.68,8,-60.00,"28,127",-62.91,511,-90.26,227,-43.39,"63,955",-22.52,"453,568",-26.79,"333,783",-29.56,980,48.94,"19,211",25.80,"4,550",-53.57,"49,467",-17.73,"45,577",--
1993M03,"245,190",-17.66,"45,681",-11.18,"7,619",-44.81,"40,843",-15.16,"15,748",-61.72,"10,670",18.57,14,-22.22,"29,170",-58.41,958,-83.03,211,-39.89,"65,746",-16.81,"461,850",-25.08,"337,310",-28.15,992,59.49,"18,143",17.74,"5,170",-45.98,"52,129",-14.25,"48,106",--
1993M04,"246,106",-19.52,"49,318",-3.90,"7,602",-44.56,"41,673",-10.98,"18,581",-53.93,"10,898",20.59,4,-69.23,"29,493",-55.63,"1,291",37.19,189,-56.35,"67,572",-13.97,"472,727",-22.93,"344,597",-26.76,979,81.30,"18,652",-1.16,"5,570",14.85,"54,684",-5.68,"48,245",--
1993M05,"250,560",-20.13,"48,822",-11.40,"7,245",-45.70,"44,429",-7.27,"22,001",-39.83,"11,122",22.92,2,-71.43,"33,320",-49.09,"1,712",38.29,169,-55.76,"68,610",-13.34,"487,992",-21.53,"357,166",-25.00,978,60.33,"18,716",-2.73,"6,110",17.50,"56,277",-7.97,"48,745",--
1993M06,"261,743",-20.51,"54,490",5.35,"8,038",-39.92,"41,851",-8.27,"22,022",-28.87,"11,327",27.36,4,-71.43,"37,249",-39.57,"1,265",0.48,170,-56.41,"68,701",-17.35,"506,860",-19.07,"368,698",-21.58,976,62.13,"23,540",-5.92,"5,660",9.90,"58,179",-9.33,"49,807",--
1993M07,"263,979",28.01,"56,725",31.18,"6,735",-29.17,"46,183",15.07,"22,126",53.96,"11,466",27.40,3,-88.00,"39,314",3.79,"1,157",9.98,171,-18.57,"66,806",11.97,"514,665",22.16,"373,097",20.49,"1,050",95.17,"23,500",19.95,"5,550",26.14,"62,278",40.58,"49,190",--
1993M08,"266,743",26.30,"56,589",24.39,"6,612",-25.28,"43,252",5.18,"23,214",51.61,"11,486",26.54,2,-80.00,"38,955",19.62,"1,234",72.35,186,8.77,"72,225",22.44,"520,498",22.90,"372,580",19.57,"1,077",67.24,"23,442",26.84,"5,625",39.06,"68,169",48.57,"49,605",--
1993M09,"272,359",27.23,"58,572",27.41,"6,594",-25.22,"42,317",5.65,"21,815",45.52,"11,738",30.21,8,-46.67,"38,982",32.95,"1,035",101.75,157,-8.72,"69,196",11.29,"522,773",22.97,"378,411",20.74,"1,136",69.81,"24,093",33.35,"5,820",19.75,"64,702",36.97,"48,611",--
1993M10,"274,899",25.44,"53,567",15.24,"6,590",-26.36,"40,566",1.97,"22,062",47.52,"11,912",31.39,3,-66.67,"38,614",23.85,"1,283",18.47,187,-6.50,"66,531",14.45,"516,214",20.33,"372,747",15.79,"1,147",55.42,"25,225",41.52,"5,770",0.70,"62,056",49.97,"49,269",--
1993M11,"274,664",21.28,"51,713",7.20,"6,642",-20.97,"40,396",2.47,"22,334",65.22,"12,164",32.49,2,-80.00,"35,146",19.44,642,-39.03,171,-0.58,"66,338",-2.01,"510,212",15.02,"366,157",13.08,"4,974",549.35,"20,580",1.47,"5,140",-4.81,"61,187",18.13,"52,174",--
1993M12,"276,074",18.37,"50,539",4.95,"6,503",-21.21,"40,387",7.34,"20,352",38.00,"13,299",38.66,4,-63.64,"38,645",35.30,903,-75.44,202,-4.72,"73,254",0.16,"520,162",13.77,"361,091",11.10,"1,203",63.23,"28,090",29.29,"5,590",9.61,"66,315",11.53,"57,873",--
1994M01,"273,071",13.79,"48,584",13.32,"5,890",-25.34,"46,336",28.59,"21,155",52.33,"13,925",33.47,3,-75.00,"32,683",26.16,"1,147",423.74,194,-28.15,"69,549",-1.44,"512,537",14.39,"356,393",10.35,"1,186",43.58,"29,047",52.39,"5,830",31.90,"61,287",10.78,"58,794",--
1994M02,"273,201",12.70,"49,220",6.57,"5,868",-23.50,"46,641",22.57,"21,484",35.26,"14,297",35.76,4,-50.00,"33,206",18.06,923,80.63,206,-9.25,"72,261",12.99,"517,311",14.05,"358,593",7.43,"1,185",20.92,"28,581",48.77,"5,535",21.65,"63,725",28.82,"59,692",--
1994M03,"271,901",10.89,"59,346",29.91,"6,722",-11.77,"49,726",21.75,"21,633",37.37,"14,476",35.67,5,-64.29,"39,175",34.30,"2,015",110.33,198,-6.16,"72,974",10.99,"538,171",16.53,"376,614",11.65,"1,207",21.67,"28,518",57.18,"6,700",29.59,"65,343",25.35,"59,789",--
1994M04,"269,373",9.45,"61,950",25.61,"6,121",-19.48,"49,205",18.07,"21,514",15.78,"14,631",34.25,"14,256","356,300.00","38,663",31.09,"2,322",79.86,163,-13.76,"74,887",10.83,"553,085",17.00,"377,835",9.65,"1,215",24.11,"26,140",40.15,"7,200",29.26,"80,409",47.04,"60,286",--
1994M05,"268,951",7.34,"58,158",19.12,"5,737",-20.81,"49,189",10.71,"20,522",-6.72,"12,525",12.61,"14,329","716,350.00","40,433",21.35,"2,560",49.53,200,18.34,"73,886",7.69,"546,490",11.99,"377,868",5.80,"1,288",31.70,"22,640",20.97,"7,340",20.13,"76,960",36.75,"60,394",--
1994M06,"275,104",5.10,"57,370",5.29,"5,616",-30.13,"42,608",1.81,"20,472",-7.04,"12,135",7.13,"14,293","357,225.00","39,160",5.13,"2,424",91.62,182,7.06,"63,479",-7.60,"532,843",5.13,"371,386",0.73,"1,097",12.40,"24,674",4.82,"7,720",36.40,"66,690",14.63,"61,276",--
1994M07,"269,481",2.08,"57,400",1.19,"5,014",-25.55,"43,828",-5.10,"20,493",-7.38,"12,036",4.97,"14,068","468,833.33","36,887",-6.17,"2,063",78.31,184,7.60,"64,254",-3.82,"525,708",2.15,"365,153",-2.13,"1,084",3.24,"21,844",-7.05,"7,255",30.72,"68,643",10.22,"61,729",--
1994M08,"280,835",5.28,"54,756",-3.24,"5,620",-15.00,"41,104",-4.97,"21,042",-9.36,"11,926",3.83,"14,239","711,850.00","34,726",-10.86,"1,057",-14.34,188,1.08,"62,428",-13.56,"527,921",1.43,"361,864",-2.88,"1,065",-1.11,"23,511",0.29,"6,295",11.91,"70,842",3.92,"64,344",--
1994M09,"284,430",4.43,"53,599",-8.49,"5,471",-17.03,"43,846",3.61,"21,342",-2.17,"12,009",2.31,"13,785","172,212.50","38,711",-0.70,"1,068",3.19,201,28.03,"61,936",-10.49,"536,398",2.61,"351,404",-7.14,"1,066",-6.16,"33,960",40.95,"5,910",1.55,"71,109",9.90,"72,949",--
1994M10,"213,794",-22.23,"41,815",-21.94,"5,127",-22.20,"37,382",-7.85,"19,296",-12.54,"11,696",-1.81,"13,744","458,033.33","40,822",5.72,"1,372",6.94,119,-36.36,"40,213",-39.56,"425,380",-17.60,"264,348",-29.08,"1,042",-9.15,"30,984",22.83,"6,255",8.41,"61,038",-1.64,"61,713",--
1994M11,"215,556",-21.52,"43,324",-16.22,"4,916",-25.99,"43,816",8.47,"23,797",6.55,"11,806",-2.94,"13,068","653,300.00","34,915",-0.66,"2,187",240.65,107,-37.43,"38,427",-42.07,"431,919",-15.35,"274,942",-24.91,"1,027",-79.35,"25,551",24.15,"6,360",23.74,"57,883",-5.40,"66,156",--
1994M12,"220,537",-20.12,"46,034",-8.91,"4,992",-23.24,"38,999",-3.44,"23,674",16.32,"11,701",-12.02,"13,643","340,975.00","33,309",-13.81,"3,385",274.86,89,-55.94,"108,680",48.36,"505,043",-2.91,"276,617",-23.39,921,-23.44,"23,028",-18.02,"7,065",26.39,"129,283",94.95,"68,129",--
1995M01,"221,793",-18.78,"45,662",-6.01,"4,420",-24.96,"39,577",-14.59,"21,831",3.20,"11,979",-13.97,"13,880","462,566.67","34,028",4.12,"1,912",66.70,126,-35.05,"40,256",-42.12,"435,464",-15.04,"276,083",-22.53,946,-20.24,"21,910",-24.57,"7,320",25.56,"60,584",-1.15,"68,621",--
