期間,總指數(不含食物)_原始值,總指數(不含食物)_年增率(%),總指數(不含蔬菜水果)_原始值,總指數(不含蔬菜水果)_年增率(%),總指數(不含蔬果及能源)【即核心物價】_原始值,總指數(不含蔬果及能源)【即核心物價】_年增率(%),總指數(不含食物及能源)_原始值,總指數(不含食物及能源)_年增率(%),總指數(不含蔬果水產及能源)_原始值,總指數(不含蔬果水產及能源)_年增率(%),總指數(不含設算租金)_原始值,總指數(不含設算租金)_年增率(%)
2006M04,95.96,1.07,93.23,0.82,94.09,0.53,97.42,0.71,94.72,0.58,92.00,1.46
2006M05,96.34,1.41,93.45,1.14,94.14,0.66,97.59,0.83,94.77,0.69,93.02,1.88
2006M06,96.24,1.08,93.36,0.90,93.84,0.41,97.21,0.45,94.46,0.43,93.52,2.05
2006M07,96.25,1.53,93.38,1.25,93.68,0.58,96.97,0.67,94.28,0.58,93.76,0.90
2006M08,96.04,1.29,93.18,0.95,93.38,0.38,96.61,0.54,93.97,0.35,93.08,-0.73
2006M09,95.87,0.95,93.15,0.90,93.36,0.35,96.44,0.23,93.94,0.32,92.47,-1.53
2006M10,96.13,0.99,93.31,0.82,93.91,0.44,97.26,0.50,94.53,0.40,92.44,-1.48
2006M11,96.28,1.19,93.40,1.03,94.06,0.64,97.48,0.69,94.68,0.58,92.33,0.23
2006M12,96.34,1.41,93.52,1.26,94.05,0.75,97.37,0.76,94.59,0.63,92.55,0.73
2007M01,95.96,0.24,93.35,0.35,94.03,0.00,97.16,-0.25,94.52,-0.14,92.33,0.36
2007M02,97.19,2.47,94.28,2.01,95.00,1.81,98.47,2.22,95.47,1.66,92.76,2.07
2007M03,95.88,1.06,93.37,1.00,93.97,0.71,96.96,0.67,94.48,0.57,91.46,0.99
2007M04,97.09,1.18,94.21,1.05,94.78,0.73,98.18,0.78,95.33,0.64,92.74,0.80
2007M05,97.20,0.89,94.27,0.88,94.83,0.73,98.28,0.71,95.39,0.65,92.96,-0.06
2007M06,97.54,1.35,94.58,1.31,94.82,1.04,98.18,1.00,95.35,0.94,93.62,0.11
2007M07,97.54,1.34,94.73,1.45,94.82,1.22,97.96,1.02,95.35,1.13,93.36,-0.43
2007M08,97.33,1.34,94.88,1.82,95.00,1.73,97.74,1.17,95.50,1.63,94.87,1.92
2007M09,97.16,1.35,95.06,2.05,95.28,2.06,97.68,1.29,95.81,1.99,95.93,3.74
2007M10,97.90,1.84,95.75,2.61,96.11,2.34,98.63,1.41,96.67,2.26,98.37,6.41
2007M11,98.10,1.89,96.09,2.88,96.38,2.47,98.71,1.26,96.92,2.37,97.65,5.76
2007M12,98.06,1.79,96.21,2.88,96.51,2.62,98.67,1.34,97.03,2.58,96.23,3.98
2008M01,97.91,2.03,96.29,3.15,96.60,2.73,98.49,1.37,97.06,2.69,95.54,3.48
2008M02,98.85,1.71,97.19,3.09,97.57,2.71,99.54,1.09,97.97,2.62,97.00,4.57
2008M03,97.75,1.95,96.62,3.48,96.95,3.17,98.32,1.40,97.36,3.05,95.75,4.69
2008M04,98.76,1.72,97.60,3.60,97.89,3.28,99.28,1.12,98.32,3.14,96.98,4.57
2008M05,98.81,1.66,97.79,3.73,98.06,3.41,99.28,1.02,98.47,3.23,97.03,4.38
2008M06,99.94,2.46,98.97,4.64,98.53,3.91,99.45,1.29,98.88,3.70,99.13,5.89
2008M07,100.44,2.97,99.54,5.08,98.89,4.29,99.65,1.73,99.21,4.05,99.77,6.87
2008M08,99.89,2.63,99.22,4.57,98.78,3.98,99.37,1.67,99.06,3.73,100.06,5.47
2008M09,99.28,2.18,98.76,3.89,98.65,3.54,99.19,1.55,98.93,3.26,99.35,3.57
