期間,發行部門-其他貨幣機構_原始值,發行部門-其他貨幣機構_年增率(%),持有部門-其他貨幣機構_原始值,持有部門-其他貨幣機構_年增率(%),持有部門-保險公司及退休基金_原始值,持有部門-保險公司及退休基金_年增率(%),持有部門-其他金融機構_原始值,持有部門-其他金融機構_年增率(%),持有部門-公營事業_原始值,持有部門-公營事業_年增率(%),持有部門-民營企業_原始值,持有部門-民營企業_年增率(%),持有部門-家庭及非營利團體_原始值,持有部門-家庭及非營利團體_年增率(%),持有部門-國外_原始值,持有部門-國外_年增率(%)
2000,"91,668",...,"25,839",...,"15,858",...,"38,545",...,"1,946",...,"3,519",...,"5,961",...,-,...
2001,"202,611",121.03,"51,768",100.35,"30,141",90.07,"93,882",143.57,-,--,"6,492",84.48,"20,328",241.00,-,--
2002,"377,303",86.22,"45,045",-12.99,"71,878",138.47,"245,302",161.29,200,--,"8,134",25.30,"6,744",-66.83,-,--
