期間,收受部門--存款貨幣機構,收受部門--其他金融機構,存款部門--存款貨幣機構,存款部門--保險公司及退休基金,存款部門--其他金融機構,存款部門--政府,存款部門--公營事業,存款部門--民營企業,存款部門--家庭及非營利團體
1982,"5,120","83,348",...,...,...,"1,641","3,991","5,279","77,557"
1983,"8,274","105,266",...,...,...,"1,631","6,277","5,754","99,878"
1984,"13,401","136,884",...,...,...,"1,564","1,499","5,656","141,566"
1985,"8,671","108,272",...,...,...,"1,365","1,059","4,785","109,734"
1986,"8,453","117,331",...,...,...,"2,265","1,426","4,478","117,615"
