期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%)
2008M03,"18,437",-17.81,"12,112",-1.58,"5,643",-35.07,682,-52.47,0,--,"8,448",-10.66,"5,663",0.35,"2,447",-20.96,338,-52.86,0,--,"9,989",-23.03,"6,449",-3.23,"3,196",-42.88,344,-52.09,0,--
2008M04,"26,054",-2.23,"11,091",27.10,"13,401",-22.00,"1,562",111.08,0,--,"13,052",-0.15,"5,429",47.81,"6,784",-24.74,839,118.49,0,--,"13,002",-4.23,"5,662",12.05,"6,617",-18.98,723,103.09,0,--
2008M05,"23,999",-12.54,"10,541",20.22,"12,788",1.61,670,-8.09,0,-100.00,"11,653",-16.97,"4,807",7.97,"6,524",-3.62,322,-13.90,0,-100.00,"12,346",-7.91,"5,734",32.85,"6,264",7.70,348,-1.97,0,-100.00
2008M06,"34,876",-14.05,"15,063",20.97,"14,793",-7.83,705,-18.02,"4,315",-61.53,"15,603",-18.81,"6,494",20.86,"6,926",-8.75,359,-1.10,"1,824",-69.04,"19,273",-9.78,"8,569",21.05,"7,867",-7.01,346,-30.38,"2,491",-53.23
2008M07,"78,137",57.38,"45,608",397.96,"21,663",-3.55,672,-12.61,"10,194",-40.95,"38,499",60.67,"21,814",442.50,"10,674",-0.19,346,-5.46,"5,665",-36.21,"39,638",54.31,"23,794",363.10,"10,989",-6.60,326,-19.11,"4,529",-45.96
2008M08,"65,330",75.16,"51,618",379.94,"10,456",-21.68,768,15.84,"2,488",-80.14,"31,908",79.36,"24,971",537.02,"5,138",-22.47,423,24.41,"1,376",-80.07,"33,422",71.33,"26,647",289.86,"5,318",-20.91,345,6.81,"1,112",-80.23
2008M09,"55,379",109.94,"40,246",376.11,"12,985",59.23,"1,603",-70.57,545,-87.39,"26,411",110.61,"19,259",421.78,"6,070",58.36,775,-71.26,307,-86.76,"28,968",109.34,"20,987",340.72,"6,915",60.00,828,-69.89,238,-88.12
2008M10,"48,945",98.33,"42,001",219.37,"5,297",-44.75,347,-47.02,"1,300",1.17,"23,893",116.89,"20,673",258.22,"2,405",-44.37,159,-49.68,656,8.25,"25,052",83.37,"21,328",189.00,"2,892",-45.06,188,-44.54,644,-5.15
2008M11,"21,437",-2.07,"17,649",0.77,"3,282",-12.92,506,-16.64,0,--,"10,970",6.28,"9,196",10.24,"1,505",-11.68,269,-2.54,0,--,"10,467",-9.53,"8,453",-7.85,"1,777",-13.95,237,-28.40,0,--
2008M12,"16,990",106.92,"11,040",145.01,"3,331",14.04,"1,042",32.91,"1,577",--,"8,278",112.42,"5,252",145.88,"1,542",16.03,716,65.74,768,--,"8,712",101.95,"5,788",144.22,"1,789",12.37,326,-7.39,809,--
