期間,證券投資--小計_原始值,證券投資--小計_年增率(%),證券投資--政府債券_原始值,證券投資--政府債券_年增率(%),證券投資--金融機構債券_原始值,證券投資--金融機構債券_年增率(%),證券投資--公司債_原始值,證券投資--公司債_年增率(%),證券投資--可轉讓定期存單_原始值,證券投資--可轉讓定期存單_年增率(%),證券投資--商業本票_原始值,證券投資--商業本票_年增率(%),證券投資--承兌匯票_原始值,證券投資--承兌匯票_年增率(%),存放銀行_原始值,存放銀行_年增率(%),庫存現金_原始值,庫存現金_年增率(%),資產合計(淨額)=負債合計(淨額)_原始值,資產合計(淨額)=負債合計(淨額)_年增率(%),借入款_原始值,借入款_年增率(%),淨值_原始值,淨值_年增率(%),其他項目(淨額)_原始值,其他項目(淨額)_年增率(%),保證_原始值,保證_年增率(%),附買回交易_原始值,附買回交易_年增率(%)
2010M01,"675,921",-10.31,"214,912",-20.07,"33,258",-29.17,"89,718",-9.57,"58,458",62.01,"279,511",-7.53,64,-71.56,"15,287",-6.21,"1,670",-88.32,"692,877",-11.65,"25,075",-19.54,"113,624",0.14,"-28,471",--,"318,783",2.64,"582,649",-13.49
2010M02,"684,764",-11.05,"217,456",-18.80,"30,998",-35.28,"91,576",-6.72,"58,158",19.00,"286,504",-6.64,72,-58.62,"12,942",-27.41,961,-93.15,"698,666",-12.85,"19,752",-54.07,"113,846",-1.01,"-27,818",--,"329,873",5.32,"592,886",-12.50
2010M03,"700,297",-10.65,"221,572",-17.14,"27,457",-32.51,"90,630",-7.65,"56,710",26.22,"303,828",-8.61,100,-22.48,"11,843",-36.20,"2,270",-85.57,"714,410",-12.67,"18,879",-44.82,"113,835",-2.44,"-29,595",--,"336,068",6.25,"611,291",-12.51
2010M04,"686,737",-11.02,"225,786",-14.08,"24,383",-39.81,"89,376",-5.79,"63,984",34.27,"283,080",-13.13,128,31.96,"10,185",-53.99,"2,863",-82.22,"699,784",-13.61,"26,565",-33.10,"110,641",-4.71,"-25,475",--,"336,161",9.71,"588,053",-14.20
2010M05,"690,209",-9.18,"224,385",-10.87,"24,467",-37.88,"90,623",0.19,"78,917",91.73,"271,691",-19.42,126,77.46,"11,462",-43.87,"3,140",-84.29,"704,811",-11.94,"28,796",-44.24,"110,062",-6.65,"-27,182",--,"327,950",4.91,"593,135",-10.45
2010M06,"713,544",-1.94,"223,109",-7.87,"23,823",-38.69,"90,551",2.21,"83,797",81.56,"292,171",-6.28,93,-13.89,"12,459",-29.18,"2,781",-85.13,"728,784",-4.60,"27,377",18.38,"109,326",-5.53,"-28,656",--,"329,694",6.36,"620,737",-5.39
2010M07,"718,187",-0.02,"217,728",-6.55,"23,830",-37.16,"91,157",2.64,"76,080",53.06,"309,131",0.10,261,141.67,"14,280",-15.64,"4,117",-77.74,"736,584",-2.28,"36,146",7.55,"110,205",-6.01,"-27,533",--,"338,770",8.76,"617,766",-2.63
2010M08,"690,899",1.37,"214,458",-7.48,"24,237",-36.03,"88,538",0.09,"86,836",96.13,"276,601",-0.90,229,222.54,"12,874",-7.32,"5,054",-73.96,"708,826",-0.85,"31,531",38.91,"108,705",-5.75,"-24,347",--,"334,664",6.89,"592,937",-2.26
2010M09,"689,564",-0.87,"207,808",-10.77,"23,779",-36.87,"86,567",-4.34,"66,875",25.10,"304,221",8.25,314,223.71,"12,458",-8.29,"4,425",-75.25,"706,447",-2.84,"39,148",28.45,"109,458",-6.33,"-25,342",--,"337,722",5.84,"583,183",-4.28
2010M10,"696,964",1.50,"217,573",-5.84,"24,054",-32.55,"83,856",-6.90,"79,277",39.16,"291,933",7.04,271,74.84,"12,520",-15.97,"3,008",-82.59,"712,491",-0.88,"36,115",25.06,"110,036",-5.31,"-26,415",--,"341,180",9.90,"592,755",-1.91
2010M11,"710,540",5.58,"219,623",-4.22,"25,341",-27.83,"84,635",-5.20,"87,039",53.62,"293,709",11.88,193,49.61,"12,817",-16.27,"2,390",-81.24,"725,747",3.52,"40,807",30.39,"109,826",-5.63,"-25,693",--,"342,384",8.70,"600,807",2.76
2010M12,"697,706",4.84,"209,036",-6.94,"23,328",-30.88,"87,041",-1.04,"87,799",89.82,"290,290",6.41,212,78.15,"12,221",-13.44,"2,157",56.99,"712,084",4.57,"19,942",-22.18,"110,270",-5.15,"-25,219",--,"341,828",8.06,"607,091",6.55
2011M01,"662,366",-2.01,"192,224",-10.56,"22,702",-31.74,"88,444",-1.42,"79,595",36.16,"279,317",-0.07,84,31.25,"10,638",-30.41,"4,947",196.23,"677,950",-2.15,"41,670",66.18,"105,794",-6.89,"-22,011",--,"345,124",8.26,"552,497",-5.17
2011M02,"678,110",-0.97,"196,167",-9.79,"22,526",-27.33,"88,213",-3.67,"83,534",43.63,"287,509",0.35,161,123.61,"9,907",-23.45,"5,407",462.64,"693,423",-0.75,"50,257",154.44,"106,597",-6.37,"-23,015",--,"348,400",5.62,"559,584",-5.62
2011M03,"682,722",-2.51,"199,396",-10.01,"22,678",-17.41,"86,476",-4.58,"79,606",40.37,"294,503",-3.07,63,-37.00,"10,704",-9.62,"7,228",218.41,"700,654",-1.93,"32,474",72.01,"107,126",-5.89,"-19,483",--,"343,234",2.13,"580,537",-5.03
2011M04,"672,490",-2.07,"197,394",-12.57,"22,100",-9.36,"83,143",-6.97,"84,213",31.62,"285,421",0.83,219,71.09,"9,359",-8.11,"6,488",126.62,"688,337",-1.64,"35,705",34.41,"104,046",-5.96,"-16,026",--,"337,243",0.32,"564,612",-3.99
2011M05,"639,448",-7.35,"190,079",-15.29,"18,350",-25.00,"82,217",-9.28,"78,024",-1.13,"270,740",-0.35,38,-69.84,"9,999",-12.76,"7,275",131.67,"656,721",-6.82,"34,822",20.93,"103,461",-6.00,"-20,286",--,"347,405",5.93,"538,724",-9.17
2011M06,"652,160",-8.60,"190,747",-14.51,"20,892",-12.30,"88,972",-1.74,"76,595",-8.59,"274,903",-5.91,51,-45.16,"9,905",-20.50,"8,267",197.27,"670,332",-8.02,"23,844",-12.90,"102,381",-6.35,"-18,444",--,"343,532",4.20,"562,551",-9.37
2011M07,"658,441",-8.32,"185,063",-15.00,"19,748",-17.13,"91,085",-0.08,"80,689",6.06,"281,730",-8.86,126,-51.72,"11,972",-16.16,"9,603",133.26,"680,016",-7.68,"26,152",-27.65,"102,950",-6.58,"-18,998",--,"350,456",3.45,"569,912",-7.75
2011M08,"685,728",-0.75,"183,928",-14.24,"20,320",-16.16,"93,690",5.82,"97,650",12.45,"290,002",4.84,138,-39.74,"10,348",-19.62,"11,294",123.47,"707,369",-0.21,"24,412",-22.58,"103,821",-4.49,"-18,694",--,"348,124",4.02,"597,830",0.83
2011M09,"706,791",2.50,"184,013",-11.45,"21,139",-11.10,"100,321",15.89,"106,795",59.69,"294,422",-3.22,101,-67.83,"10,669",-14.36,"11,723",164.94,"729,183",3.22,"40,213",2.72,"104,030",-4.96,"-18,193",--,"354,854",5.07,"603,133",3.42
2011M10,"706,825",1.41,"192,861",-11.36,"21,684",-9.85,"102,702",22.47,"99,052",24.94,"290,438",-0.51,88,-67.53,"9,349",-25.33,"10,170",238.09,"726,343",1.94,"29,050",-19.56,"104,280",-5.23,"-17,916",--,"352,871",3.43,"610,929",3.07
2011M11,"716,223",0.80,"199,153",-9.32,"22,167",-12.53,"105,518",24.67,"109,034",25.27,"280,238",-4.59,113,-41.45,"10,110",-21.12,"10,649",345.56,"736,981",1.55,"27,719",-32.07,"104,531",-4.82,"-18,753",--,"359,511",5.00,"623,484",3.77
2011M12,"743,225",6.52,"218,427",4.49,"23,284",-0.19,"109,622",25.94,"101,424",15.52,"290,414",0.04,54,-74.53,"9,953",-18.56,"7,405",243.28,"760,582",6.81,"21,897",9.80,"108,088",-1.98,"-17,762",--,"366,287",7.16,"648,359",6.80
2012M01,"732,897",10.65,"211,333",9.94,"23,502",3.52,"111,001",25.50,"99,285",24.74,"287,689",3.00,87,3.57,"9,631",-9.47,"6,326",27.88,"748,854",10.46,"21,611",-48.14,"108,564",2.62,"-16,716",--,"363,182",5.23,"635,395",15.00
2012M02,"726,548",7.14,"213,787",8.98,"22,747",0.98,"112,485",27.52,"96,308",15.29,"281,177",-2.20,44,-72.67,"9,799",-1.09,"7,438",37.56,"743,785",7.26,"39,964",-20.48,"109,263",2.50,"-18,108",--,"366,166",5.10,"612,666",9.49
2012M03,"730,032",6.93,"208,455",4.54,"23,061",1.69,"113,581",31.34,"94,438",18.63,"290,275",-1.44,222,252.38,"10,551",-1.43,"7,656",5.92,"748,239",6.79,"24,227",-25.40,"109,464",2.18,"-16,426",--,"364,955",6.33,"630,974",8.69
2012M04,"724,436",7.72,"207,751",5.25,"24,763",12.05,"115,177",38.53,"83,544",-0.79,"293,075",2.68,126,-42.47,"10,802",15.42,"8,055",24.15,"743,292",7.98,"29,611",-17.07,"106,874",2.72,"-12,720",--,"370,457",9.85,"619,527",9.73
2012M05,"728,311",13.90,"207,700",9.27,"24,955",35.99,"116,714",41.96,"80,935",3.73,"297,906",10.03,101,165.79,"9,456",-5.43,"8,592",18.11,"746,358",13.65,"39,882",14.53,"106,893",3.32,"-13,377",--,"380,387",9.49,"612,960",13.78
