期間,合計--美金(百萬美元)_原始值,合計--美金(百萬美元)_年增率(%),合計--歐元(百萬歐元)_原始值,合計--歐元(百萬歐元)_年增率(%),合計--日圓(億日圓)_原始值,合計--日圓(億日圓)_年增率(%),合計--其他(百萬美元)_原始值,合計--其他(百萬美元)_年增率(%),隔夜--美金(百萬美元)_原始值,隔夜--美金(百萬美元)_年增率(%),隔夜--歐元(百萬歐元)_原始值,隔夜--歐元(百萬歐元)_年增率(%),隔夜--日圓(億日圓)_原始值,隔夜--日圓(億日圓)_年增率(%),隔夜--其他(百萬美元)_原始值,隔夜--其他(百萬美元)_年增率(%),1~3週--美金(百萬美元)_原始值,1~3週--美金(百萬美元)_年增率(%),1~3週--歐元(百萬歐元)_原始值,1~3週--歐元(百萬歐元)_年增率(%),1~3週--日圓(億日圓)_原始值,1~3週--日圓(億日圓)_年增率(%),1~3週--其他(百萬美元)_原始值,1~3週--其他(百萬美元)_年增率(%),1~12個月--美金(百萬美元)_原始值,1~12個月--美金(百萬美元)_年增率(%),1~12個月--歐元(百萬歐元)_原始值,1~12個月--歐元(百萬歐元)_年增率(%),1~12個月--日圓(億日圓)_原始值,1~12個月--日圓(億日圓)_年增率(%),1~12個月--其他(百萬美元)_原始值,1~12個月--其他(百萬美元)_年增率(%),隔夜利率(%)--最高--美金_原始值,隔夜利率(%)--最高--美金_年增率(%),隔夜利率(%)--最高--歐元_原始值,隔夜利率(%)--最高--歐元_年增率(%),隔夜利率(%)--最高--日圓_原始值,隔夜利率(%)--最高--日圓_年增率(%),隔夜利率(%)--最低--美金_原始值,隔夜利率(%)--最低--美金_年增率(%),隔夜利率(%)--最低--歐元_原始值,隔夜利率(%)--最低--歐元_年增率(%),隔夜利率(%)--最低--日圓_原始值,隔夜利率(%)--最低--日圓_年增率(%)
2006M08,"118,663",20.80,39,178.57,25,...,20,...,"113,977",20.70,...,...,...,...,...,...,"1,894",317.18,...,...,...,...,...,...,"2,792",-16.53,38,171.43,25,...,19,...,5.35,-,...,-,...,-,5.06,-,...,-,...,-
2006M09,"113,551",29.37,77,285.00,53,...,33,...,"106,222",24.91,...,...,...,...,...,...,"4,404","1,372.91",9,50.00,...,...,...,...,"2,924",20.23,68,385.71,53,...,33,...,5.39,-,...,-,...,-,5.13,-,...,-,...,-
2006M10,"102,421",9.36,61,306.67,81,80.00,3,...,"99,606",9.91,...,...,...,...,...,...,365,-24.90,...,...,...,...,...,...,"2,450",-3.77,60,300.00,81,80.00,3,...,5.37,-,...,-,...,-,5.20,-,...,-,...,-
2006M11,"114,393",53.68,64,156.00,121,95.16,20,...,"110,279",55.42,...,...,...,...,...,...,602,40.33,...,...,...,...,...,...,"3,512",15.22,63,215.00,120,471.43,19,...,5.32,-,...,-,...,-,5.19,-,...,-,...,-
2006M12,"121,115",53.84,95,458.82,74,68.18,40,...,"116,171",56.68,55,...,...,...,...,...,"2,165",3.19,5,...,10,...,...,...,"2,779",11.92,35,105.88,63,57.50,39,...,5.44,-,3.75,-,...,-,5.16,-,3.72,-,...,-
2007M01,"127,676",81.19,34,100.00,87,-82.60,23,...,"124,186",86.47,5,...,...,...,...,...,240,-81.07,3,...,...,...,...,...,"3,249",25.11,26,52.94,86,-82.80,22,...,5.35,-,3.63,-,...,-,5.03,-,3.63,-,...,-
2007M02,"81,708",9.96,10,-72.97,67,-85.11,18,...,"79,000",11.52,...,...,...,...,...,...,141,-86.80,...,...,2,...,...,...,"2,566",7.14,10,-72.22,65,-85.56,17,...,5.34,-,...,-,...,-,5.18,-,...,-,...,-
2007M03,"128,855",25.51,85,400.00,95,630.77,35,288.89,"125,593",26.14,...,...,1,...,...,...,239,-62.77,...,...,19,...,...,...,"3,022",23.05,85,400.00,75,476.92,34,277.78,5.50,-,...,-,0.90,-,5.15,-,...,-,0.90,-
2007M04,"112,195",34.58,48,300.00,122,480.95,30,130.77,"109,106",35.93,...,...,...,...,...,...,136,-82.98,...,...,1,-88.89,...,...,"2,953",28.39,48,300.00,121,908.33,30,150.00,5.35,-,...,-,...,-,5.22,-,...,-,...,-
2007M05,"137,953",47.53,36,176.92,94,67.86,41,...,"134,022",48.35,...,...,...,...,...,...,38,-88.72,5,...,3,-86.36,...,...,"3,892",37.62,31,138.46,90,164.71,40,...,5.36,-,...,-,...,-,5.21,-,...,-,...,-
2007M06,"134,654",8.09,40,-27.27,100,-38.65,13,62.50,"131,028",7.93,...,...,...,...,...,...,806,60.56,...,...,25,-21.88,...,...,"2,819",5.58,40,25.00,74,-43.51,12,50.00,5.60,-,...,-,...,-,5.19,-,...,-,...,-
2007M07,"144,098",20.32,39,-11.36,141,27.03,18,80.00,"139,671",20.26,...,...,...,...,...,...,782,20.12,...,...,4,100.00,...,...,"3,645",23.02,38,-13.64,136,25.93,18,100.00,5.41,-,...,-,...,-,5.18,-,...,-,...,-
2007M08,"158,110",33.24,52,33.33,130,420.00,37,85.00,"154,041",35.15,...,...,...,...,...,...,824,-56.49,...,...,...,...,...,...,"3,244",16.19,52,36.84,129,416.00,36,89.47,6.60,-,...,-,...,-,4.85,-,...,-,...,-
2007M09,"117,677",3.63,133,72.73,107,101.89,46,39.39,"113,374",6.73,...,...,...,...,...,...,965,-78.09,5,-44.44,...,...,...,...,"3,337",14.12,127,86.76,106,100.00,46,39.39,5.78,-,...,-,...,-,4.70,-,...,-,...,-
2007M10,"147,339",43.86,189,209.84,470,480.25,10,233.33,"141,789",42.35,...,...,...,...,...,...,267,-26.85,19,...,...,...,...,...,"5,282",115.59,170,183.33,470,480.25,10,233.33,5.01,-,...,-,...,-,4.65,-,...,-,...,-
2007M11,"154,892",35.40,189,195.31,534,341.32,4,-80.00,"149,844",35.88,...,...,...,...,...,...,357,-40.70,...,...,...,...,...,...,"4,691",33.57,188,198.41,534,345.00,4,-78.95,5.00,-,...,-,...,-,4.44,-,...,-,...,-
2007M12,"155,995",28.80,160,68.42,650,778.38,22,-45.00,"151,179",30.13,4,-92.73,...,...,...,...,864,-60.09,...,...,...,...,...,...,"3,951",42.17,156,345.71,649,930.16,22,-43.59,6.25,-,4.58,-,...,-,4.00,-,4.58,-,...,-
2008M01,"164,119",28.54,178,423.53,503,478.16,22,-4.35,"158,246",27.43,...,...,...,...,...,...,"1,333",455.42,...,...,...,...,...,...,"4,540",39.74,177,580.77,503,484.88,22,0.00,4.47,-,...,-,...,-,3.10,-,...,-,...,-
2008M02,"132,971",62.74,208,"1,980.00",758,"1,031.34",56,211.11,"128,102",62.15,...,...,...,...,...,...,475,236.88,2,...,...,...,...,...,"4,393",71.20,206,"1,960.00",757,"1,064.62",56,229.41,3.24,-,...,-,...,-,2.96,-,...,-,...,-
2008M03,"195,786",51.94,191,124.71,445,368.42,16,-54.29,"190,647",51.80,...,...,...,...,...,...,309,29.29,...,...,...,...,...,...,"4,829",59.79,190,123.53,444,492.00,16,-52.94,3.65,-,...,-,...,-,2.25,-,...,-,...,-
2008M04,"161,835",44.24,219,356.25,677,454.92,29,-3.33,"156,270",43.23,3,...,...,...,...,...,897,559.56,10,...,...,...,...,...,"4,667",58.04,205,327.08,676,458.68,29,-3.33,3.08,-,4.77,-,...,-,2.20,-,4.77,-,...,-
2008M05,"167,919",21.72,240,566.67,774,723.40,116,182.93,"162,272",21.08,...,...,...,...,...,...,832,"2,089.47",32,540.00,5,66.67,...,...,"4,814",23.69,208,570.97,768,753.33,116,190.00,2.86,-,...,-,...,-,2.02,-,...,-,...,-
