期間,資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款-計_原始值,資產--放款-計_年增率(%),資產--放款-政府機關_原始值,資產--放款-政府機關_年增率(%),資產--放款-公營事業_原始值,資產--放款-公營事業_年增率(%),資產--放款-民間部門_原始值,資產--放款-民間部門_年增率(%),資產--對非金融機構證券投資-計_原始值,資產--對非金融機構證券投資-計_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-人壽保險公司等_原始值,資產--對金融機構債權-人壽保險公司等_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--企業及個人存款-計_原始值,負債與淨值--企業及個人存款-計_年增率(%),負債與淨值--企業及個人存款-支票存款_原始值,負債與淨值--企業及個人存款-支票存款_年增率(%),負債與淨值--企業及個人存款-活期存款_原始值,負債與淨值--企業及個人存款-活期存款_年增率(%),負債與淨值--企業及個人存款-活期儲蓄存款_原始值,負債與淨值--企業及個人存款-活期儲蓄存款_年增率(%),負債與淨值--企業及個人存款-定期存款_原始值,負債與淨值--企業及個人存款-定期存款_年增率(%),負債與淨值--企業及個人存款-可轉讓定期存單_原始值,負債與淨值--企業及個人存款-可轉讓定期存單_年增率(%),負債與淨值--企業及個人存款-定期儲蓄存款_原始值,負債與淨值--企業及個人存款-定期儲蓄存款_年增率(%),負債與淨值--企業及個人存款-外匯存款_原始值,負債與淨值--企業及個人存款-外匯存款_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--對金融機構負債-中央銀行_原始值,負債與淨值--對金融機構負債-中央銀行_年增率(%),負債與淨值--對金融機構負債-其他貨幣機構_原始值,負債與淨值--對金融機構負債-其他貨幣機構_年增率(%),負債與淨值--對金融機構負債-其他金融機構-中華郵政公司_原始值,負債與淨值--對金融機構負債-其他金融機構-中華郵政公司_年增率(%),負債與淨值--對金融機構負債-人壽保險公司等_原始值,負債與淨值--對金融機構負債-人壽保險公司等_年增率(%),負債與淨值--金融債券_原始值,負債與淨值--金融債券_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
2010M01,"29,197,474",8.48,"2,414,351",0.90,"17,104,467",2.99,"1,623,520",21.97,"730,125",-4.24,"14,750,822",1.63,"1,513,397",-13.73,"699,609",-19.93,"142,214",-15.64,"671,574",-5.65,"78,461",-17.03,1,0.00,"6,305,372",46.93,"211,853",-20.90,2,-99.58,"221,261",-3.58,"1,348,309",5.56,"748,157",-0.40,"21,068,380",8.96,"334,564",15.90,"2,295,890",47.26,"6,004,770",29.69,"3,624,579",-4.41,"138,066",1.76,"6,522,379",-6.62,"2,148,132",10.38,"590,831",0.89,"61,994",9.31,"1,979,174",1.34,"708,876",-14.54,"686,235",81.14,"783,694",-9.52,"1,355,805",14.08,"1,923,204",6.86
2010M02,"29,069,364",6.33,"2,287,274",-11.98,"17,098,300",4.03,"1,621,980",18.46,"699,511",-3.32,"14,776,809",3.03,"1,534,359",-14.15,"711,952",-21.89,"140,201",-19.26,"682,206",-2.84,"71,964",-17.78,1,0.00,"6,360,057",37.01,"143,775",-48.20,2,-99.77,"199,981",23.47,"1,373,651",1.94,"755,693",-1.15,"21,013,153",7.11,"317,259",10.46,"2,219,565",34.41,"6,033,204",27.16,"3,653,784",-2.96,"147,915",7.40,"6,511,093",-6.53,"2,130,333",3.10,"554,529",-7.80,"66,481",43.55,"1,949,938",1.05,"674,072",-18.22,"721,436",83.22,"760,712",-10.48,"1,325,528",-0.30,"1,921,894",6.47
2010M03,"29,088,871",7.21,"2,413,065",-6.96,"17,070,215",4.02,"1,551,644",13.97,"681,621",-5.92,"14,836,950",3.57,"1,486,567",-19.11,"677,362",-27.89,"142,876",-22.63,"666,329",-6.64,"76,571",-5.21,1,0.00,"6,556,081",35.86,"170,883",-22.88,2,-99.77,"165,685",3.17,"1,149,801",14.72,"733,884",-4.72,"21,097,841",6.62,"292,471",13.22,"2,254,076",27.05,"6,028,247",21.39,"3,699,094",-0.18,"154,172",27.26,"6,512,115",-6.17,"2,157,666",6.66,"577,753",-3.58,"49,732",-13.18,"1,917,873",4.76,"662,050",-19.03,"780,080",78.95,"746,901",-6.28,"1,248,868",20.32,"1,935,939",6.53
2010M04,"29,289,038",6.04,"2,354,071",-9.08,"17,156,191",4.58,"1,504,217",7.37,"731,024",-0.92,"14,920,950",4.59,"1,481,649",-20.46,"666,498",-28.22,"133,205",-24.85,"681,946",-9.90,"75,586",-3.72,1,0.00,"6,652,801",32.49,"251,672",-11.57,2,-99.75,"160,108",-0.82,"1,156,957",-5.00,"744,815",-5.74,"21,159,697",6.32,"293,245",14.41,"2,282,358",24.42,"6,101,028",18.87,"3,724,829",1.35,"148,589",26.69,"6,505,806",-5.73,"2,103,842",6.05,"609,977",1.72,"64,270",29.97,"1,908,845",2.73,"647,394",-20.56,"782,593",66.25,"747,767",-6.76,"1,322,014",-1.48,"1,949,060",7.84
2010M05,"29,981,874",7.05,"2,277,672",-14.55,"17,451,664",6.48,"1,480,843",8.66,"755,702",1.77,"15,215,119",6.52,"1,491,636",-20.52,"696,991",-25.39,"125,306",-27.31,"669,339",-13.10,"75,461",-3.58,1,0.00,"6,698,370",24.03,"239,116",-32.87,2,-99.82,"162,596",-0.57,"1,585,356",47.25,"959,953",20.91,"21,310,805",6.44,"310,438",9.99,"2,379,991",30.44,"5,972,087",11.43,"3,821,576",6.05,"178,297",55.57,"6,503,609",-5.21,"2,144,807",8.61,"654,983",8.04,"96,376",-1.27,"1,892,157",-9.09,"613,385",-25.12,"777,506",57.72,"745,225",-6.64,"1,579,536",21.42,"1,965,333",8.23
2010M06,"29,754,167",7.43,"2,225,277",-14.18,"17,531,764",6.67,"1,404,910",7.90,"761,382",2.73,"15,365,472",6.76,"1,440,173",-17.02,"662,605",-24.21,"139,041",-13.83,"638,527",-8.77,"72,569",3.77,1,0.00,"6,682,493",18.70,"264,726",15.33,2,0.00,"161,669",4.11,"1,375,493",62.41,"881,131",21.72,"21,416,991",6.73,"318,278",14.40,"2,466,041",23.88,"5,979,299",12.16,"3,839,284",6.99,"195,342",64.84,"6,518,620",-4.39,"2,100,127",8.14,"638,149",4.21,"63,766",-9.96,"1,885,789",-6.97,"619,555",-21.88,"875,366",64.38,"753,582",-5.64,"1,277,221",20.50,"1,962,172",8.77
2010M07,"30,041,714",8.43,"2,187,664",-12.50,"17,666,433",7.29,"1,431,074",3.66,"773,009",-0.30,"15,462,350",8.05,"1,430,876",-13.86,"619,746",-22.65,"149,493",4.79,"661,637",-7.77,"72,986",9.69,1,0.00,"6,750,630",15.72,"269,579",13.00,2,-99.75,"161,607",5.13,"1,501,936",91.34,"918,130",27.41,"21,575,622",7.06,"351,605",33.33,"2,412,616",22.94,"6,128,996",11.00,"3,810,136",6.57,"192,367",63.04,"6,539,083",-3.58,"2,140,819",10.88,"627,407",1.88,"87,178",32.93,"1,900,834",-3.55,"592,924",-23.64,"834,801",61.22,"750,480",-4.77,"1,361,389",30.90,"1,985,873",8.33
2010M08,"30,095,931",6.72,"2,180,475",-18.97,"17,809,823",6.81,"1,445,297",-0.87,"775,079",1.36,"15,589,447",7.87,"1,475,273",-6.22,"625,171",-18.22,"152,064",9.67,"698,038",4.17,"68,978",-0.08,1,0.00,"6,778,125",13.70,"299,061",42.69,2,0.00,"161,701",3.15,"1,322,492",52.84,"1,000,557",22.55,"21,674,937",6.41,"320,681",11.85,"2,544,710",19.25,"6,175,303",11.74,"3,773,151",7.60,"188,094",82.95,"6,541,413",-2.99,"2,131,585",3.03,"641,901",4.44,"70,005",29.81,"1,923,738",-2.12,"573,093",-25.96,"832,736",35.58,"758,515",-3.87,"1,192,616",4.08,"2,000,926",9.18
2010M09,"30,192,937",5.90,"2,236,456",-15.97,"17,849,647",6.67,"1,406,887",-1.32,"786,910",6.32,"15,655,850",7.47,"1,418,597",-10.39,"623,929",-20.09,"135,444",-1.56,"659,224",-0.81,"66,500",1.06,1,0.00,"6,827,535",12.72,"208,924",-17.21,2,-98.96,"161,793",4.58,"1,423,482",41.89,"1,017,255",16.60,"21,804,895",6.43,"304,754",8.57,"2,431,288",17.47,"6,347,673",11.61,"3,738,941",6.56,"170,842",54.08,"6,551,050",-2.50,"2,260,347",7.07,"670,987",9.12,"83,583",22.73,"1,801,442",-10.61,"548,425",-27.77,"792,158",39.10,"763,862",-3.21,"1,237,115",0.01,"2,021,640",8.86
2010M10,"30,510,732",7.01,"2,290,301",-10.63,"17,937,092",7.64,"1,390,719",3.39,"792,351",10.43,"15,754,022",7.89,"1,461,243",-8.14,"662,509",-16.58,"129,617",-4.89,"669,117",1.35,"67,987",8.45,1,0.00,"6,878,533",9.86,"250,356",0.60,102,142.86,"162,673",4.79,"1,462,444",51.45,"930,658",11.16,"22,036,575",6.58,"341,547",11.06,"2,435,225",10.13,"6,353,879",9.26,"3,820,811",9.16,"178,087",52.37,"6,542,618",-1.65,"2,364,408",14.08,"670,152",12.20,"57,287",28.43,"1,800,232",-9.86,"521,363",-29.86,"799,943",43.49,"761,297",-4.41,"1,424,078",24.35,"2,030,510",9.18
