期間,發生次數(次)_原始值,發生次數(次)_年增率(%),發生次數(次)_原始值,發生次數(次)_年增率(%),發生次數(次)_原始值,發生次數(次)_年增率(%),發生次數(次)_原始值,發生次數(次)_年增率(%),發生次數(次)_原始值,發生次數(次)_年增率(%),房屋全倒(戶)_原始值,房屋全倒(戶)_年增率(%),房屋全倒(戶)_原始值,房屋全倒(戶)_年增率(%),房屋全倒(戶)_原始值,房屋全倒(戶)_年增率(%),房屋全倒(戶)_原始值,房屋全倒(戶)_年增率(%),房屋全倒(戶)_原始值,房屋全倒(戶)_年增率(%),房屋半倒(戶)_原始值,房屋半倒(戶)_年增率(%),房屋半倒(戶)_原始值,房屋半倒(戶)_年增率(%),房屋半倒(戶)_原始值,房屋半倒(戶)_年增率(%),房屋半倒(戶)_原始值,房屋半倒(戶)_年增率(%),房屋半倒(戶)_原始值,房屋半倒(戶)_年增率(%),出動救災人次_原始值,出動救災人次_年增率(%),出動救災人次_原始值,出動救災人次_年增率(%),出動救災人次_原始值,出動救災人次_年增率(%),出動救災人次_原始值,出動救災人次_年增率(%),出動救災人次_原始值,出動救災人次_年增率(%),搶救災民人數(人)_原始值,搶救災民人數(人)_年增率(%),搶救災民人數(人)_原始值,搶救災民人數(人)_年增率(%),搶救災民人數(人)_原始值,搶救災民人數(人)_年增率(%),搶救災民人數(人)_原始值,搶救災民人數(人)_年增率(%),搶救災民人數(人)_原始值,搶救災民人數(人)_年增率(%),死亡人數(人)_原始值,死亡人數(人)_年增率(%),死亡人數(人)_原始值,死亡人數(人)_年增率(%),死亡人數(人)_原始值,死亡人數(人)_年增率(%),死亡人數(人)_原始值,死亡人數(人)_年增率(%),死亡人數(人)_原始值,死亡人數(人)_年增率(%),失蹤人數(人)_原始值,失蹤人數(人)_年增率(%),失蹤人數(人)_原始值,失蹤人數(人)_年增率(%),失蹤人數(人)_原始值,失蹤人數(人)_年增率(%),失蹤人數(人)_原始值,失蹤人數(人)_年增率(%),失蹤人數(人)_原始值,失蹤人數(人)_年增率(%),受傷人數(人)_原始值,受傷人數(人)_年增率(%),受傷人數(人)_原始值,受傷人數(人)_年增率(%),受傷人數(人)_原始值,受傷人數(人)_年增率(%),受傷人數(人)_原始值,受傷人數(人)_年增率(%),受傷人數(人)_原始值,受傷人數(人)_年增率(%)
2000,11,175.00,6,500.00,2,100.00,2,0.00,1,--,434,-99.16,434,--,0,-100.00,0,-100.00,0,--,"1,725",-96.80,"1,725","172,400.00",0,--,0,-100.00,0,--,"97,087",-75.40,"90,168","3,875.66","1,804",118.14,"5,100",-98.70,15,--,293,-94.14,0,--,293,--,0,-100.00,0,--,93,-96.15,78,"7,700.00",6,200.00,5,-99.79,4,--,33,-5.71,32,540.00,1,0.00,0,-100.00,0,--,232,-97.99,178,--,6,200.00,48,-99.59,0,--
2001,9,-18.18,8,33.33,0,-100.00,1,-50.00,0,-100.00,646,48.85,646,48.85,0,--,0,--,0,--,"1,978",14.67,"1,978",14.67,0,--,0,--,0,--,"37,496",-61.38,"37,243",-58.70,0,-100.00,253,-95.04,0,-100.00,"2,472",743.69,"2,472",--,0,-100.00,0,--,0,--,225,141.94,225,188.46,0,-100.00,0,-100.00,0,-100.00,129,290.91,129,303.12,0,-100.00,0,--,0,--,588,153.45,585,228.65,0,-100.00,3,-93.75,0,--
2002,4,-55.56,3,-62.50,0,--,1,0.00,0,--,0,-100.00,0,-100.00,0,--,0,--,0,--,160,-91.91,0,-100.00,0,--,160,--,0,--,"23,555",-37.18,"22,235",-40.30,0,--,"1,320",421.74,0,--,"6,443",160.64,"5,962",141.18,0,--,481,--,0,--,10,-95.56,5,-97.78,0,--,5,--,0,--,1,-99.22,1,-99.22,0,--,0,--,0,--,281,-52.21,12,-97.95,0,--,269,"8,866.67",0,--
2003,8,100.00,7,133.33,0,--,1,0.00,0,--,0,--,0,--,0,--,0,--,0,--,0,-100.00,0,--,0,--,0,-100.00,0,--,"5,165",-78.07,"5,087",-77.12,0,--,78,-94.09,0,--,277,-95.70,277,-95.35,0,--,0,-100.00,0,--,6,-40.00,6,20.00,0,--,0,-100.00,0,--,1,0.00,1,0.00,0,--,0,--,0,--,20,-92.88,5,-58.33,0,--,15,-94.42,0,--
2004,12,50.00,9,28.57,2,--,1,0.00,0,--,376,--,342,--,34,--,0,--,0,--,154,--,44,--,110,--,0,--,0,--,"226,471","4,284.72","105,928","1,982.33","120,485",--,58,-25.64,0,--,"13,011","4,597.11","6,468","2,235.02","6,543",--,0,--,0,--,60,900.00,27,350.00,31,--,2,--,0,--,34,"3,300.00",22,"2,100.00",12,--,0,--,0,--,525,"2,525.00",504,"9,980.00",20,--,1,-93.33,0,--
2005,6,-50.00,4,-55.56,2,0.00,0,-100.00,0,--,27,-92.82,27,-92.11,0,-100.00,0,--,0,--,143,-7.14,142,222.73,1,-99.09,0,--,0,--,"77,542",-65.76,"61,517",-41.93,"16,025",-86.70,0,-100.00,0,--,"3,849",-70.42,"2,323",-64.08,"1,526",-76.68,0,--,0,--,41,-31.67,19,-29.63,22,-29.03,0,-100.00,0,--,8,-76.47,4,-81.82,4,-66.67,0,--,0,--,152,-71.05,145,-71.23,7,-65.00,0,-100.00,0,--
2006,9,50.00,5,25.00,2,0.00,2,--,0,--,60,122.22,2,-92.59,41,--,17,--,0,--,43,-69.93,13,-90.85,19,"1,800.00",11,--,0,--,"54,373",-29.88,"48,953",-20.42,"4,586",-71.38,834,--,0,--,836,-78.28,209,-91.00,615,-59.70,12,--,0,--,9,-78.05,3,-84.21,4,-81.82,2,--,0,--,4,-50.00,0,-100.00,4,0.00,0,--,0,--,87,-42.76,6,-95.86,2,-71.43,79,--,0,--
2007,9,0.00,6,20.00,2,0.00,0,-100.00,1,--,54,-10.00,54,"2,600.00",0,-100.00,0,-100.00,0,--,85,97.67,85,553.85,0,-100.00,0,-100.00,0,--,"161,721",197.43,"153,547",213.66,"8,083",76.25,0,-100.00,91,--,"1,808",116.27,"1,049",401.91,755,22.76,0,-100.00,4,--,21,133.33,13,333.33,5,25.00,0,-100.00,3,--,3,-25.00,3,--,0,-100.00,0,--,0,--,153,75.86,148,"2,366.67",1,-50.00,0,-100.00,4,--
2008,12,33.33,6,0.00,6,200.00,0,--,0,-100.00,66,22.22,66,22.22,0,--,0,--,0,--,17,-80.00,17,-80.00,0,--,0,--,0,--,"198,172",22.54,"193,774",26.20,"4,398",-45.59,0,--,0,-100.00,"2,644",46.24,"2,272",116.59,372,-50.73,0,--,0,-100.00,42,100.00,31,138.46,11,120.00,0,--,0,-100.00,14,366.67,11,266.67,3,--,0,--,0,--,105,-31.37,100,-32.43,5,400.00,0,--,0,-100.00
2009,6,-50.00,3,-50.00,1,-83.33,2,--,0,--,99,50.00,99,50.00,0,--,0,--,0,--,250,"1,370.59",250,"1,370.59",0,--,0,--,0,--,"581,555",193.46,"579,767",199.20,"1,782",-59.48,6,--,0,--,"63,814","2,313.54","63,814","2,708.71",0,-100.00,0,--,0,--,644,"1,433.33",644,"1,977.42",0,-100.00,0,--,0,--,60,328.57,60,445.45,0,-100.00,0,--,0,--,"1,560","1,385.71","1,557","1,457.00",0,-100.00,3,--,0,--
