期間,單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),單位數(家)_原始值,單位數(家)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%),人數(人)_原始值,人數(人)_年增率(%)
2002M11,"404,517",1.25,"116,012",-1.47,"239,986",2.23,"8,015",6.71,"8,564",-0.04,728,2.82,206,0.00,"2,655",4.90,39,0.00,"28,312",3.12,"7,881,202",1.14,"2,426,690",0.19,"2,323,915",2.30,"196,491",1.28,"272,092",-2.59,"3,675",-4.12,"12,683",-9.71,"2,134,265",0.92,"282,254",5.57,"229,137",1.69
2002M12,"404,452",1.29,"115,821",-1.43,"240,134",2.31,"8,045",6.73,"8,556",-0.27,728,2.39,122,-26.95,"2,667",4.96,39,0.00,"28,340",3.05,"7,857,842",1.01,"2,423,541",0.41,"2,322,038",2.39,"196,377",0.93,"265,556",-4.97,"3,651",-5.07,"6,594",-42.61,"2,127,821",0.64,"282,851",5.29,"229,413",1.76
2003M01,"404,374",1.32,"115,565",-1.38,"240,201",2.28,"8,073",6.56,"8,553",0.04,730,3.84,115,-1.71,"2,675",4.82,39,0.00,"28,423",3.25,"7,871,740",1.18,"2,419,308",0.51,"2,333,653",2.48,"197,453",1.29,"267,309",-2.62,"3,628",-4.60,"6,740",-17.62,"2,130,558",0.57,"283,095",4.87,"229,996",1.66
2003M02,"404,704",1.34,"115,457",-1.35,"240,524",2.31,"8,133",6.91,"8,548",-0.48,729,3.85,105,-0.94,"2,684",4.93,39,0.00,"28,485",3.22,"7,866,532",1.48,"2,415,687",1.02,"2,325,030",2.85,"197,751",2.08,"271,215",-1.93,"3,626",-3.97,"7,759",-8.01,"2,131,382",0.57,"283,967",4.40,"230,115",1.72
2003M03,"405,230",1.54,"115,327",-1.23,"240,867",2.47,"8,200",7.22,"8,571",-0.15,730,4.43,112,4.67,"2,697",5.02,39,0.00,"28,687",3.92,"7,868,580",1.56,"2,418,995",1.00,"2,326,626",3.35,"192,976",-0.02,"274,336",-0.89,"3,596",-2.65,"8,090",-6.80,"2,128,260",0.35,"284,021",3.94,"231,680",2.76
2003M04,"405,879",1.53,"115,207",-1.27,"241,382",2.43,"8,263",7.40,"8,571",-0.09,734,4.56,153,30.77,"2,704",4.89,39,0.00,"28,826",4.12,"7,899,537",1.81,"2,420,828",0.75,"2,336,295",3.77,"198,927",3.02,"279,113",1.19,"3,619",-2.56,"9,140",2.92,"2,133,380",0.52,"285,167",3.59,"233,068",3.40
2003M05,"406,947",1.58,"115,243",-1.20,"242,153",2.43,"8,324",7.36,"8,570",-0.06,734,4.71,204,56.92,"2,713",4.71,39,0.00,"28,967",4.36,"7,916,161",1.73,"2,421,951",0.52,"2,342,278",3.56,"198,953",3.29,"282,644",2.85,"3,630",-2.45,"11,338",22.23,"2,137,745",0.50,"285,141",3.17,"232,481",2.71
2003M06,"407,632",1.57,"115,138",-1.21,"242,717",2.35,"8,372",7.55,"8,568",0.02,735,4.26,229,57.93,"2,718",4.58,39,0.00,"29,116",4.80,"7,907,270",1.23,"2,416,192",-0.17,"2,344,894",2.98,"198,805",2.52,"280,359",3.21,"3,569",-4.34,"10,380",33.59,"2,133,036",0.06,"285,919",2.70,"234,116",3.25
2003M07,"408,619",1.70,"115,131",-1.08,"243,511",2.47,"8,400",7.38,"8,582",0.35,731,3.54,265,32.50,"2,720",4.25,39,0.00,"29,240",5.03,"7,977,231",1.88,"2,431,832",0.16,"2,373,514",3.41,"200,533",3.39,"297,981",14.62,"3,559",-5.22,"14,583",16.60,"2,132,191",0.04,"286,186",2.48,"236,852",4.84
2003M08,"409,212",1.53,"115,064",-1.12,"244,017",2.24,"8,434",7.06,"8,586",0.46,724,2.40,287,17.62,"2,729",3.88,39,0.00,"29,332",4.88,"8,013,923",2.11,"2,433,157",0.30,"2,386,466",3.57,"201,905",4.13,"313,028",19.56,"3,548",-5.49,"15,122",1.84,"2,133,872",-0.10,"286,853",1.97,"239,972",6.08
