期間,10天_原始值,10天_年增率(%),10天_原始值,10天_年增率(%),30天_原始值,30天_年增率(%),30天_原始值,30天_年增率(%),60天_原始值,60天_年增率(%),60天_原始值,60天_年增率(%),90天_原始值,90天_年增率(%),90天_原始值,90天_年增率(%),120天_原始值,120天_年增率(%),120天_原始值,120天_年增率(%),180天_原始值,180天_年增率(%),180天_原始值,180天_年增率(%)
2005,32.712,-3.45,32.876,-2.79,32.647,-3.36,32.817,-2.69,32.572,-3.28,32.743,-2.61,32.481,-3.18,32.652,-2.51,32.395,-3.07,32.565,-2.37,32.203,-2.87,32.373,-2.13
2006,32.492,0.68,32.616,0.80,32.417,0.71,32.548,0.83,32.327,0.76,32.458,0.88,32.233,0.77,32.363,0.89,32.143,0.78,32.275,0.90,31.950,0.79,32.081,0.91
2007,32.330,0.50,32.487,0.40,32.268,0.46,32.438,0.34,32.191,0.42,32.363,0.29,32.114,0.37,32.286,0.24,32.030,0.35,32.213,0.19,31.886,0.20,32.088,-0.02
2008,32.703,-1.14,32.929,-1.34,32.686,-1.28,32.925,-1.48,32.626,-1.33,32.915,-1.68,32.586,-1.45,32.870,-1.78,32.521,-1.51,32.820,-1.85,32.401,-1.59,32.740,-1.99
