期間,合計_原始值,合計_年增率(%),貼現_原始值,貼現_年增率(%),進口押匯_原始值,進口押匯_年增率(%),短期放款與透支-計_原始值,短期放款與透支-計_年增率(%),短期放款與透支-無擔保_原始值,短期放款與透支-無擔保_年增率(%),短期放款與透支-擔保_原始值,短期放款與透支-擔保_年增率(%),中長期放款-計_原始值,中長期放款-計_年增率(%),中長期放款-無擔保_原始值,中長期放款-無擔保_年增率(%),中長期放款-擔保_原始值,中長期放款-擔保_年增率(%)
2005,"16,098,378",8.32,592,9.63,925,-21.41,"4,119,240",3.61,"2,908,221",5.87,"1,211,019",-1.45,"11,977,621",10.04,"4,577,526",9.29,"7,400,095",10.50
2006,"16,501,113",2.50,509,-14.02,"1,034",11.78,"4,087,932",-0.76,"2,781,766",-4.35,"1,306,166",7.86,"12,411,638",3.62,"4,341,098",-5.16,"8,070,540",9.06
2007,"16,944,572",2.69,528,3.73,472,-54.35,"4,149,855",1.51,"2,786,053",0.15,"1,363,802",4.41,"12,793,717",3.08,"4,066,071",-6.34,"8,727,646",8.14
2008,"17,378,376",2.56,278,-47.35,122,-74.15,"4,193,779",1.06,"2,813,604",0.99,"1,380,175",1.20,"13,184,197",3.05,"4,097,103",0.76,"9,087,094",4.12
