期間,婦女福利服務中心-年底機構數-合計_原始值,婦女福利服務中心-年底機構數-合計_年增率(%),婦女福利服務中心-年底機構數-公立_原始值,婦女福利服務中心-年底機構數-公立_年增率(%),婦女福利服務中心-年底機構數-私立_原始值,婦女福利服務中心-年底機構數-私立_年增率(%),婦女福利服務中心-年底機構數-公設民營_原始值,婦女福利服務中心-年底機構數-公設民營_年增率(%),婦女中途之家、庇護中心-年底機構數-合計_原始值,婦女中途之家、庇護中心-年底機構數-合計_年增率(%),婦女中途之家、庇護中心-年底機構數-公立_原始值,婦女中途之家、庇護中心-年底機構數-公立_年增率(%),婦女中途之家、庇護中心-年底機構數-私立_原始值,婦女中途之家、庇護中心-年底機構數-私立_年增率(%),婦女中途之家、庇護中心-年底機構數-公設民營_原始值,婦女中途之家、庇護中心-年底機構數-公設民營_年增率(%),婦女中途之家、庇護中心-最高可收容人數(人)_原始值,婦女中途之家、庇護中心-最高可收容人數(人)_年增率(%),婦女中途之家、庇護中心-收容個案數(人次)_原始值,婦女中途之家、庇護中心-收容個案數(人次)_年增率(%),法律諮詢(人次)_原始值,法律諮詢(人次)_年增率(%),諮商輔導(人次)_原始值,諮商輔導(人次)_年增率(%),親職講座-辦理次數(次)_原始值,親職講座-辦理次數(次)_年增率(%),親職講座-參加人次_原始值,親職講座-參加人次_年增率(%),婦女福利(服務)活動-辦理次數(次)_原始值,婦女福利(服務)活動-辦理次數(次)_年增率(%),婦女福利(服務)活動-參加人次_原始值,婦女福利(服務)活動-參加人次_年增率(%),婦女學苑(成長教育)-班數(班)_原始值,婦女學苑(成長教育)-班數(班)_年增率(%),婦女學苑(成長教育)-參加人次_原始值,婦女學苑(成長教育)-參加人次_年增率(%),其他婦女福利服務-辦理次數(次)_原始值,其他婦女福利服務-辦理次數(次)_年增率(%),其他婦女福利服務-參加人次_原始值,其他婦女福利服務-參加人次_年增率(%),外籍配偶電話訪問(人次)_原始值,外籍配偶電話訪問(人次)_年增率(%),外籍配偶家庭訪視(人次)_原始值,外籍配偶家庭訪視(人次)_年增率(%),外籍配偶個案管理輔導服務人次_原始值,外籍配偶個案管理輔導服務人次_年增率(%),外籍配偶個人支持性服務-辦理場次(次)_原始值,外籍配偶個人支持性服務-辦理場次(次)_年增率(%),外籍配偶個人支持性服務-參加人次_原始值,外籍配偶個人支持性服務-參加人次_年增率(%),外籍配偶家庭支持性服務-辦理次數(次)_原始值,外籍配偶家庭支持性服務-辦理次數(次)_年增率(%),外籍配偶家庭支持性服務-參加人次_原始值,外籍配偶家庭支持性服務-參加人次_年增率(%),外籍配偶福利宣傳活動-辦理次數(次)_原始值,外籍配偶福利宣傳活動-辦理次數(次)_年增率(%),外籍配偶福利宣傳活動-參加人次_原始值,外籍配偶福利宣傳活動-參加人次_年增率(%),外籍配偶生活適應輔導班(含進階班)-班數(班)_原始值,外籍配偶生活適應輔導班(含進階班)-班數(班)_年增率(%),外籍配偶生活適應輔導班(含進階班)-參加人次_原始值,外籍配偶生活適應輔導班(含進階班)-參加人次_年增率(%),其他外籍配偶家庭福利服務-班數(班)_原始值,其他外籍配偶家庭福利服務-班數(班)_年增率(%),其他外籍配偶家庭福利服務-參加人次_原始值,其他外籍配偶家庭福利服務-參加人次_年增率(%)
2010,63,3.28,36,5.88,3,50.00,24,-4.00,41,7.89,5,66.67,27,8.00,9,-10.00,412,19.42,"3,292",-1.44,"23,000",-10.16,"49,653",58.03,771,23.56,"43,591",40.34,"4,493",135.48,"263,686",33.12,"2,612",19.71,"83,527",1.45,"3,072",66.59,"235,062",79.30,"112,597",5.97,"24,162",24.62,"44,409",48.63,"1,452",75.79,"36,797",10.30,"1,679",232.48,"88,887",175.66,839,96.03,"65,616",-10.48,321,54.33,"9,018",5.13,...,...,...,...
2011,52,-17.46,28,-22.22,3,0.00,21,-12.50,37,-9.76,5,0.00,20,-25.93,12,33.33,460,11.65,"2,917",-11.39,"21,641",-5.91,"53,976",8.71,"2,336",202.98,"83,301",91.10,"3,836",-14.62,"245,763",-6.80,"1,970",-24.58,"91,720",9.81,"11,366",269.99,"274,230",16.66,"85,564",-24.01,"15,951",-33.98,"33,878",-23.71,"1,010",-30.44,"44,713",21.51,"1,675",-0.24,"71,504",-19.56,588,-29.92,"78,474",19.60,173,-46.11,"11,768",30.49,258,...,"7,953",...
2012,51,-1.92,28,0.00,2,-33.33,21,0.00,40,8.11,5,0.00,18,-10.00,17,41.67,449,-2.39,"2,927",0.34,"28,019",29.47,"40,761",-24.48,"1,121",-52.01,"41,611",-50.05,"4,743",23.64,"287,328",16.91,"1,699",-13.76,"65,352",-28.75,"3,212",-71.74,"180,187",-34.29,"91,362",6.78,"16,484",3.34,"38,686",14.19,"1,399",38.51,"47,292",5.77,"1,109",-33.79,"61,808",-13.56,635,7.99,"71,697",-8.64,157,-9.25,"9,899",-15.88,"1,063",312.02,"48,203",506.10
2013,58,13.73,30,7.14,4,100.00,24,14.29,41,2.50,5,0.00,20,11.11,16,-5.88,456,1.56,"2,982",1.88,"40,809",45.65,"53,535",31.34,"1,352",20.61,"41,928",0.76,"7,932",67.24,"478,181",66.42,"2,211",30.14,"80,103",22.57,"5,429",69.02,"166,696",-7.49,"101,152",10.72,"28,034",70.07,"45,759",18.28,"1,932",38.10,"45,716",-3.33,"2,144",93.33,"93,762",51.70,699,10.08,"94,100",31.25,222,41.40,"11,819",19.40,603,-43.27,"151,058",213.38
