期間,資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款_原始值,資產--放款_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--對金融機構債權_原始值,資產--對金融機構債權_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),負債與淨值--人壽保險準備_原始值,負債與淨值--人壽保險準備_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
2001M05,"142,919",36.65,"926,395",13.24,"425,549",31.66,"51,047",30.21,"488,159",13.67,"93,678",167.54,"186,038",10.79,"448,788",5.82,814,-12.57,"181,803",-32.06,"2,945,190",12.84,"2,674,379",16.16,"91,788",-16.26,"179,023",-9.65
2001M06,"162,191",52.54,"935,345",13.89,"447,221",31.43,"48,213",1.10,"468,112",4.14,"104,366",102.52,"186,568",7.31,"458,386",9.86,"1,110",10.89,"155,501",-24.67,"2,967,013",13.45,"2,715,460",16.20,"83,130",2.75,"168,423",-14.68
2001M07,"184,096",71.73,"943,143",13.50,"453,309",30.84,"49,549",3.85,"459,973",-3.66,"91,271",69.12,"188,430",7.02,"467,599",14.61,"1,020",-25.98,"159,559",-22.42,"2,997,949",12.92,"2,752,380",16.39,"81,722",-9.46,"163,847",-17.99
2001M08,"232,295",113.87,"950,471",12.32,"467,997",32.49,"53,134",3.06,"440,908",-6.73,"82,670",43.16,"189,383",6.06,"459,562",13.88,"1,136",83.23,"168,594",-19.10,"3,046,150",13.61,"2,782,607",16.29,"97,150",10.59,"166,393",-17.09
2001M09,"242,669",122.85,"956,405",11.69,"477,143",44.42,"49,721",1.47,"483,873",-3.57,"84,260",37.66,"191,762",6.54,"421,051",4.26,"1,527",53.01,"142,447",-27.04,"3,050,858",13.52,"2,816,372",16.12,"87,134",12.09,"147,352",-20.13
2001M10,"283,097",152.82,"962,236",10.97,"491,010",41.13,"48,671",3.69,"469,634",-5.45,"72,588",4.50,"192,277",6.51,"403,668",3.72,"1,107",40.30,"175,005",-15.11,"3,099,293",14.08,"2,836,012",15.70,"107,902",32.09,"155,379",-15.47
2001M11,"309,173",166.23,"959,394",9.36,"491,268",31.85,"50,737",4.95,"456,225",-6.98,"73,761",-12.31,"193,719",5.74,"390,954",-1.42,"1,285",54.63,"204,437",13.21,"3,130,953",13.85,"2,876,678",16.37,"117,541",44.31,"136,734",-30.50
2001M12,"348,649",187.02,"962,469",8.58,"526,144",38.33,"45,532",1.99,"459,739",-4.63,"60,633",-43.72,"194,960",5.09,"401,819",-1.67,"1,463",23.98,"197,830",43.93,"3,199,238",16.11,"2,919,504",17.14,"104,752",8.37,"174,982",5.17
2002M01,"359,573",188.86,"960,487",7.69,"568,256",51.82,"41,365",-8.59,"500,220",3.58,"64,972",-42.77,"196,133",5.29,"380,466",-8.42,"1,760",115.16,"192,291",36.58,"3,265,523",17.64,"2,957,068",17.39,"140,707",65.83,"167,748",-2.44
2002M02,"392,371",209.11,"958,913",7.15,"595,415",46.28,"41,709",-17.18,"485,258",3.17,"61,918",-38.47,"198,597",6.11,"390,650",-9.74,"1,685",75.89,"194,720",59.48,"3,321,236",18.90,"2,990,716",17.54,"164,529",104.94,"165,991",-1.52
