期間,批發、零售及餐飲業_原始值,批發、零售及餐飲業_年增率(%),批發業_原始值,批發業_年增率(%),零售業_原始值,零售業_年增率(%),餐飲業_原始值,餐飲業_年增率(%)
2005,"11,038,836",6.21,"7,655,508",6.41,"3,093,919",5.66,"289,410",6.69
2006,"11,782,330",6.74,"8,332,597",8.84,"3,147,067",1.72,"302,666",4.58
2007,"12,560,042",6.60,"8,985,115",7.83,"3,257,554",3.51,"317,373",4.86
