期間,流通卡數(千張)_原始值,流通卡數(千張)_年增率(%),簽帳金額-合計(新臺幣百萬元)_原始值,簽帳金額-合計(新臺幣百萬元)_年增率(%),簽帳金額-國內(新臺幣百萬元)_原始值,簽帳金額-國內(新臺幣百萬元)_年增率(%),簽帳金額-國外(新臺幣百萬元)_原始值,簽帳金額-國外(新臺幣百萬元)_年增率(%),預借現金-合計(新臺幣百萬元)_原始值,預借現金-合計(新臺幣百萬元)_年增率(%),預借現金-國內(新臺幣百萬元)_原始值,預借現金-國內(新臺幣百萬元)_年增率(%),預借現金-國外(新臺幣百萬元)_原始值,預借現金-國外(新臺幣百萬元)_年增率(%),循環信用餘額(新臺幣百萬元)_原始值,循環信用餘額(新臺幣百萬元)_年增率(%)
2011M10,"32,910",8.01,"139,056",8.04,"130,543",7.42,"8,513",18.53,"2,528",-0.21,"2,488",-0.33,39,8.02,"141,948",-22.89
2011M11,"32,784",7.19,"146,473",7.78,"139,062",8.14,"7,412",1.40,"2,771",8.13,"2,728",8.12,42,8.53,"141,311",-22.44
2011M12,"32,855",7.00,"151,634",3.64,"144,117",3.56,"7,517",5.30,"2,767",1.33,"2,728",1.20,39,11.49,"141,561",-21.78
2012M01,"32,819",6.66,"150,400",3.69,"143,008",3.51,"7,392",7.43,"1,950",-18.52,"1,917",-18.76,33,-1.75,"140,262",-21.37
2012M02,"32,840",6.37,"130,154",14.55,"122,875",14.27,"7,279",19.65,"1,777",17.47,"1,747",17.29,30,28.60,"137,501",-22.30
2012M03,"32,974",6.06,"139,120",1.86,"131,380",2.01,"7,739",-0.62,"2,441",-7.81,"2,406",-7.91,35,-0.51,"136,031",-20.83
2012M04,"33,034",5.24,"131,220",7.73,"123,330",7.32,"7,890",14.56,"2,302",-0.60,"2,266",-0.84,36,16.95,"135,322",-20.11
2012M05,"33,191",5.08,"151,829",11.68,"143,313",11.78,"8,516",10.03,"2,612",0.74,"2,574",0.65,38,7.53,"134,466",-17.75
2012M06,"33,221",3.99,"172,101",7.21,"163,875",7.59,"8,225",0.26,"2,251",-9.57,"2,210",-9.80,40,4.99,"134,934",-16.70
2012M07,"33,380",3.50,"152,683",13.56,"143,359",13.90,"9,324",8.55,"2,433",-2.44,"2,394",-2.64,39,11.57,"133,653",-16.85
2012M08,"33,524",4.24,"150,125",0.77,"141,637",0.78,"8,487",0.61,"2,349",-21.80,"2,308",-21.93,41,-14.20,"133,568",-15.80
2012M09,"33,668",4.31,"134,498",-0.39,"126,002",-0.61,"8,496",3.10,"2,259",-13.38,"2,223",-13.46,36,-7.88,"133,403",-6.68
2012M10,"33,825",2.78,"158,292",13.83,"149,369",14.42,"8,923",4.82,"2,504",-0.93,"2,463",-1.03,41,5.40,"132,424",-6.71
2012M11,"33,987",3.67,"145,784",-0.47,"137,520",-1.11,"8,264",11.50,"2,448",-11.63,"2,410",-11.65,38,-10.42,"131,822",-6.71
2012M12,"34,076",3.72,"146,547",-3.35,"138,632",-3.81,"7,915",5.29,"2,424",-12.39,"2,386",-12.56,39,-0.71,"131,874",-6.84
2013M01,"34,122",3.97,"174,566",16.07,"165,770",15.92,"8,796",18.99,"2,514",28.91,"2,472",28.99,42,24.02,"130,175",-7.19
2013M02,"34,177",4.07,"135,942",4.45,"128,058",4.22,"7,884",8.32,"1,456",-18.09,"1,429",-18.21,27,-10.99,"127,298",-7.42
2013M03,"34,329",4.11,"139,450",0.24,"130,513",-0.66,"8,936",15.47,"2,055",-15.83,"2,018",-16.12,36,4.39,"125,239",-7.93
2013M04,"34,489",4.40,"147,403",12.33,"138,065",11.95,"9,338",18.36,"2,241",-2.67,"2,199",-2.98,42,16.34,"123,275",-8.90
2013M05,"34,624",4.32,"157,492",3.73,"148,277",3.46,"9,215",8.22,"2,338",-10.49,"2,301",-10.61,37,-2.62,"121,912",-9.34
2013M06,"34,689",4.42,"186,580",8.41,"176,775",7.87,"9,806",19.22,"2,096",-6.85,"2,059",-6.83,37,-8.28,"121,562",-9.91
2013M07,"34,802",4.26,"163,858",7.32,"152,807",6.59,"11,052",18.53,"2,413",-0.82,"2,367",-1.12,46,17.87,"120,227",-10.05
2013M08,"35,163",4.89,"156,434",4.20,"146,726",3.59,"9,708",14.38,"2,219",-5.56,"2,177",-5.67,42,0.65,"119,989",-10.17
2013M09,"35,753",6.19,"150,903",12.20,"140,676",11.65,"10,227",20.38,"2,205",-2.37,"2,161",-2.80,44,24.39,"120,527",-9.65
2013M10,"36,296",7.31,"171,853",8.57,"160,996",7.78,"10,857",21.67,"2,439",-2.62,"2,397",-2.67,42,0.84,"120,179",-9.25
2013M11,"36,728",8.06,"152,668",4.72,"143,008",3.99,"9,660",16.90,"2,233",-8.78,"2,198",-8.83,36,-5.69,"119,059",-9.68
2013M12,"35,946",5.49,"176,114",20.18,"165,439",19.34,"10,675",34.87,"2,447",0.94,"2,406",0.85,41,6.16,"118,471",-10.16
2014M01,"36,122",5.86,"171,328",-1.85,"161,764",-2.42,"9,564",8.73,"2,168",-13.74,"2,133",-13.74,36,-13.97,"118,289",-9.13
2014M02,"36,176",5.85,"148,361",9.14,"138,652",8.27,"9,709",23.15,"1,427",-2.00,"1,400",-2.03,27,-0.02,"117,231",-7.91
2014M03,"36,304",5.75,"151,592",8.71,"140,699",7.80,"10,893",21.90,"2,106",2.51,"2,068",2.49,38,3.68,"114,816",-8.32
2014M04,"36,463",5.72,"163,550",10.95,"151,639",9.83,"11,911",27.56,"2,144",-4.32,"2,105",-4.26,39,-7.51,"113,861",-7.64
2014M05,"36,628",5.79,"167,004",6.04,"155,166",4.65,"11,838",28.46,"2,208",-5.54,"2,170",-5.69,39,3.64,"113,581",-6.83
