期間,發行部門-政府_原始值,發行部門-政府_年增率(%),持有部門-其他貨幣機構_原始值,持有部門-其他貨幣機構_年增率(%),持有部門-保險公司及退休基金_原始值,持有部門-保險公司及退休基金_年增率(%),持有部門-其他金融機構_原始值,持有部門-其他金融機構_年增率(%),持有部門-政府_原始值,持有部門-政府_年增率(%),持有部門-公營事業_原始值,持有部門-公營事業_年增率(%),持有部門-民營企業_原始值,持有部門-民營企業_年增率(%),持有部門-家庭及非營利團體_原始值,持有部門-家庭及非營利團體_年增率(%),持有部門-國外_原始值,持有部門-國外_年增率(%)
2000,"1,525,335",...,"555,398",...,"434,633",...,"507,376",...,-,...,808,...,"17,053",...,"10,067",...,-,...
2001,"1,908,304",25.11,"768,248",38.32,"600,726",38.21,"513,886",1.28,-,--,818,1.24,"16,697",-2.09,"7,824",-22.28,105,--
2002,"2,394,536",25.48,"818,219",6.50,"928,927",54.63,"620,743",20.79,-,--,56,-93.21,"14,002",-16.14,"12,452",59.15,139,32.38
