期間,垃圾產生量(公噸)-總計_原始值,垃圾產生量(公噸)-總計_年增率(%),垃圾產生量(公噸)-焚化_原始值,垃圾產生量(公噸)-焚化_年增率(%),垃圾產生量(公噸)-衛生掩埋_原始值,垃圾產生量(公噸)-衛生掩埋_年增率(%),垃圾產生量(公噸)-巨大垃圾回收再利用_原始值,垃圾產生量(公噸)-巨大垃圾回收再利用_年增率(%),垃圾產生量(公噸)-廚餘回收_原始值,垃圾產生量(公噸)-廚餘回收_年增率(%),垃圾產生量(公噸)-資源回收_原始值,垃圾產生量(公噸)-資源回收_年增率(%),垃圾產生量(公噸)-其他_原始值,垃圾產生量(公噸)-其他_年增率(%),平均每人每日垃圾產生量(公斤)_原始值,平均每人每日垃圾產生量(公斤)_年增率(%),平均每人每日垃圾清運量(公斤)_原始值,平均每人每日垃圾清運量(公斤)_年增率(%),垃圾妥善處理率(%)_原始值,垃圾妥善處理率(%)_年增率(%),垃圾回收率(%)-總計_原始值,垃圾回收率(%)-總計_年增率(%),垃圾回收率(%)-巨大垃圾回收再利用率_原始值,垃圾回收率(%)-巨大垃圾回收再利用率_年增率(%),垃圾回收率(%)-廚餘回收率_原始值,垃圾回收率(%)-廚餘回收率_年增率(%),垃圾回收率(%)-資源回收率_原始值,垃圾回收率(%)-資源回收率_年增率(%)
2004M05,"641,491",1.12,"361,769",0.23,"137,501",-15.96,0,-,"25,916",88.22,"109,048",30.84,"7,257",-43.12,0.916,0.439,0.723,-6.468,98.87,-,21.04,-,0.00,-,4.04,-,17.00,-
2004M06,"654,411",4.20,"387,857",4.42,"117,681",-19.89,0,-,"26,548",97.40,"116,999",36.89,"5,326",-50.49,0.965,3.430,0.754,-4.071,99.19,-,21.94,-,0.00,-,4.06,-,17.88,-
2004M07,"657,570",2.59,"394,328",4.63,"116,719",-19.89,0,-,"25,424",72.09,"116,351",23.59,"4,748",-49.80,0.938,1.625,0.736,-3.916,99.28,-,21.56,-,0.00,-,3.87,-,17.69,-
2004M08,"643,475",2.10,"382,116",1.63,"114,372",-14.79,0,-,"24,301",67.40,"117,996",22.13,"4,690",-47.34,0.917,1.103,0.715,-4.284,99.27,-,22.11,-,0.00,-,3.78,-,18.34,-
2004M09,"631,912",-1.21,"366,284",-4.65,"111,339",-17.85,0,-,"24,823",58.31,"124,454",29.66,"5,012",-39.59,0.931,-2.000,0.711,-9.311,99.21,-,23.62,-,0.00,-,3.93,-,19.69,-
2004M10,"613,472",1.76,"330,194",-5.91,"124,193",-7.59,0,-,"25,208",55.60,"129,038",38.67,"4,839",-41.61,0.874,0.924,0.654,-7.757,99.21,-,25.14,-,0.00,-,4.11,-,21.03,-
2004M11,"617,681",7.61,"332,284",5.98,"123,097",-14.58,0,-,"27,554",61.76,"127,152",44.36,"7,594",-32.58,0.909,6.816,0.681,-2.014,98.77,-,25.05,-,0.00,-,4.46,-,20.59,-
2004M12,"626,397",2.81,"341,754",0.61,"119,047",-15.00,0,-,"29,970",56.89,"129,309",28.11,"6,317",-33.59,0.892,2.059,0.665,-5.271,98.99,-,25.43,-,0.00,-,4.78,-,20.64,-
2005M01,"663,666",-3.74,"380,660",-3.69,"104,940",-30.75,"2,574",-,"35,827",64.43,"134,190",20.61,"5,475",-43.06,0.944,-4.260,0.699,-12.186,99.18,-,26.01,-,0.39,-,5.40,-,20.22,-
2005M02,"649,836",13.39,"370,156",13.42,"104,681",-11.28,"2,200",-,"36,133",69.01,"132,332",33.51,"4,334",-47.57,1.023,16.781,0.755,9.104,99.33,-,26.26,-,0.34,-,5.56,-,20.36,-
