期間,累計買賣超金額 (新臺幣億元)_投信,累計買賣超金額 (新臺幣億元)_自營商,累計買賣超金額 (新臺幣億元)_外資,交易金額比重(%)_投信,交易金額比重(%)_自營商,交易金額比重(%)_外資
2007M06,138,-11,"1,852",2.2,2.7,20.5
2007M07,585,38,-93,2.1,2.7,15.0
2007M08,399,-6,"-1,714",2.8,3.0,19.6
2007M09,323,121,636,3.2,3.0,18.4
2007M10,144,51,527,3.4,3.2,19.8
2007M11,-55,-122,"-1,494",3.4,3.3,24.7
2007M12,36,21,249,3.2,3.3,21.2
2008M01,-45,23,-344,3.6,3.0,26.6
2008M02,86,121,983,3.3,3.0,25.4
2008M03,49,42,-184,2.8,3.3,24.9
2008M04,154,184,-293,3.1,3.3,20.7
2008M05,50,-62,138,3.2,3.4,21.3
2008M06,2,-106,"-1,159",3.2,3.4,26.1
2008M07,64,88,"-1,096",3.5,3.2,24.5
2008M08,108,47,-299,3.4,3.3,24.5
2008M09,-61,-24,-905,2.9,2.8,27.7
2008M10,-58,38,"-1,146",3.9,2.4,29.8
2008M11,-47,34,-557,4.9,2.4,24.6
2008M12,138,48,162,4.3,2.3,18.7
2009M01,-25,18,-519,4.4,2.2,20.7
2009M02,11,15,-150,3.7,2.4,20.5
2009M03,-25,13,134,2.9,2.2,15.2
2009M04,-43,19,"1,037",2.7,2.3,14.9
2009M05,53,24,636,2.4,2.0,15.5
2009M06,-81,-71,219,2.5,2.3,17.2
2009M07,-14,110,845,2.5,2.5,15.1
2009M08,28,-60,94,2.9,2.5,18.3
2009M09,26,10,"1,422",2.5,2.6,16.5
2009M10,-90,-56,-120,2.5,2.4,18.1
2009M11,-4,20,218,2.7,2.2,17.5
2009M12,-126,59,985,2.5,2.2,13.2
2010M01,-141,-102,41,2.2,2.7,15.0
2010M02,3,-45,-903,2.3,2.8,22.5
2010M03,18,163,"1,131",2.5,2.7,18.2
2010M04,-149,-46,"1,164",2.4,2.8,18.6
2010M05,-97,-130,"-1,272",2.4,2.9,23.7
2010M06,-53,29,-124,2.4,2.6,24.5
2010M07,68,75,634,2.6,2.7,19.4
2010M08,-93,-25,-462,2.4,3.1,16.7
2010M09,-43,117,790,2.4,3.2,16.2
2010M10,-63,-14,404,2.4,3.5,19.5
2010M11,-45,18,538,2.3,3.6,19.4
2010M12,-84,-12,871,2.0,3.5,14.7
