期間,合計_原始值,合計_年增率(%),銀行對顧客市場--小計_原始值,銀行對顧客市場--小計_年增率(%),銀行對顧客市場--即期_原始值,銀行對顧客市場--即期_年增率(%),銀行對顧客市場--遠期_原始值,銀行對顧客市場--遠期_年增率(%),銀行對顧客市場--換匯_原始值,銀行對顧客市場--換匯_年增率(%),銀行對顧客市場--保證金交易_原始值,銀行對顧客市場--保證金交易_年增率(%),銀行對顧客市場--選擇權_原始值,銀行對顧客市場--選擇權_年增率(%),銀行對顧客市場--換匯換利_原始值,銀行對顧客市場--換匯換利_年增率(%),銀行間市場--小計_原始值,銀行間市場--小計_年增率(%),銀行間市場--即期_原始值,銀行間市場--即期_年增率(%),銀行間市場--遠期_原始值,銀行間市場--遠期_年增率(%),銀行間市場--換匯_原始值,銀行間市場--換匯_年增率(%),銀行間市場--選擇權_原始值,銀行間市場--選擇權_年增率(%),銀行間市場--換匯換利_原始值,銀行間市場--換匯換利_年增率(%),全體外匯銀行外匯交易淨部位(期底數)_原始值,全體外匯銀行外匯交易淨部位(期底數)_年增率(%),外匯存底(期底數)_原始值,外匯存底(期底數)_年增率(%)
1997M01,"4,362",3.07,"1,777",1.20,"1,121",2.84,127,-25.29,16,60.00,430,-2.93,82,90.70,1,--,"2,585",4.40,"1,784",8.52,200,62.60,503,-22.97,90,63.64,8,700.00,292,--,"88,393",-1.30
1997M02,"4,437",-4.87,"1,779",3.61,"1,188",-5.86,132,-6.38,2,-80.00,415,52.57,42,31.25,0,--,"2,658",-9.81,"1,784",-3.20,222,59.71,603,-35.23,46,39.39,3,200.00,450,--,"88,630",-1.61
1997M03,"4,544",-7.70,"1,875",2.35,"1,108",-21.75,86,-36.76,11,10.00,648,176.92,22,-38.89,0,--,"2,669",-13.65,"1,838",-10.03,191,96.91,597,-34.18,30,-30.23,13,"1,200.00",535,--,"88,789",7.56
1997M04,"4,326",-10.66,"1,710",-0.70,"1,149",-4.96,82,-48.10,6,-66.67,411,36.54,57,58.33,5,--,"2,616",-16.15,"1,827",-5.04,182,49.18,523,-49.17,61,38.64,23,"2,200.00",393,--,"88,949",5.01
1997M05,"4,880",12.52,"2,026",22.64,"1,165",7.18,162,-12.43,8,-20.00,638,84.93,52,108.00,1,--,"2,854",6.29,"2,056",16.16,201,63.41,516,-32.11,69,137.93,12,300.00,471,--,"90,008",6.19
1997M06,"4,564",5.14,"2,014",6.45,"1,247",-9.11,151,5.59,9,-25.00,572,67.25,32,39.13,3,--,"2,550",4.12,"1,749",15.98,199,13.07,526,-27.65,47,30.56,29,"1,350.00",129,--,"90,025",5.69
1997M07,"4,848",19.12,"2,137",37.78,"1,236",11.15,165,61.76,12,-20.00,685,134.59,31,3.33,8,--,"2,711",7.62,"1,812",19.21,250,37.36,569,-26.49,64,72.97,16,166.67,468,--,"88,770",3.07
1997M08,"4,933",16.32,"2,062",14.94,"1,225",2.68,188,21.29,10,-23.08,608,45.45,31,106.67,0,--,"2,871",17.33,"1,878",26.12,285,69.64,659,-13.40,43,95.45,6,-14.29,468,--,"87,793",1.63
1997M09,"5,040",7.03,"2,148",9.20,"1,303",4.16,194,-14.54,14,55.56,570,25.55,61,134.62,6,--,"2,892",5.47,"1,834",5.04,285,61.02,693,-10.93,72,89.47,8,166.67,437,--,"85,752",-1.07
1997M10,"6,007",35.38,"2,708",63.92,"1,240",8.39,299,190.29,24,71.43,"1,090",202.78,54,74.19,1,--,"3,299",18.46,"2,188",26.04,309,63.49,734,-9.27,61,27.08,7,133.33,316,--,"82,920",-4.97
