期間,總人口數_原始值,總人口數_年增率(%),0~4歲_原始值,0~4歲_年增率(%),5~9歲_原始值,5~9歲_年增率(%),10~14歲_原始值,10~14歲_年增率(%),15~19歲_原始值,15~19歲_年增率(%),20~24歲_原始值,20~24歲_年增率(%),25~29歲_原始值,25~29歲_年增率(%),30~34歲_原始值,30~34歲_年增率(%),35~39歲_原始值,35~39歲_年增率(%),40~44歲_原始值,40~44歲_年增率(%),45~49歲_原始值,45~49歲_年增率(%),50~54歲_原始值,50~54歲_年增率(%),55~59歲_原始值,55~59歲_年增率(%),60~64歲_原始值,60~64歲_年增率(%),65~69歲_原始值,65~69歲_年增率(%),70~74歲_原始值,70~74歲_年增率(%),75~79歲_原始值,75~79歲_年增率(%),80~84歲_原始值,80~84歲_年增率(%),85~89歲_原始值,85~89歲_年增率(%),90~94歲_原始值,90~94歲_年增率(%),95~99歲_原始值,95~99歲_年增率(%),100歲以上_原始值,100歲以上_年增率(%),平均年齡(歲)_原始值,平均年齡(歲)_年增率(%)
2004M06,"22,640,250",0.38,"1,273,112",-4.09,"1,547,953",-3.20,"1,618,697",-0.27,"1,623,078",-2.19,"1,954,226",-2.17,"1,925,683",2.96,"1,805,300",-1.48,"1,881,080",-0.91,"1,918,260",0.23,"1,768,790",2.66,"1,489,025",5.63,"907,989",7.83,"811,576",0.97,"687,650",2.39,"587,712",-0.59,"451,830",5.07,"247,461",7.80,"99,537",5.73,"33,561",9.84,"6,241",10.28,"1,489",11.79,35.04,1.34
2004M07,"22,647,160",0.38,"1,266,393",-4.35,"1,544,428",-3.10,"1,619,637",-0.11,"1,619,294",-2.26,"1,950,096",-2.28,"1,931,141",2.94,"1,805,017",-1.41,"1,881,860",-0.87,"1,919,797",0.27,"1,772,463",2.71,"1,495,731",5.44,"909,440",7.80,"812,792",1.01,"688,551",2.47,"587,185",-0.65,"453,194",5.00,"248,663",7.91,"100,094",5.99,"33,642",9.60,"6,248",9.73,"1,494",10.91,35.07,1.34
2004M08,"22,653,642",0.38,"1,260,630",-4.36,"1,540,110",-3.00,"1,620,339",0.00,"1,613,443",-2.43,"1,946,085",-2.28,"1,935,408",2.81,"1,803,825",-1.29,"1,881,637",-0.85,"1,922,514",0.38,"1,776,328",2.62,"1,500,290",5.14,"916,316",8.27,"812,579",0.86,"689,776",2.54,"586,596",-0.72,"455,126",4.81,"250,400",7.93,"100,519",5.77,"33,898",9.42,"6,310",9.80,"1,513",10.84,35.11,1.33
2004M09,"22,659,341",0.38,"1,256,011",-4.58,"1,535,110",-2.89,"1,619,740",0.10,"1,608,088",-2.50,"1,941,281",-2.36,"1,940,917",2.78,"1,804,025",-1.24,"1,879,804",-0.87,"1,923,388",0.43,"1,779,004",2.57,"1,504,754",4.88,"924,500",8.75,"812,233",0.73,"690,772",2.58,"586,938",-0.63,"457,429",4.64,"252,269",8.03,"100,853",5.46,"34,314",9.20,"6,381",10.72,"1,530",10.79,35.16,1.33
2004M10,"22,668,274",0.37,"1,250,668",-4.77,"1,529,726",-2.80,"1,620,815",0.28,"1,601,124",-2.82,"1,936,010",-2.40,"1,946,674",2.81,"1,804,115",-1.10,"1,880,597",-0.74,"1,923,085",0.16,"1,781,759",2.59,"1,513,098",4.87,"929,980",8.93,"812,962",0.61,"692,293",2.54,"587,512",-0.40,"459,426",4.37,"253,968",7.81,"101,651",5.58,"34,792",8.96,"6,477",11.23,"1,542",10.38,35.20,1.34
2004M11,"22,678,940",0.38,"1,247,431",-4.84,"1,525,140",-2.65,"1,621,661",0.57,"1,596,570",-3.06,"1,931,768",-2.45,"1,953,312",2.93,"1,799,492",-1.27,"1,879,730",-0.75,"1,923,972",0.24,"1,783,547",2.44,"1,523,240",5.14,"936,138",8.88,"812,106",0.33,"693,594",2.44,"588,162",-0.35,"462,128",4.45,"255,087",7.52,"102,624",5.91,"35,122",8.33,"6,561",10.98,"1,555",10.36,35.24,1.32
2004M12,"22,689,122",0.37,"1,243,939",-5.04,"1,521,015",-2.56,"1,622,128",0.71,"1,592,665",-3.24,"1,928,089",-2.49,"1,958,601",3.01,"1,796,937",-1.32,"1,877,722",-0.75,"1,926,436",0.37,"1,783,714",2.25,"1,532,407",5.22,"943,933",8.99,"811,061",-0.03,"694,392",2.54,"588,148",-0.31,"464,817",4.72,"255,848",6.92,"103,711",6.55,"35,343",8.00,"6,643",11.57,"1,573",10.70,35.28,1.33
2005M01,"22,696,349",0.38,"1,237,353",-5.07,"1,518,701",-2.49,"1,622,076",0.73,"1,590,161",-3.25,"1,923,455",-2.48,"1,962,097",2.99,"1,794,647",-1.26,"1,875,880",-0.69,"1,926,391",0.41,"1,784,873",1.91,"1,538,958",5.11,"953,714",9.54,"809,481",-0.21,"696,993",2.51,"588,638",-0.24,"466,815",4.64,"257,326",6.62,"104,744",6.84,"35,713",8.05,"6,736",10.90,"1,597",10.67,35.33,1.32
2005M02,"22,701,627",0.38,"1,229,107",-5.41,"1,517,072",-2.45,"1,621,691",0.64,"1,589,474",-2.97,"1,919,016",-2.60,"1,965,325",2.97,"1,791,355",-1.32,"1,872,311",-0.74,"1,923,302",0.33,"1,788,179",2.03,"1,551,089",5.37,"961,361",9.41,"806,500",-0.62,"699,696",2.70,"588,400",-0.18,"468,625",4.75,"259,053",6.73,"105,644",7.44,"35,979",8.61,"6,832",10.84,"1,616",11.53,35.37,1.34
2005M03,"22,703,295",0.36,"1,222,276",-5.49,"1,516,163",-2.44,"1,620,037",0.44,"1,590,045",-2.64,"1,913,498",-2.67,"1,967,520",2.89,"1,788,765",-1.22,"1,868,822",-0.78,"1,924,001",0.32,"1,789,485",1.89,"1,553,808",5.09,"975,645",9.95,"803,521",-0.93,"701,606",2.78,"588,035",-0.22,"469,866",4.66,"259,933",6.52,"105,951",7.47,"35,880",8.31,"6,842",10.43,"1,596",9.17,35.41,1.33
