期間,放款_原始值,放款_年增率(%),投資--對非金融機構證券投資--政府機關_原始值,投資--對非金融機構證券投資--政府機關_年增率(%),投資--對非金融機構證券投資--公營事業_原始值,投資--對非金融機構證券投資--公營事業_年增率(%),投資--對非金融機構證券投資--民營事業_原始值,投資--對非金融機構證券投資--民營事業_年增率(%),投資---對金融機構投資_原始值,投資---對金融機構投資_年增率(%),投資--不動產投資_原始值,投資--不動產投資_年增率(%),對金融機構債權_原始值,對金融機構債權_年增率(%),庫存現金_原始值,庫存現金_年增率(%),資產合計(淨額)=負債合計(淨額)_原始值,資產合計(淨額)=負債合計(淨額)_年增率(%),各項準備_原始值,各項準備_年增率(%),淨值_原始值,淨值_年增率(%),其他項目(淨額)_原始值,其他項目(淨額)_年增率(%)
2009,"1,391",-31.41,"25,087",-5.28,400,-,"59,168",28.65,"7,573",-13.23,"16,280",-4.01,"39,766",13.94,105,-15.32,"149,770",10.76,"160,458",1.27,"71,728",30.14,"-82,416",--
2010,852,-38.75,"26,318",4.91,402,0.50,"60,316",1.94,"8,049",6.29,"16,907",3.85,"50,742",27.60,101,-3.81,"163,687",9.29,"167,687",4.51,"75,132",4.75,"-79,132",--
2011,663,-22.18,"25,376",-3.58,403,0.25,"53,216",-11.77,"8,269",2.73,"18,158",7.40,"56,524",11.39,99,-1.98,"162,708",-0.60,"172,097",2.63,"74,096",-1.38,"-83,485",--
2012,611,-7.84,"24,229",-4.52,404,0.25,"53,596",0.71,"9,061",9.58,"17,953",-1.13,"53,955",-4.54,102,3.03,"159,911",-1.72,"171,213",-0.51,"78,489",5.93,"-89,791",--
2013,580,-5.07,"22,007",-9.17,301,-25.50,"58,968",10.02,"11,071",22.18,"16,032",-10.70,"55,324",2.54,96,-5.88,"164,379",2.79,"166,177",-2.94,"90,235",14.97,"-92,033",--
