期間,合計_原始值,合計_年增率(%),"新台幣1,000,000以下_原始值","新台幣1,000,000以下_年增率(%)","1,000,001-5,000,000元_原始值","1,000,001-5,000,000元_年增率(%)","5,000,001-10,000,000元_原始值","5,000,001-10,000,000元_年增率(%)","10,000,001-50,000,000元_原始值","10,000,001-50,000,000元_年增率(%)","50,000,001-100,000,000元_原始值","50,000,001-100,000,000元_年增率(%)","100,000,001元以上_原始值","100,000,001元以上_年增率(%)"
2010M01,"17,603,328",1.97,"1,456,422",-5.71,"4,111,431",3.32,"1,649,331",1.48,"2,539,142",2.25,"988,203",-2.06,"6,858,799",3.59
2010M02,"17,600,986",3.16,"1,447,630",-4.68,"4,106,296",3.85,"1,656,960",3.40,"2,562,003",4.68,"998,913",1.28,"6,829,184",4.23
2010M03,"17,558,910",3.22,"1,431,354",-4.61,"4,102,401",3.66,"1,672,931",5.13,"2,592,770",6.73,"1,016,815",3.37,"6,742,639",2.97
2010M04,"17,656,681",3.92,"1,429,002",-4.46,"4,098,323",3.28,"1,692,817",6.96,"2,638,966",9.28,"1,025,407",5.47,"6,772,166",3.27
2010M05,"17,876,975",5.36,"1,450,155",-3.06,"4,103,711",2.84,"1,712,048",8.24,"2,696,135",11.59,"1,021,456",5.32,"6,893,470",5.83
2010M06,"17,946,273",5.49,"1,444,100",-3.41,"4,111,776",2.01,"1,733,397",8.93,"2,749,153",12.09,"1,033,952",5.45,"6,873,895",6.38
2010M07,"18,075,185",6.06,"1,428,488",-3.16,"4,104,205",1.02,"1,745,213",10.55,"2,768,697",14.49,"1,039,484",7.37,"6,989,098",6.87
2010M08,"18,244,615",6.35,"1,424,636",-3.41,"4,097,283",-0.01,"1,760,739",11.20,"2,803,750",14.81,"1,058,466",9.51,"7,099,741",7.74
2010M09,"18,269,525",6.25,"1,427,938",-3.21,"4,090,212",-0.79,"1,769,747",11.04,"2,831,717",15.23,"1,066,281",9.43,"7,083,630",7.79
2010M10,"18,352,039",7.18,"1,418,651",-2.65,"4,088,799",-0.81,"1,784,417",10.96,"2,859,764",15.50,"1,078,686",10.00,"7,121,722",9.94
2010M11,"18,430,201",6.80,"1,426,910",-2.46,"4,089,711",-0.78,"1,804,997",11.20,"2,901,050",15.77,"1,091,174",11.02,"7,116,359",8.48
2010M12,"18,735,529",6.73,"1,444,508",-1.71,"4,095,920",-0.79,"1,830,829",10.79,"2,968,155",15.21,"1,118,280",10.96,"7,277,837",8.31
2011M01,"19,067,816",8.32,"1,470,874",0.99,"4,102,213",-0.22,"1,839,518",11.53,"2,983,031",17.48,"1,120,741",13.41,"7,551,439",10.10
2011M02,"19,084,320",8.43,"1,454,213",0.45,"4,091,083",-0.37,"1,838,564",10.96,"2,994,265",16.87,"1,132,589",13.38,"7,573,606",10.90
2011M03,"19,132,331",8.96,"1,448,589",1.20,"4,095,754",-0.16,"1,848,860",10.52,"3,034,450",17.04,"1,141,940",12.31,"7,562,738",12.16
