期間,期中人口(人)_原始值,期中人口(人)_年增率(%),平均匯率(元/美元)_原始值,平均匯率(元/美元)_年增率(%),經濟成長(%)_原始值,經濟成長(%)_年增率(%),國內生產毛額(名目值，百萬元)_原始值,國內生產毛額(名目值，百萬元)_年增率(%),國內生產毛額(名目值，百萬美元)_原始值,國內生產毛額(名目值，百萬美元)_年增率(%),平均每人GDP(名目值，元)_原始值,平均每人GDP(名目值，元)_年增率(%),平均每人GDP(名目值，美元)_原始值,平均每人GDP(名目值，美元)_年增率(%),國民生產毛額(名目值，百萬元)_原始值,國民生產毛額(名目值，百萬元)_年增率(%),國民生產毛額(名目值，百萬美元)_原始值,國民生產毛額(名目值，百萬美元)_年增率(%),平均每人GNP(名目值，元)_原始值,平均每人GNP(名目值，元)_年增率(%),平均每人GNP(名目值，美元)_原始值,平均每人GNP(名目值，美元)_年增率(%),國民所得(名目值，百萬元)_原始值,國民所得(名目值，百萬元)_年增率(%),國民所得(名目值，百萬美元)_原始值,國民所得(名目值，百萬美元)_年增率(%),平均每人所得(名目值，元)_原始值,平均每人所得(名目值，元)_年增率(%),平均每人所得(名目值，美元)_原始值,平均每人所得(名目值，美元)_年增率(%)
1987Q3,"19,627,073",1.01,30.53,22.73,11.94,-,"849,540",12.32,"27,653",37.30,"43,262",11.14,"1,409",35.87,"867,185",11.95,"28,233",36.88,"44,160",10.77,"1,438",35.40,"802,016",12.74,"26,117",37.90,"40,841",11.57,"1,330",36.41
1987Q4,"19,692,249",1.07,29.58,22.68,8.98,-,"846,225",8.95,"28,431",33.15,"42,950",7.75,"1,444",31.87,"863,024",7.98,"29,001",31.99,"43,802",6.79,"1,473",30.59,"789,938",7.19,"26,549",31.05,"40,093",6.00,"1,348",29.62
1988Q1,"19,744,456",1.10,28.61,22.26,6.48,-,"828,496",6.64,"28,958",31.19,"41,933",5.45,"1,466",29.85,"858,114",7.31,"29,993",32.00,"43,432",6.12,"1,518",30.52,"809,672",8.93,"28,300",33.96,"40,980",7.72,"1,432",32.47
1988Q2,"19,788,571",1.10,28.68,12.94,4.53,-,"853,736",4.22,"29,768",18.44,"43,114",3.07,"1,503",17.15,"876,262",4.90,"30,553",19.18,"44,251",3.74,"1,543",17.88,"825,503",8.93,"28,783",23.74,"41,688",7.73,"1,454",22.39
1988Q3,"19,846,722",1.12,28.77,6.12,5.21,-,"895,894",5.46,"31,140",12.61,"45,111",4.27,"1,568",11.28,"916,157",5.65,"31,844",12.79,"46,131",4.46,"1,604",11.54,"863,774",7.70,"30,024",14.96,"43,493",6.49,"1,512",13.68
1988Q4,"19,917,908",1.15,28.39,4.19,6.12,-,"910,424",7.59,"32,069",12.80,"45,679",6.35,"1,609",11.43,"935,391",8.39,"32,948",13.61,"46,931",7.14,"1,653",12.22,"877,430",11.08,"30,907",16.41,"44,022",9.80,"1,550",14.99
1989Q1,"19,974,292",1.16,27.65,3.47,10.61,-,"942,223",13.73,"34,014",17.46,"47,160",12.47,"1,703",16.17,"968,736",12.89,"34,971",16.60,"48,488",11.64,"1,750",15.28,"901,760",11.37,"32,558",15.05,"45,134",10.14,"1,630",13.83
1989Q2,"20,017,398",1.16,26.27,9.17,10.54,-,"984,015",15.26,"37,388",25.60,"49,146",13.99,"1,867",24.22,"996,810",13.76,"37,875",23.96,"49,785",12.51,"1,892",22.62,"917,862",11.19,"34,881",21.19,"45,841",9.96,"1,742",19.81
1989Q3,"20,071,532",1.13,25.74,11.77,8.41,-,"1,016,618",13.48,"39,423",26.60,"50,638",12.25,"1,964",25.26,"1,045,293",14.10,"40,535",27.29,"52,066",12.87,"2,019",25.87,"966,144",11.85,"37,471",24.80,"48,122",10.64,"1,866",23.41
1989Q4,"20,129,675",1.06,25.97,9.32,11.58,-,"1,060,371",16.47,"40,755",27.09,"52,664",15.29,"2,024",25.79,"1,093,157",16.87,"42,015",27.52,"54,293",15.69,"2,087",26.26,"993,078",13.18,"38,174",23.51,"49,322",12.04,"1,896",22.32
1990Q1,"20,180,709",1.03,26.18,5.61,7.19,-,"1,064,193",12.94,"40,660",19.54,"52,724",11.80,"2,014",18.26,"1,095,866",13.12,"41,869",19.72,"54,293",11.97,"2,074",18.51,"1,018,637",12.96,"38,914",19.52,"50,466",11.81,"1,928",18.28
1990Q2,"20,235,842",1.09,26.91,-2.38,5.60,-,"1,088,396",10.61,"40,457",8.21,"53,777",9.42,"1,999",7.07,"1,115,228",11.88,"41,453",9.45,"55,102",10.68,"2,048",8.25,"1,001,569",9.12,"37,224",6.72,"49,485",7.95,"1,839",5.57
1990Q3,"20,304,006",1.16,27.25,-5.54,6.04,-,"1,102,644",8.46,"40,475",2.67,"54,298",7.23,"1,993",1.48,"1,129,076",8.02,"41,444",2.24,"55,599",6.79,"2,041",1.09,"1,050,474",8.73,"38,555",2.89,"51,727",7.49,"1,899",1.77
1990Q4,"20,372,171",1.20,27.23,-4.63,8.59,-,"1,174,822",10.79,"43,155",5.89,"57,657",9.48,"2,118",4.64,"1,207,192",10.43,"44,344",5.54,"59,247",9.12,"2,176",4.26,"1,088,624",9.62,"39,985",4.74,"53,427",8.32,"1,962",3.48
1991Q1,"20,425,383",1.21,27.19,-3.71,6.37,-,"1,180,478",10.93,"43,364",6.65,"57,782",9.59,"2,123",5.41,"1,218,363",11.18,"44,754",6.89,"59,636",9.84,"2,191",5.64,"1,122,425",10.19,"41,228",5.95,"54,940",8.87,"2,018",4.67
1991Q2,"20,470,490",1.16,27.26,-1.28,8.17,-,"1,219,288",12.03,"44,674",10.42,"59,550",10.74,"2,182",9.15,"1,245,011",11.64,"45,616",10.04,"60,807",10.35,"2,228",8.79,"1,118,380",11.66,"40,973",10.07,"54,622",10.38,"2,001",8.81
1991Q3,"20,517,601",1.05,26.76,1.83,8.86,-,"1,242,884",12.72,"46,390",14.61,"60,563",11.54,"2,260",13.40,"1,276,263",13.04,"47,635",14.94,"62,189",11.85,"2,321",13.72,"1,176,029",11.95,"43,890",13.84,"57,306",10.79,"2,139",12.64
1991Q4,"20,574,737",0.99,26.05,4.53,8.06,-,"1,315,570",11.98,"50,442",16.89,"63,927",10.87,"2,451",15.72,"1,354,133",12.17,"51,919",17.08,"65,801",11.06,"2,523",15.95,"1,242,488",14.13,"47,635",19.13,"60,376",13.01,"2,315",17.99
1992Q1,"20,623,560",0.97,25.21,7.85,9.66,-,"1,329,513",12.62,"52,759",21.67,"64,437",11.52,"2,557",20.44,"1,361,304",11.73,"54,021",20.71,"65,978",10.63,"2,618",19.49,"1,247,677",11.16,"49,512",20.09,"60,471",10.07,"2,400",18.93
1992Q2,"20,663,315",0.94,25.03,8.91,7.73,-,"1,360,407",11.57,"54,372",21.71,"65,808",10.51,"2,630",20.53,"1,384,507",11.20,"55,336",21.31,"66,974",10.14,"2,677",20.15,"1,244,636",11.29,"49,747",21.41,"60,207",10.22,"2,406",20.24
1992Q3,"20,713,865",0.96,25.04,6.87,7.44,-,"1,383,805",11.34,"55,286",19.18,"66,776",10.26,"2,668",18.05,"1,411,998",10.64,"56,413",18.43,"68,137",9.56,"2,722",17.28,"1,280,396",8.87,"51,155",16.55,"61,785",7.82,"2,469",15.43
1992Q4,"20,772,506",0.96,25.39,2.60,5.65,-,"1,460,819",11.04,"57,557",14.11,"70,294",9.96,"2,770",13.02,"1,497,497",10.59,"59,004",13.65,"72,058",9.51,"2,839",12.52,"1,354,804",9.04,"53,382",12.06,"65,192",7.98,"2,568",10.93
1993Q1,"20,818,583",0.95,25.78,-2.21,6.58,-,"1,478,071",11.17,"57,334",8.67,"70,955",10.12,"2,752",7.63,"1,512,539",11.11,"58,669",8.60,"72,608",10.05,"2,816",7.56,"1,365,963",9.48,"52,990",7.02,"65,574",8.44,"2,544",6.00
1993Q2,"20,854,182",0.92,26.08,-4.03,7.07,-,"1,507,557",10.82,"57,805",6.31,"72,246",9.78,"2,770",5.32,"1,534,718",10.85,"58,845",6.34,"73,548",9.82,"2,820",5.34,"1,378,977",10.79,"52,880",6.30,"66,085",9.76,"2,534",5.32
1993Q3,"20,902,963",0.91,26.85,-6.74,6.55,-,"1,527,339",10.37,"56,884",2.89,"73,024",9.36,"2,719",1.91,"1,550,437",9.80,"57,742",2.36,"74,127",8.79,"2,760",1.40,"1,412,566",10.32,"52,615",2.85,"67,537",9.31,"2,516",1.90
1993Q4,"20,963,761",0.92,26.84,-5.40,6.73,-,"1,597,134",9.33,"59,508",3.39,"76,138",8.31,"2,838",2.45,"1,626,451",8.61,"60,596",2.70,"77,537",7.60,"2,889",1.76,"1,492,236",10.14,"55,601",4.16,"71,139",9.12,"2,650",3.19
1994Q1,"21,013,346",0.94,26.44,-2.50,6.14,-,"1,601,565",8.36,"60,556",5.62,"76,203",7.40,"2,882",4.72,"1,632,872",7.96,"61,739",5.23,"77,692",7.00,"2,938",4.33,"1,489,211",9.02,"56,304",6.25,"70,858",8.06,"2,679",5.31
1994Q2,"21,054,279",0.96,26.74,-2.47,7.90,-,"1,648,257",9.33,"61,622",6.60,"78,272",8.34,"2,927",5.67,"1,667,504",8.65,"62,341",5.94,"79,186",7.67,"2,961",5.00,"1,489,147",7.99,"55,670",5.28,"70,717",7.01,"2,644",4.34
1994Q3,"21,103,486",0.96,26.42,1.63,7.07,-,"1,667,787",9.20,"63,107",10.94,"79,015",8.20,"2,990",9.97,"1,695,473",9.35,"64,154",11.10,"80,327",8.36,"3,040",10.14,"1,563,794",10.71,"59,169",12.46,"74,088",9.70,"2,803",11.41
1994Q4,"21,153,782",0.91,26.23,2.33,9.12,-,"1,767,896",10.69,"67,380",13.23,"83,559",9.75,"3,183",12.16,"1,797,173",10.50,"68,494",13.03,"84,943",9.55,"3,236",12.01,"1,633,300",9.45,"62,245",11.95,"77,198",8.52,"2,942",11.02
1995Q1,"21,194,599",0.86,26.24,0.76,7.37,-,"1,734,012",8.27,"66,087",9.13,"81,801",7.35,"3,118",8.19,"1,767,847",8.27,"67,379",9.14,"83,397",7.34,"3,179",8.20,"1,613,380",8.34,"61,505",9.24,"76,110",7.41,"2,901",8.29
1995Q2,"21,234,681",0.86,25.58,4.53,6.33,-,"1,779,863",7.98,"69,585",12.92,"83,805",7.07,"3,276",11.92,"1,798,374",7.85,"70,311",12.78,"84,677",6.93,"3,310",11.79,"1,596,996",7.24,"62,450",12.18,"75,195",6.33,"2,940",11.20
