期間,合計_原始值,合計_年增率(%),隔夜_原始值,隔夜_年增率(%),1週_原始值,1週_年增率(%),2週_原始值,2週_年增率(%),3週_原始值,3週_年增率(%),1個月_原始值,1個月_年增率(%),2-6個月_原始值,2-6個月_年增率(%),7個月-1年_原始值,7個月-1年_年增率(%)
2010M01,"301,391",34.09,"74,515",-0.05,"157,207",-,"45,150",-57.80,"1,350",-95.99,"3,900",-22.00,"19,269",384.27,-,-
2010M02,"299,393",4.78,"77,649",-7.28,"133,745",6.79,"42,300",0.74,"6,170",-66.17,"18,022",245.25,"21,507",101.00,-,-
2010M03,"248,157",31.31,"106,883",151.45,"70,034",41.77,"26,605",-54.70,"1,000",-88.64,"16,797",269.16,"26,838",10.00,-,-
2010M04,"308,000",29.64,"113,116",165.07,"126,258",59.67,"36,360",-40.75,"2,500",-86.86,"8,219",76.75,"21,547",-28.63,-,-
2010M05,"308,662",-28.44,"86,700",39.92,"169,924",60.10,"16,737",-90.39,"1,500",-96.88,"3,700",-53.08,"30,101",-7.32,-,-
2010M06,"274,119",-18.74,"74,386",10.40,"146,123",6.33,"37,660",-65.06,"1,960",-84.43,"1,540",140.63,"12,450",14.46,-,-
2010M07,"316,265",4.17,"86,777",26.49,"186,960",32.45,"25,971",-59.49,"5,230",-35.15,400,-95.74,"10,927",-6.65,-,-
2010M08,"380,173",37.57,"86,096",-0.01,"196,822",101.10,"71,792",42.67,"10,410",-37.10,"2,720",-76.04,"12,333",-9.34,-,-
2010M09,"233,783",-25.40,"66,235",-33.16,"132,639",-7.77,"15,230",-68.59,"4,750",58.86,"1,893",-81.97,"13,036",63.91,-,-
2010M10,"274,232",-15.71,"84,524",9.37,"159,345",-4.84,"16,180",-70.40,"2,000",-75.31,"1,262",-88.90,"10,921",69.24,-,-
2010M11,"337,064",20.32,"87,045",4.23,"213,201",79.85,"28,485",-50.38,-,-,"5,370",22.05,"2,963",-58.87,-,-
2010M12,"229,932",16.15,"88,897",194.84,"128,620",15.88,"6,160",-82.27,-,-,"3,710",147.33,"2,545",-82.44,-,-
2011M01,"247,374",-17.92,"96,831",29.95,"53,003",-66.28,"91,896",103.53,"1,350",0.00,"2,000",-48.72,"2,294",-88.09,-,-
2011M02,"246,545",-17.65,"70,500",-9.21,"123,120",-7.94,"50,230",18.75,-,-,"2,080",-88.46,615,-97.14,-,-
2011M03,"248,062",-0.04,"104,421",-2.30,"106,557",52.15,"34,117",28.24,-,-,780,-95.36,"2,187",-91.85,-,-
2011M04,"239,282",-22.31,"115,585",2.18,"94,440",-25.20,"21,110",-41.94,"2,000",-20.00,"2,160",-73.72,"3,987",-81.50,-,-
2011M05,"170,779",-44.67,"58,976",-31.98,"94,326",-44.49,"11,380",-32.01,500,-66.67,"1,000",-72.97,"4,597",-84.73,-,-
2011M06,"188,331",-31.30,"91,676",23.24,"85,541",-41.46,"5,820",-84.55,-,-,"1,500",-2.60,"3,794",-69.53,-,-
2011M07,"229,752",-27.35,"100,746",16.10,"107,129",-42.70,"15,980",-38.47,-,-,"3,000",650.00,"2,897",-73.49,-,-
2011M08,"203,162",-46.56,"60,700",-29.50,"133,354",-32.25,"5,840",-91.87,570,-94.52,"1,000",-63.24,"1,698",-86.23,-,-
2011M09,"226,378",-3.17,"95,281",43.85,"110,385",-16.78,"17,010",11.69,-,-,"1,000",-47.17,"2,702",-79.27,-,-
2011M10,"161,453",-41.13,"60,921",-27.92,"81,474",-48.87,"14,290",-11.68,"2,500",25.00,"1,000",-20.76,"1,268",-88.39,-,-
2011M11,"245,548",-27.15,"70,031",-19.55,"153,768",-27.88,"17,690",-37.90,"1,680",-,"1,000",-81.38,"1,379",-53.46,-,-
2011M12,"162,776",-29.21,"59,926",-32.59,"90,524",-29.62,"5,300",-13.96,"3,200",-,-,-,"3,826",50.33,-,-
2012M01,"165,595",-33.06,"74,450",-23.11,"66,030",24.58,"14,969",-83.71,"2,800",107.41,"4,700",135.00,"2,646",15.34,-,-
2012M02,"210,372",-14.67,"63,978",-9.25,"118,575",-3.69,"17,750",-64.66,-,-,"8,670",316.83,"1,399",127.48,-,-
2012M03,"226,923",-8.52,"107,936",3.37,"91,417",-14.21,"12,125",-64.46,"2,203",-,"1,890",142.31,"11,352",419.07,-,-
2012M04,"192,761",-19.44,"91,627",-20.73,"80,561",-14.70,"9,867",-53.26,"4,090",104.50,"3,190",47.69,"3,426",-14.07,-,-
2012M05,"178,162",4.32,"67,602",14.63,"91,796",-2.68,"2,270",-80.05,-,-,"1,850",85.00,"14,644",218.56,-,-
2012M06,"182,377",-3.16,"55,690",-39.25,"104,971",22.71,"4,250",-26.98,500,-,"10,050",570.00,"6,916",82.29,-,-
2012M07,"277,310",20.70,"76,369",-24.20,"146,967",37.19,"37,890",137.11,150,-,"1,300",-56.67,"14,634",405.14,-,-
2012M08,"261,519",28.72,"103,528",70.56,"127,382",-4.48,"19,355",231.42,-,-,"1,050",5.00,"10,204",500.94,-,-
2012M09,"202,274",-10.65,"47,737",-49.90,"114,065",3.33,"24,445",43.71,"1,700",-,"7,970",697.00,"6,357",135.27,-,-
2012M10,"277,254",71.72,"72,814",19.52,"147,193",80.66,"42,995",200.87,"3,500",40.00,"1,350",35.00,"9,402",641.48,-,-
2012M11,"291,725",18.81,"60,517",-13.59,"127,002",-17.41,"84,100",375.41,"6,780",303.57,"9,500",850.00,"3,826",177.45,-,-
2012M12,"248,256",52.51,"52,334",-12.67,"59,922",-33.81,"57,266",980.49,"52,149","1,529.66","17,390",-,"9,195",140.33,-,-
2013M01,"298,088",80.01,"59,137",-20.57,"139,259",110.90,"54,470",263.89,"18,450",558.93,"3,000",-36.17,"23,772",798.41,-,-
2013M02,"305,412",45.18,"66,542",4.01,"127,125",7.21,"84,215",374.45,"6,100",-,"9,790",12.92,"11,640",732.02,-,-
2013M03,"334,042",47.20,"109,867",1.79,"127,700",39.69,"47,965",295.59,"37,915","1,621.06",790,-58.20,"9,805",-13.63,-,-
2013M04,"313,845",62.82,"111,855",22.08,"100,518",24.77,"86,745",779.14,"5,835",42.67,"3,390",6.27,"5,502",60.60,-,-
2013M05,"402,240",125.77,"126,817",87.59,"148,662",61.95,"95,129","4,090.70","21,870",-,"6,340",242.70,"3,422",-76.63,-,-
2013M06,"297,637",63.20,"54,428",-2.27,"133,029",26.73,"82,785","1,847.88","18,900","3,680.00","4,070",-59.50,"4,425",-36.02,-,-
2013M07,"381,078",37.42,"101,478",32.88,"189,298",28.80,"69,730",84.03,"3,730","2,386.67",290,-77.69,"16,552",13.11,-,-
2013M08,"437,448",67.27,"138,860",34.13,"195,879",53.77,"60,477",212.46,"8,080",-,-,-,"34,152",234.69,-,-
2013M09,"497,755",146.08,"132,750",178.09,"215,613",89.03,"103,470",323.28,"15,010",782.94,"8,140",2.13,"22,772",258.22,-,-
2013M10,"480,135",73.18,"151,356",107.87,"221,433",50.44,"51,454",19.67,"9,000",157.14,"3,000",122.22,"43,892",366.84,-,-
2013M11,"586,436",101.02,"192,374",217.88,"271,990",114.16,"82,115",-2.36,"10,855",60.10,"1,670",-82.42,"27,432",616.99,-,-
2013M12,"380,684",53.34,"104,042",98.80,"123,920",106.80,"73,870",28.99,"67,430",29.30,"6,390",-63.25,"5,032",-45.27,-,-
2014M01,"530,323",77.91,"115,075",94.59,-,-,"242,076",344.42,"131,900",614.91,"25,230",741.00,"16,042",-32.52,-,-
2014M02,"414,340",35.67,"78,022",17.25,"166,260",30.78,"139,543",65.70,"14,450",136.89,"6,730",-31.26,"9,335",-19.80,-,-
2014M03,"418,175",25.19,"74,629",-32.07,"186,960",46.41,"110,954",131.32,"36,810",-2.91,"4,690",493.67,"2,732",-72.14,"1,400",-
2014M04,"419,211",33.57,"53,575",-52.10,"223,214",122.06,"120,537",38.96,"7,700",31.96,"11,600",242.18,"1,185",-78.46,"1,400",-
2014M05,"366,044",-9.00,"114,410",-9.78,"79,960",-46.21,"131,234",37.95,"33,155",51.60,"1,800",-71.61,"4,085",19.37,"1,400",-
2014M06,"285,808",-3.97,"68,683",26.19,"104,200",-21.67,"76,081",-8.10,"26,549",40.47,"6,060",48.89,"2,835",-35.93,"1,400",-
2014M07,"336,223",-11.77,"77,065",-24.06,"117,750",-37.80,"106,675",52.98,"21,110",465.95,"7,000","2,313.79","5,223",-68.44,"1,400",-
