期間,1997,1998,1999,2000,2001,2002,2003,2004
(十)其他國內投資,"30,697","29,960","20,214","20,526","19,021","10,146","9,252","7,938"
(十一)減備抵跌價損失,"27,254","38,376","44,527","73,824","101,871","118,123","53,739","59,019"
七、國內不動產投資及閒置設備,"595,332","701,580","779,870","888,709","993,532","1,157,590","964,728","1,049,117"
八、國外資產,"367,962","448,063","520,103","705,718","826,238","1,023,778","1,315,724","1,484,320"
(一)國外存款,530,642,890,"1,049","1,529","2,528","2,511","5,543"
(二)國外企業投資,"329,772","406,643","474,341","650,585","759,987","930,416","1,233,719","1,363,061"
(三)有價證券投資,"36,607","39,921","44,162","52,633","63,714","97,415","106,373","142,795"
(四)不動產投資,"1,054",857,710,"1,451","1,007",238,126,127
(五)減備抵跌價損失,...,...,...,...,...,"6,818","27,005","27,205"
九、存貨,"3,692,580","3,567,072","3,441,285","3,518,386","3,262,180","3,135,688","3,244,008","3,808,261"
十、固定資產淨額,"7,035,724","7,562,684","8,101,263","8,495,528","8,744,386","8,676,158","8,552,840","9,247,960"
(一)土地,"1,851,305","2,040,459","2,104,846","2,271,460","2,400,028","2,307,544","2,277,795","2,472,984"
(二)建築物及其他營業資產,"9,647,821","10,472,797","11,164,973","11,257,088","11,388,867","11,147,501","11,324,040","12,448,258"
(三)減累積折舊及折耗,"4,463,402","4,950,572","5,168,556","5,033,020","5,044,509","4,778,888","5,048,995","5,673,281"
十一、無形資產、遞延投資及用品盤存,"276,811","313,573","360,720","422,774","425,632","442,275","441,147","470,877"
負債合計,"12,736,204","13,917,105","14,511,177","15,404,307","14,603,214","15,072,791","15,055,083","16,809,623"
一、國內金融機構借款,"5,152,588","5,607,272","5,972,388","6,298,893","6,086,240","5,971,031","6,201,629","6,975,045"
二、金融機構以外借款,"1,285,179","1,007,191","771,464","568,922","337,017","153,177","171,482","168,948"
(一)政府,"29,234","22,836","38,003","34,189","19,009","10,549","5,664","5,400"
(二)企業,"252,455","176,661","110,633","91,499","78,056","75,797","87,809","80,723"
(三)個人及非營利團體,"1,003,491","807,694","622,827","443,234","239,952","66,831","78,009","82,826"
三、國外借款,"17,281","18,055","22,544","34,189","45,497","45,521","83,532","71,821"
四、附賣(買)回交易,...,"70,081","37,908","29,066","15,023","2,325","7,994","14,299"
五、應付及預收款項淨額,"4,684,365","5,411,241","5,794,514","6,516,516","6,235,011","6,946,183","6,835,646","7,712,982"
(一)政府,"187,357","210,492","218,739","241,973","253,018","287,989","253,933","341,839"
(二)金融機構,"75,626","104,437","139,699","162,659","201,026","222,175","191,058","196,401"
(三)企業,"3,106,319","3,508,136","3,626,150","4,022,856","3,462,209","3,668,797","3,751,606","4,203,576"
(四)個人及非營利團體,"1,136,177","1,375,122","1,562,473","1,762,809","1,875,538","2,150,206","1,979,445","2,202,957"
(五)國外,"178,885","213,055","247,454","326,220","443,220","617,017","659,604","768,208"
六、應付商業本票,"868,015","1,146,261","1,019,845","922,252","759,174","620,208","413,236","398,392"
七、應付銀行承兌匯票,"107,428","35,417","13,198","16,740","15,350","7,885","6,781","7,596"
八、應付國內公司債,"169,694","185,076","482,217","587,909","644,654","800,533","671,127","732,813"
九、應付國外有價證券,"127,345","92,871","75,681","81,759","80,873","80,138","243,348","301,020"
十、營業準備,"7,240","11,530","13,974","15,773","23,021","33,532","32,782","38,772"
十一、職工退休金及福利金準備,"63,574","68,054","57,494","53,629","44,129","36,786","31,526","36,598"
十二、土地增值稅準備,"253,496","264,055","249,950","278,660","317,226","297,826","287,514","272,343"
十三、衍生性金融商品負債,...,...,...,...,...,...,"1,388","4,851"
十四、遞延貸項,...,...,...,...,...,"77,644","67,101","74,143"
淨值合計,"8,146,319","8,517,809","9,202,198","10,066,937","10,375,303","11,312,727","12,161,132","13,364,596"
一、實收資本額,"6,672,074","7,114,507","7,953,750","8,735,962","8,866,297","9,500,000","9,725,137","10,310,852"
(一)政府,"47,027","40,697","52,486","81,545","98,142","99,540","119,996","100,337"
(二)金融機構,"313,117","329,078","299,369","281,552","282,335","251,191","294,758","355,652"
(三)企業,"748,629","878,392","1,268,018","1,607,535","1,990,882","2,251,254","1,754,387","1,850,677"
(四)個人及非營利團體,"5,368,868","5,619,464","6,039,581","6,414,305","6,043,907","6,392,766","6,845,540","7,178,336"
(五)國外,"194,433","246,875","294,296","351,024","451,031","505,250","710,457","825,850"
二、公積及累積盈虧,"1,474,245","1,403,302","1,248,448","1,330,975","1,509,006","1,812,727","2,435,995","3,053,744"
