期間,10天_原始值,10天_年增率(%),10天_原始值,10天_年增率(%),30天_原始值,30天_年增率(%),30天_原始值,30天_年增率(%),60天_原始值,60天_年增率(%),60天_原始值,60天_年增率(%),90天_原始值,90天_年增率(%),90天_原始值,90天_年增率(%),120天_原始值,120天_年增率(%),120天_原始值,120天_年增率(%),180天_原始值,180天_年增率(%),180天_原始值,180天_年增率(%)
2001M05,33.880,-9.36,34.015,-9.34,33.880,-9.51,34.012,-9.38,33.880,-9.67,34.012,-9.50,33.885,-9.85,34.009,-9.64,33.875,-9.99,34.011,-9.76,33.865,-10.25,34.013,-9.99
2001M06,34.366,-10.58,34.518,-10.68,34.362,-10.73,34.515,-10.72,34.357,-10.89,34.515,-10.82,34.362,-11.07,34.515,-10.98,34.354,-11.24,34.511,-11.07,34.347,-11.57,34.511,-11.27
2001M07,34.659,-10.59,34.807,-10.63,34.655,-10.73,34.807,-10.68,34.650,-10.88,34.807,-10.80,34.650,-11.04,34.802,-10.94,34.632,-11.17,34.802,-11.05,34.605,-11.41,34.782,-11.21
2001M08,34.473,-10.09,34.591,-10.08,34.463,-10.21,34.591,-10.12,34.448,-10.33,34.591,-10.22,34.448,-10.46,34.586,-10.35,34.432,-10.60,34.588,-10.47,34.408,-10.87,34.591,-10.68
2001M09,34.471,-9.34,34.601,-9.37,34.467,-9.48,34.605,-9.41,34.462,-9.63,34.610,-9.51,34.462,-9.75,34.615,-9.67,34.452,-9.85,34.623,-9.79,34.442,-10.06,34.640,-10.02
2001M10,34.470,-6.31,34.600,-6.27,34.470,-6.39,34.610,-6.33,34.470,-6.52,34.610,-6.37,34.480,-6.62,34.618,-6.46,34.473,-6.69,34.624,-6.54,34.443,-6.76,34.638,-6.68
2001M11,34.409,-4.22,34.536,-4.04,34.404,-4.22,34.543,-4.06,34.409,-4.28,34.553,-4.09,34.414,-4.38,34.563,-4.18,34.409,-4.46,34.576,-4.29,34.409,-4.62,34.603,-4.51
2001M12,34.939,-5.55,35.066,-5.48,34.939,-5.60,35.080,-5.52,34.949,-5.71,35.100,-5.56,34.964,-5.79,35.120,-5.67,34.965,-5.86,35.135,-5.77,34.979,-6.01,35.165,-5.97
2002M01,34.900,-7.54,35.038,-7.45,34.900,-7.57,35.052,-7.50,34.910,-7.65,35.072,-7.58,34.930,-7.75,35.087,-7.65,34.926,-7.78,35.105,-7.72,34.930,-7.84,35.142,-7.84
2002M02,35.066,-8.00,35.191,-7.87,35.066,-8.02,35.205,-7.92,35.076,-8.09,35.225,-8.00,35.091,-8.17,35.235,-8.05,35.086,-8.19,35.248,-8.12,35.086,-8.23,35.275,-8.23
2002M03,34.948,-6.36,35.083,-6.26,34.948,-6.39,35.090,-6.29,34.948,-6.45,35.100,-6.34,34.948,-6.48,35.100,-6.37,34.948,-6.51,35.103,-6.41,34.928,-6.49,35.088,-6.41
2002M04,34.661,-5.32,34.787,-5.26,34.661,-5.32,34.797,-5.28,34.661,-5.32,34.812,-5.32,34.661,-5.30,34.812,-5.32,34.661,-5.32,34.841,-5.40,34.671,-5.34,34.820,-5.33
2002M05,34.078,-0.58,34.221,-0.60,34.074,-0.57,34.225,-0.62,34.069,-0.55,34.230,-0.64,34.069,-0.54,34.230,-0.65,34.061,-0.55,34.226,-0.63,34.044,-0.53,34.220,-0.60
2002M06,33.470,2.68,33.606,2.71,33.446,2.74,33.606,2.70,33.411,2.83,33.606,2.70,33.391,2.91,33.606,2.70,33.371,2.95,33.606,2.69,33.331,3.05,33.576,2.78
2002M07,33.712,2.81,33.858,2.80,33.712,2.80,33.865,2.78,33.712,2.78,33.875,2.75,33.712,2.78,33.875,2.74,33.689,2.80,33.855,2.80,33.642,2.86,33.855,2.74
2002M08,34.178,0.86,34.323,0.78,34.178,0.83,34.327,0.77,34.178,0.79,34.332,0.75,34.178,0.79,34.332,0.74,34.167,0.78,34.328,0.76,34.143,0.78,34.322,0.78
2002M09,34.882,-1.18,35.021,-1.20,34.878,-1.18,35.021,-1.19,34.873,-1.18,35.021,-1.17,34.868,-1.16,35.021,-1.16,34.865,-1.18,35.022,-1.14,34.858,-1.19,35.026,-1.10
2002M10,34.711,-0.69,34.848,-0.71,34.704,-0.67,34.848,-0.68,34.694,-0.65,34.848,-0.68,34.689,-0.60,34.843,-0.65,34.684,-0.61,34.838,-0.61,34.674,-0.67,34.838,-0.57
2002M11,34.759,-1.01,34.897,-1.03,34.752,-1.00,34.897,-1.01,34.742,-0.96,34.897,-0.99,34.737,-0.93,34.892,-0.94,34.731,-0.93,34.892,-0.91,34.717,-0.89,34.882,-0.80
2002M12,34.688,0.72,34.826,0.69,34.681,0.74,34.822,0.74,34.671,0.80,34.817,0.81,34.656,0.89,34.812,0.88,34.641,0.94,34.804,0.95,34.611,1.06,34.787,1.09
2003M01,34.615,0.82,34.772,0.76,34.605,0.85,34.762,0.83,34.590,0.93,34.747,0.94,34.570,1.04,34.737,1.01,34.555,1.07,34.724,1.10,34.525,1.17,34.697,1.28
2003M02,34.690,1.08,34.818,1.07,34.680,1.11,34.823,1.10,34.665,1.19,34.818,1.17,34.650,1.27,34.803,1.24,34.635,1.30,34.792,1.31,34.605,1.39,34.768,1.46
2003M03,34.680,0.77,34.819,0.76,34.670,0.80,34.819,0.78,34.655,0.85,34.809,0.84,34.640,0.89,34.794,0.88,34.630,0.92,34.786,0.91,34.610,0.92,34.769,0.92
2003M04,34.772,-0.32,34.906,-0.34,34.752,-0.26,34.896,-0.28,34.722,-0.18,34.881,-0.20,34.702,-0.12,34.861,-0.14,34.676,-0.04,34.841,0.00,34.622,0.14,34.801,0.05
2003M05,34.642,-1.63,34.785,-1.62,34.625,-1.59,34.775,-1.58,34.600,-1.53,34.760,-1.52,34.575,-1.46,34.735,-1.45,34.550,-1.42,34.712,-1.40,34.500,-1.32,34.665,-1.28
2003M06,34.537,-3.09,34.685,-3.11,34.520,-3.11,34.672,-3.07,34.495,-3.14,34.652,-3.02,34.475,-3.14,34.632,-2.96,34.457,-3.15,34.616,-2.92,34.420,-3.16,34.582,-2.91
2003M07,34.334,-1.81,34.485,-1.82,34.318,-1.77,34.472,-1.76,34.293,-1.69,34.452,-1.67,34.268,-1.62,34.432,-1.62,34.243,-1.62,34.407,-1.60,34.193,-1.61,34.357,-1.46
2003M08,34.141,0.11,34.277,0.13,34.131,0.14,34.271,0.16,34.116,0.18,34.261,0.21,34.096,0.24,34.246,0.25,34.073,0.28,34.228,0.29,34.026,0.34,34.191,0.38
2003M09,33.689,3.54,33.828,3.53,33.665,3.60,33.812,3.58,33.630,3.70,33.787,3.65,33.600,3.77,33.767,3.71,33.567,3.87,33.737,3.81,33.500,4.05,33.677,4.01
2003M10,33.892,2.42,34.031,2.40,33.885,2.42,34.031,2.40,33.875,2.42,34.021,2.43,33.850,2.48,34.006,2.46,33.822,2.55,33.978,2.53,33.765,2.69,33.921,2.70
