期間,市內電話-用戶數(萬戶)_原始值,市內電話-用戶數(萬戶)_年增率(%),市內電話-每百人用戶數(戶／百人)_原始值,市內電話-每百人用戶數(戶／百人)_年增率(%),國際電話去話分鐘數(萬分鐘)_原始值,國際電話去話分鐘數(萬分鐘)_年增率(%),整體服務數位網路(ISDN)用戶數(戶)_原始值,整體服務數位網路(ISDN)用戶數(戶)_年增率(%),數據通信出租電路數(路)_原始值,數據通信出租電路數(路)_年增率(%),分封交換數據通信-用戶數(戶)_原始值,分封交換數據通信-用戶數(戶)_年增率(%),分封交換數據通信-資訊量(百萬節)_原始值,分封交換數據通信-資訊量(百萬節)_年增率(%),無線電叫人用戶數(千戶)_原始值,無線電叫人用戶數(千戶)_年增率(%),行動電話-用戶數(千戶)_原始值,行動電話-用戶數(千戶)_年增率(%),行動電話-每百人用戶數(戶／百人)_原始值,行動電話-每百人用戶數(戶／百人)_年增率(%),行動電話-去話分鐘數(百萬分鐘)_原始值,行動電話-去話分鐘數(百萬分鐘)_年增率(%),網際網路帳號數(千戶)_原始值,網際網路帳號數(千戶)_年增率(%),寬頻(千戶)_原始值,寬頻(千戶)_年增率(%)
2010M03,"1,280",-1.57,55.3,-1.89,"37,413",21.08,"95,645",27.82,"164,695",-0.69,"1,274",-15.63,11,-97.47,"1,120",-1.45,"27,199",5.95,117.6,5.60,"3,307",12.09,"5,631",-6.75,"5,007",-1.00
2010M04,"1,279",-1.38,55.3,-1.70,"38,184",11.80,"99,897",25.55,"165,206",-0.21,"1,252",-16.48,12,-97.76,"1,121",-1.39,"27,182",5.03,117.5,4.70,"3,339",12.00,"5,673",-2.77,"5,047",2.38
2010M05,"1,278",-1.31,55.2,-1.63,"37,831",10.45,"101,242",26.16,"165,900",0.48,"1,224",-18.18,11,-97.85,"1,119",-1.49,"27,068",4.02,117.0,3.69,"3,365",10.99,"5,674",-2.30,"5,066",3.20
2010M06,"1,277",-1.26,55.2,-1.56,"37,713",9.65,"100,716",25.49,"167,237",0.70,"1,209",-18.20,19,-96.17,"1,119",-1.46,"27,173",3.84,117.4,3.52,"3,321",8.68,"5,655",-2.76,"5,048",1.74
2010M07,"1,275",-1.25,55.1,-1.54,"37,580",8.55,"101,028",15.61,"167,308",0.50,"1,181",-18.61,19,-96.14,"1,101",-3.07,"27,280",3.63,117.9,3.33,"3,353",7.22,"5,673",-1.84,"5,069",2.11
2010M08,"1,273",-1.17,55.0,-1.44,"40,569",18.38,"102,640",18.52,"167,712",0.80,"1,162",-19.14,9,-98.30,"1,101",-3.06,"27,422",3.65,118.5,3.36,"3,399",6.18,"5,696",-1.82,"5,084",1.25
2010M09,"1,272",-1.07,55.0,-1.33,"39,226",13.76,"103,321",21.47,"167,504",0.52,"1,116",-20.74,9,-98.10,"1,101",-2.45,"27,532",3.48,119.0,3.20,"3,377",8.45,"5,737",-0.32,"5,130",2.51
2010M10,"1,271",-1.11,54.9,-1.35,"38,372",3.25,"103,688",20.29,"166,721",0.23,"1,096",-19.11,9,-98.32,"1,099",-2.22,"27,604",3.29,119.2,3.04,"3,376",7.49,"5,907",3.26,"5,298",5.98
2010M11,"1,271",-1.01,54.9,-1.23,"39,957",5.56,"104,704",21.89,"166,721",-0.25,"1,093",-18.80,9,-98.20,"1,097",-2.31,"27,713",3.30,119.7,3.08,"3,315",7.05,"5,891",3.56,"5,312",6.26
2010M12,"1,270",-0.97,54.8,-1.17,"39,442",1.29,"105,826",19.17,"167,749",1.53,"1,085",-18.97,9,-97.87,"1,095",-2.33,"27,840",3.27,120.2,3.07,"3,445",6.83,"5,888",3.88,"5,312",6.28
