期間,融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%)
2010M01,"27,747",156.73,"531,788",298.10,"28,000",158.64,"524,569",294.37,"18,366",35.73,"324,025",132.41,"3,244",22.65,"126,770",84.92,"3,481",36.72,"135,244",103.36,739,-10.86,"33,066",56.73
2010M02,"9,551",-29.89,"188,604",7.82,"10,238",-19.65,"205,203",24.08,"17,679",22.68,"307,426",106.36,"1,792",-43.27,"78,663",4.67,"1,829",-42.08,"79,467",10.96,702,-15.42,"32,262",30.95
2010M03,"19,617",-37.00,"388,246",3.68,"19,099",-36.12,"371,432",4.25,"18,197",16.27,"324,240",94.00,"2,582",-48.60,"106,813",-7.35,"2,663",-48.07,"111,546",-7.11,621,-14.34,"27,529",38.76
2010M04,"20,578",-49.84,"405,603",-18.85,"20,600",-49.29,"401,215",-16.13,"18,175",13.23,"328,628",74.27,"2,249",-61.61,"91,443",-25.33,"2,510",-58.44,"101,803",-18.29,360,-33.70,"17,169",-3.07
2010M05,"15,652",-61.06,"300,233",-48.70,"16,378",-56.83,"319,755",-39.95,"17,449",-4.72,"309,106",28.09,"2,548",-58.20,"113,350",-25.43,"2,415",-57.80,"107,619",-24.14,493,-46.18,"22,900",-17.82
2010M06,"13,070",-57.46,"248,351",-51.12,"12,781",-59.61,"243,835",-52.27,"17,738",1.97,"313,622",31.49,"2,230",-57.40,"93,696",-40.17,"2,209",-58.72,"94,107",-40.31,514,-35.75,"22,489",-16.15
2010M07,"18,096",-38.90,"331,374",-36.24,"17,457",-41.07,"322,021",-36.78,"18,377",5.68,"322,975",29.76,"2,478",-43.83,"93,557",-31.35,"2,409",-44.08,"93,877",-28.78,583,-35.51,"22,169",-29.12
2010M08,"25,193",28.48,"453,388",34.79,"24,328",20.39,"431,395",25.54,"19,242",14.60,"344,968",42.76,"3,144",-10.63,"121,307",-2.63,"3,080",-11.55,"114,137",-5.86,647,-31.17,"29,339",-15.27
2010M09,"20,651",-17.58,"435,376",0.18,"20,425",-16.19,"422,048",2.25,"19,468",11.40,"358,296",35.99,"2,938",-20.47,"128,795",-1.44,"2,837",-20.31,"124,524",0.11,748,-30.35,"33,610",-17.85
2010M10,"21,157",-20.57,"414,972",-12.03,"21,009",-20.25,"408,372",-9.61,"19,616",10.40,"364,896",28.75,"2,937",-11.96,"123,479",-2.00,"2,926",-12.97,"122,884",-2.89,759,-27.58,"34,205",-15.27
2010M11,"15,368",-24.75,"327,587",-15.47,"15,912",-21.16,"334,866",-11.11,"19,072",5.91,"357,617",21.55,"2,559",-9.89,"111,587",-1.74,"2,616",-8.98,"111,347",-0.87,702,-30.77,"34,445",-17.20
2010M12,"26,046",-5.73,"507,698",-6.65,"24,564",-9.09,"477,418",-8.41,"20,554",10.39,"387,897",22.44,"3,302",14.89,"122,329",5.65,"3,229",10.89,"122,704",5.92,775,-20.59,"34,070",-17.98
