期間,總計_原始值,總計_年增率(%),中央政府_原始值,中央政府_年增率(%),新北市政府_原始值,新北市政府_年增率(%),臺北市政府_原始值,臺北市政府_年增率(%),臺中市政府_原始值,臺中市政府_年增率(%),臺南市政府_原始值,臺南市政府_年增率(%),高雄市政府_原始值,高雄市政府_年增率(%),省政府_原始值,省政府_年增率(%),縣市政府_原始值,縣市政府_年增率(%),鄉鎮市公所_原始值,鄉鎮市公所_年增率(%)
1996,"1,937,388",...,"1,223,895",...,-,--,"130,200",...,-,--,-,--,"41,100",...,"495,400",...,"31,900",...,"13,900",...
1997,"2,173,902",12.21,"1,381,310",12.86,-,--,"113,883",-12.53,-,--,-,--,"45,333",10.30,"582,188",17.52,"38,026",19.20,"13,162",-5.31
1998,"2,217,843",2.02,"1,368,674",-0.91,-,--,"108,260",-4.94,-,--,-,--,"49,293",8.74,"637,419",9.49,"42,041",10.56,"12,156",-7.64
1999,"2,322,102",4.70,"1,312,256",-4.12,-,--,"109,959",1.57,-,--,-,--,"57,374",16.39,"768,940",20.63,"61,749",46.88,"11,824",-2.73
