期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),商業本票_原始值,商業本票_年增率(%),商業本票_原始值,商業本票_年增率(%),可轉讓定期存單_原始值,可轉讓定期存單_年增率(%),可轉讓定期存單_原始值,可轉讓定期存單_年增率(%),銀行承兌匯票_原始值,銀行承兌匯票_年增率(%),銀行承兌匯票_原始值,銀行承兌匯票_年增率(%),國庫券_原始值,國庫券_年增率(%),國庫券_原始值,國庫券_年增率(%)
2010M10,"1,658,560",-28.75,"1,449,358",8.93,"1,516,211",3.66,"1,350,802",4.86,"44,351",-94.29,"39,491",159.45,487,11.44,381,-16.45,"97,511",10.36,"58,684",119.69
2010M11,"1,853,858",-11.70,"1,576,784",26.46,"1,653,188",19.60,"1,421,149",17.51,"74,012",-88.75,"68,843",146.93,604,23.77,451,10.81,"126,054",114.28,"86,341",834.83
2010M12,"1,915,710",-20.48,"1,649,418",11.81,"1,724,711",5.67,"1,496,226",3.30,"76,830",-88.97,"74,491",366.88,678,66.18,562,87.33,"113,491",41.92,"78,139",643.12
2011M01,"2,065,348",36.93,"1,713,480",34.30,"1,904,467",29.94,"1,588,432",25.50,"64,932",552.06,"67,016","1,061.66",561,228.07,409,113.02,"95,388",193.47,"57,623","1,247.59"
2011M02,"1,375,428",13.85,"1,170,826",13.18,"1,249,821",7.39,"1,078,025",6.16,"47,398",421.14,"47,888",560.80,269,122.31,212,118.56,"77,940",122.20,"44,701",283.83
2011M03,"1,939,305",12.56,"1,693,216",14.54,"1,758,874",6.25,"1,550,630",7.39,"67,257",239.12,"67,858",372.06,337,22.55,277,8.63,"112,837",138.22,"74,451",277.92
2011M04,"1,731,724",4.64,"1,462,644",2.70,"1,543,218",-1.62,"1,335,153",-2.35,"64,017",370.61,"63,578",778.88,569,40.15,325,-5.80,"123,920",71.38,"63,588",28.97
2011M05,"1,787,491",14.62,"1,519,346",10.09,"1,619,719",9.56,"1,392,274",5.86,"71,093",110.50,"70,668",133.48,641,27.94,565,40.20,"96,038",105.20,"55,839",62.84
2011M06,"1,705,607",3.53,"1,501,131",5.31,"1,556,548",1.10,"1,364,457",2.01,"75,229",36.06,"70,651",33.82,141,-58.41,111,-55.95,"73,689",41.19,"65,912",89.04
2011M07,"1,742,443",-0.54,"1,505,929",2.10,"1,556,491",-4.09,"1,347,964",-3.13,"101,426",72.60,"95,356",91.85,191,-70.48,95,-79.12,"84,335",20.93,"62,514",88.13
2011M08,"1,914,785",7.46,"1,650,451",12.36,"1,686,712",3.04,"1,474,418",7.95,"113,502",49.74,"105,021",66.99,446,-32.73,427,-30.79,"114,125",66.75,"70,585",78.63
2011M09,"1,836,720",3.68,"1,546,038",4.16,"1,616,402",0.19,"1,379,005",0.17,"121,854",105.80,"120,198",148.60,378,-48.22,268,-41.61,"98,086",-0.13,"46,567",-20.95
2011M10,"1,708,395",3.00,"1,484,500",2.42,"1,516,554",0.02,"1,327,208",-1.75,"120,414",171.50,"110,259",179.20,396,-18.69,260,-31.76,"71,031",-27.16,"46,773",-20.30
2011M11,"1,709,405",-7.79,"1,452,309",-7.89,"1,554,991",-5.94,"1,322,743",-6.92,"106,745",44.23,"97,383",41.46,378,-37.42,260,-42.35,"47,291",-62.48,"31,923",-63.03
2011M12,"1,840,735",-3.91,"1,556,652",-5.62,"1,620,686",-6.03,"1,393,261",-6.88,"102,418",33.30,"93,036",24.90,171,-74.78,144,-74.38,"117,460",3.50,"70,211",-10.15
2012M01,"1,472,115",-28.72,"1,265,385",-26.15,"1,343,018",-29.48,"1,136,950",-28.42,"68,076",4.84,"67,308",0.44,88,-84.31,40,-90.22,"60,933",-36.12,"61,087",6.01
2012M02,"1,701,786",23.73,"1,419,795",21.26,"1,551,573",24.14,"1,283,801",19.09,"87,581",84.78,"80,492",68.08,333,23.79,248,16.98,"62,299",-20.07,"55,254",23.61
2012M03,"1,835,046",-5.38,"1,578,054",-6.80,"1,665,949",-5.28,"1,424,961",-8.10,"92,025",36.83,"85,178",25.52,661,96.14,504,81.95,"76,411",-32.28,"67,411",-9.46
2012M04,"1,769,590",2.19,"1,503,194",2.77,"1,584,114",2.65,"1,358,809",1.77,"69,329",8.30,"68,003",6.96,531,-6.68,494,52.00,"115,616",-6.70,"75,888",19.34
2012M05,"1,856,879",3.88,"1,539,780",1.34,"1,713,207",5.77,"1,417,806",1.83,"66,225",-6.85,"63,774",-9.76,359,-43.99,349,-38.23,"77,088",-19.73,"57,851",3.60
2012M06,"1,710,630",0.29,"1,446,975",-3.61,"1,570,618",0.90,"1,343,019",-1.57,"62,007",-17.58,"58,789",-16.79,421,198.58,307,176.58,"77,584",5.29,"44,860",-31.94
2012M07,"1,789,401",2.69,"1,491,613",-0.95,"1,644,305",5.64,"1,384,888",2.74,"61,285",-39.58,"57,940",-39.24,210,9.95,228,140.00,"83,601",-0.87,"48,557",-22.33
2012M08,"1,977,718",3.29,"1,538,999",-6.75,"1,812,781",7.47,"1,414,534",-4.06,"77,246",-31.94,"68,711",-34.57,334,-25.11,232,-45.67,"87,357",-23.45,"55,522",-21.34
2012M09,"1,740,991",-5.21,"1,347,261",-12.86,"1,617,066",0.04,"1,249,582",-9.39,"63,366",-48.00,"56,495",-53.00,290,-23.28,199,-25.75,"60,269",-38.55,"40,985",-11.99
