期間,授信部門-中央銀行_原始值,授信部門-中央銀行_年增率(%),受信部門-其他貨幣機構_原始值,受信部門-其他貨幣機構_年增率(%),受信部門-其他金融機構_原始值,受信部門-其他金融機構_年增率(%)
2000,"294,521",...,"287,521",...,"7,000",...
2001,"454,918",54.46,"454,918",58.22,-,--
2002,"672,020",47.72,"672,020",47.72,-,--
