期間,總指數(不含食物)_原始值,總指數(不含食物)_年增率(%),總指數(不含蔬菜水果)_原始值,總指數(不含蔬菜水果)_年增率(%),總指數(不含蔬果及能源)【即核心物價】_原始值,總指數(不含蔬果及能源)【即核心物價】_年增率(%),總指數(不含食物及能源)_原始值,總指數(不含食物及能源)_年增率(%),總指數(不含蔬果水產及能源)_原始值,總指數(不含蔬果水產及能源)_年增率(%),總指數(不含設算租金)_原始值,總指數(不含設算租金)_年增率(%)
1989M06,70.69,3.82,69.14,4.19,69.96,4.71,71.96,4.56,71.00,4.91,65.40,4.42
1989M07,70.68,3.56,69.02,3.87,69.76,4.10,71.84,3.86,70.83,4.16,65.01,3.83
1989M08,70.57,3.51,69.10,3.60,69.84,3.80,71.72,3.82,70.92,3.82,65.60,3.08
1989M09,71.16,3.97,69.55,4.02,70.32,4.15,72.37,4.16,71.44,4.11,67.56,5.79
1989M10,71.34,3.87,69.60,3.87,70.51,4.14,72.78,4.27,71.66,4.13,68.24,5.98
1989M11,71.69,3.90,69.70,3.64,70.69,4.00,73.26,4.43,71.84,4.00,66.16,3.39
1989M12,71.82,3.80,69.84,3.36,70.84,3.70,73.41,4.33,71.97,3.67,65.60,2.66
1990M01,72.29,3.82,70.31,3.41,71.33,3.74,73.93,4.36,72.43,3.71,65.98,3.60
1990M02,72.11,3.65,70.17,2.96,71.19,3.13,73.74,3.96,72.25,3.17,65.85,2.36
1990M03,72.17,3.69,70.28,3.00,71.30,3.15,73.80,3.99,72.37,3.16,66.38,2.91
1990M04,72.44,3.62,70.56,2.81,71.61,2.98,74.10,3.91,72.62,2.89,67.11,3.04
1990M05,72.95,3.93,70.76,2.61,71.81,2.75,74.66,4.26,72.89,2.76,67.76,3.26
1990M06,73.25,3.62,70.76,2.34,71.68,2.46,74.78,3.92,72.73,2.44,67.42,3.09
1990M07,73.30,3.71,70.83,2.62,71.69,2.77,74.72,4.01,72.79,2.77,67.91,4.46
1990M08,73.53,4.19,71.15,2.97,71.92,2.98,74.81,4.31,73.09,3.06,69.17,5.44
1990M09,75.11,5.55,72.38,4.07,72.97,3.77,76.15,5.22,74.13,3.77,71.91,6.44
1990M10,75.59,5.96,72.60,4.31,73.34,4.01,76.88,5.63,74.58,4.07,70.08,2.70
1990M11,75.93,5.91,72.61,4.18,73.42,3.86,77.36,5.60,74.68,3.95,68.45,3.46
1990M12,76.13,6.00,72.67,4.05,73.48,3.73,77.58,5.68,74.76,3.88,68.38,4.24
1991M01,76.61,5.98,73.28,4.22,74.05,3.81,77.99,5.49,75.32,3.99,69.25,4.96
1991M02,76.73,6.41,73.53,4.79,74.32,4.40,78.12,5.94,75.51,4.51,69.65,5.77
1991M03,76.65,6.21,73.30,4.30,74.02,3.81,77.95,5.62,75.24,3.97,69.17,4.20
1991M04,76.96,6.24,73.58,4.28,74.31,3.77,78.29,5.65,75.57,4.06,69.65,3.78
1991M05,77.35,6.03,73.86,4.38,74.63,3.93,78.75,5.48,75.91,4.14,69.77,2.97
1991M06,77.55,5.87,73.98,4.55,74.70,4.21,78.88,5.48,75.96,4.44,69.88,3.65
1991M07,77.50,5.73,74.10,4.62,74.77,4.30,78.74,5.38,76.01,4.42,70.41,3.68
