期間,總計,關稅,礦區稅,所得稅,所得稅-營利事業所得稅,所得稅-綜合所得稅,遺產稅,贈與稅,貨物稅,證券交易稅,期貨交易稅,營業稅,印花稅,使用牌照稅,土地稅,土地稅-田賦,土地稅-地價稅,土地稅-土地增值稅,房屋稅,娛樂稅,契稅,教育臨時捐,公賣利益(應繳庫數),菸酒稅,金融保險業營業稅,健康福利捐,特種貨物稅及勞務稅
1960,"8,801.713","1,354.104",1.087,703.564,589.283,114.281,...,...,894.505,0.295,-,384.968,410.368,76.988,439.901,...,74.176,92.475,168.034,50.024,51.023,"1,126.771","1,886.254",-,-,-,-
1961,"9,554.276","1,532.227",1.610,767.563,619.258,148.305,...,...,"1,066.284",0.053,-,430.643,367.893,97.013,597.947,...,81.215,153.723,201.910,92.713,62.934,"1,302.186","2,285.892",-,-,-,-
1962,"10,141.629","1,641.188",0.748,789.004,610.412,178.592,...,...,"1,018.142",-,-,477.429,343.073,117.142,622.968,...,74.168,111.911,240.188,136.898,71.078,"1,122.800","2,739.714",-,-,-,-
1963,"11,253.657","1,871.746",1.827,758.797,541.952,216.845,...,...,"1,451.616",-,-,528.483,371.856,123.207,756.522,...,74.384,104.363,259.113,117.808,75.700,"1,131.728","2,885.810",-,-,-,-
1964,"12,839.950","2,245.160",1.904,"1,124.876",844.486,280.390,...,...,"1,788.572",-,-,586.682,435.657,137.258,720.383,...,78.233,81.994,308.338,140.310,135.619,"1,306.861","2,882.468",-,-,-,-
1965,"15,246.726","2,897.464",1.964,"1,360.498","1,011.556",348.942,...,...,"2,074.110",-,-,696.239,510.094,155.364,871.720,...,227.380,25.085,336.413,175.980,142.399,"1,543.907","3,272.745",-,-,-,-
1966,"17,297.799","3,426.086",1.683,"1,279.134",854.131,425.003,...,...,"2,389.752",7.954,-,811.749,537.010,178.029,"1,072.782",...,386.042,25.868,391.890,201.734,141.266,"1,776.080","3,697.446",-,-,-,-
1967,"19,531.496","3,706.307",3.479,"1,374.753",859.387,515.366,...,...,"2,936.410",8.896,-,958.224,636.691,208.157,"1,131.206",...,400.828,85.418,440.547,230.255,156.223,"1,914.878","4,243.729",-,-,-,-
1968,"24,346.570","4,714.295",2.380,"1,819.908","1,078.800",741.108,...,...,"3,653.610",12.602,-,"1,206.456",770.369,244.989,"1,904.058",...,433.603,499.221,701.162,279.034,302.881,"1,981.223","4,779.402",-,-,-,-
1969,"32,760.086","5,838.340",4.912,"2,545.796","1,499.013","1,046.783",...,...,"5,656.760",9.111,-,"1,564.798",964.674,296.903,"3,051.199",...,"1,104.820",833.447,"1,099.691",326.676,478.594,"3,130.011","5,433.025",-,-,-,-
1970,"36,664.079","6,695.963",5.371,"3,437.815","1,817.221","1,620.594",...,...,"6,271.923",14.618,-,"1,954.220","1,125.881",346.806,"3,038.246",...,"1,266.497",790.348,"1,235.313",353.570,451.382,"3,081.288","6,007.473",-,-,-,-
1971,"40,685.176","7,077.707",7.296,"4,516.501","2,427.212","2,089.289",...,...,"6,999.147",22.164,-,"2,311.500","1,328.228",398.300,"3,343.785",...,"1,235.317",966.805,"1,391.961",302.062,540.563,"3,151.786","6,437.602",-,-,-,-
1972,"47,975.726","10,287.371",5.353,"6,219.318","3,353.736","2,865.582",...,...,"8,234.787",8.714,-,"2,445.580","1,575.448",526.162,"3,526.756",...,"1,307.626","1,041.237","1,547.548",240.771,648.549,"2,366.170","6,942.066",-,-,-,-
