期間,定期存款--合計_原始值,定期存款--合計_年增率(%),定期存款--合計_原始值,定期存款--合計_年增率(%),"定期存款--100,000元以下_原始值","定期存款--100,000元以下_年增率(%)","定期存款--100,000元以下_原始值","定期存款--100,000元以下_年增率(%)","定期存款--100,001~500,000元_原始值","定期存款--100,001~500,000元_年增率(%)","定期存款--100,001~500,000元_原始值","定期存款--100,001~500,000元_年增率(%)","定期存款--500,001~1,000,000元_原始值","定期存款--500,001~1,000,000元_年增率(%)","定期存款--500,001~1,000,000元_原始值","定期存款--500,001~1,000,000元_年增率(%)","定期存款--1,000,000元以上_原始值","定期存款--1,000,000元以上_年增率(%)","定期存款--1,000,000元以上_原始值","定期存款--1,000,000元以上_年增率(%)",定期儲蓄存款--合計_原始值,定期儲蓄存款--合計_年增率(%),定期儲蓄存款--合計_原始值,定期儲蓄存款--合計_年增率(%),"定期儲蓄存款--100,000元以下_原始值","定期儲蓄存款--100,000元以下_年增率(%)","定期儲蓄存款--100,000元以下_原始值","定期儲蓄存款--100,000元以下_年增率(%)","定期儲蓄存款--100,001~500,000元_原始值","定期儲蓄存款--100,001~500,000元_年增率(%)","定期儲蓄存款--100,001~500,000元_原始值","定期儲蓄存款--100,001~500,000元_年增率(%)","定期儲蓄存款--500,001~1,000,000元_原始值","定期儲蓄存款--500,001~1,000,000元_年增率(%)","定期儲蓄存款--500,001~1,000,000元_原始值","定期儲蓄存款--500,001~1,000,000元_年增率(%)","定期儲蓄存款--1,000,001元以上_原始值","定期儲蓄存款--1,000,001元以上_年增率(%)","定期儲蓄存款--1,000,001元以上_原始值","定期儲蓄存款--1,000,001元以上_年增率(%)",定期儲存存款--國軍同袍儲蓄會(一戶)_原始值,定期儲存存款--國軍同袍儲蓄會(一戶)_年增率(%),定期儲存存款--國軍同袍儲蓄會(一戶)_原始值,定期儲存存款--國軍同袍儲蓄會(一戶)_年增率(%)
2001M05,"1,584,950",-3.72,"3,258,606",-1.92,"350,097",1.16,"27,656",1.87,"680,106",-5.37,"219,827",-6.87,"321,747",-4.32,"273,050",-5.99,"233,000",-4.94,"2,738,073",-1.11,"8,337,575",12.33,"5,966,512",9.09,"1,818,204",14.49,"113,539",18.04,"3,927,192",11.71,"1,256,045",11.42,"1,826,696",12.43,"1,451,443",12.75,"765,483",10.32,"3,128,547",6.37,-,-,"16,938",-2.92
2001M06,"1,544,667",-6.05,"3,235,634",-3.14,"340,527",-6.52,"25,956",-3.30,"661,505",-6.16,"215,035",-6.55,"313,690",-5.85,"268,194",-4.99,"228,945",-5.31,"2,726,449",-2.68,"8,377,190",10.50,"6,002,800",8.95,"1,822,064",6.32,"113,019",16.97,"3,949,314",11.89,"1,262,892",11.54,"1,836,843",12.14,"1,459,666",12.60,"768,969",9.93,"3,150,235",6.16,-,-,"16,988",0.35
2001M07,"1,491,846",-8.70,"3,201,542",-4.03,"326,827",-4.21,"24,026",-11.28,"639,175",-10.42,"207,017",-11.21,"302,217",-10.10,"259,100",-8.89,"223,627",-8.00,"2,711,399",-2.86,"8,423,759",10.75,"6,037,380",8.32,"1,862,146",15.18,"113,318",14.94,"4,036,028",11.86,"1,282,192",10.69,"1,749,512",4.61,"1,443,941",8.99,"776,073",9.46,"3,180,791",6.91,-,-,"17,138",1.27
2001M08,"1,479,882",-9.58,"3,198,026",-4.59,"317,621",-6.69,"21,072",-22.23,"633,818",-11.10,"204,923",-12.08,"301,730",-10.66,"259,895",-8.85,"226,713",-7.69,"2,712,136",-3.37,"8,507,130",11.10,"6,101,948",8.69,"1,872,374",15.25,"114,386",15.53,"4,073,828",12.31,"1,293,189",11.05,"1,769,809",4.99,"1,461,743",9.43,"791,119",9.99,"3,215,462",7.26,-,-,"17,168",1.21
2001M09,"1,482,424",-8.70,"3,205,165",-3.92,"320,814",-5.25,"22,921",-14.79,"628,915",-10.60,"204,090",-11.18,"301,683",-9.92,"265,525",-6.26,"231,012",-6.34,"2,712,629",-2.99,"8,576,079",11.30,"6,232,357",10.46,"1,883,150",15.12,"120,137",20.49,"4,101,155",12.40,"1,315,912",12.39,"1,784,551",5.18,"1,509,103",12.08,"807,223",11.44,"3,270,037",8.69,-,-,"17,168",1.63
2001M10,"1,447,618",-9.85,"3,145,352",-4.71,"305,882",-9.19,"21,500",-19.73,"619,253",-10.77,"200,952",-11.32,"297,196",-10.10,"260,521",-7.26,"225,287",-7.80,"2,662,379",-3.76,"8,642,095",11.81,"6,264,400",10.98,"1,886,651",14.68,"119,457",19.37,"4,143,483",13.30,"1,330,067",13.37,"1,805,747",6.14,"1,521,555",12.59,"806,214",11.11,"3,276,103",9.10,-,-,"17,218",1.92
2001M11,"1,413,555",-11.49,"3,095,082",-6.94,"297,891",-11.05,"20,438",-23.14,"606,147",-12.06,"196,706",-12.47,"289,415",-12.13,"249,442",-10.79,"220,102",-9.63,"2,628,496",-5.96,"8,774,040",13.28,"6,265,337",10.87,"1,906,885",15.56,"119,882",19.37,"4,219,032",15.12,"1,383,026",17.68,"1,834,418",7.62,"1,507,425",11.13,"813,705",12.09,"3,237,886",7.85,-,-,"17,118",1.51
2001M12,"1,374,883",-14.82,"3,023,960",-9.37,"289,860",-15.03,"19,683",-26.95,"590,313",-15.42,"190,963",-16.09,"280,957",-15.68,"241,741",-14.81,"213,753",-11.59,"2,571,573",-8.10,"8,828,098",13.29,"6,252,363",10.20,"1,915,413",15.22,"120,377",19.08,"4,255,780",15.52,"1,357,936",15.06,"1,838,285",7.03,"1,518,183",10.96,"818,620",12.34,"3,238,789",7.70,-,-,"17,078",1.27
2002M01,"1,329,125",-18.81,"2,955,979",-10.90,"279,493",-21.15,"18,517",-37.04,"569,290",-19.60,"184,339",-20.76,"272,040",-18.79,"233,926",-17.73,"208,302",-13.03,"2,519,197",-9.10,"8,805,637",10.79,"6,246,097",8.69,"1,896,984",10.38,"116,773",11.62,"4,247,853",13.33,"1,358,270",13.12,"1,839,337",5.45,"1,514,873",9.13,"821,463",11.46,"3,239,153",6.68,-,-,"17,028",1.22
2002M02,"1,312,900",-20.59,"2,904,364",-13.71,"278,247",-23.59,"18,418",-35.25,"561,481",-20.97,"181,645",-21.61,"267,268",-20.64,"229,505",-19.61,"205,904",-14.86,"2,474,796",-12.24,"8,844,837",8.83,"6,275,451",7.35,"1,908,505",7.69,"117,152",7.65,"4,261,094",11.36,"1,358,378",10.88,"1,845,944",3.72,"1,523,076",7.85,"829,294",10.75,"3,259,887",5.74,-,-,"16,958",1.22
2002M03,"1,284,795",-20.98,"2,859,053",-14.09,"271,449",-24.54,"17,938",-34.75,"548,403",-21.48,"177,231",-21.55,"261,996",-20.43,"224,720",-19.56,"202,947",-14.93,"2,439,164",-12.74,"8,832,683",7.34,"6,283,341",6.39,"1,893,912",5.52,"116,355",5.21,"4,255,163",9.78,"1,357,250",9.40,"1,849,694",2.69,"1,525,927",6.60,"833,914",10.24,"3,266,951",5.16,-,-,"16,858",0.03
2002M04,"1,269,885",-20.88,"2,838,194",-13.64,"265,166",-25.46,"17,522",-34.57,"540,962",-21.46,"174,895",-21.40,"260,409",-19.81,"223,357",-18.85,"203,348",-13.69,"2,422,420",-12.29,"8,812,374",6.27,"6,274,440",5.57,"1,880,339",3.94,"115,600",3.57,"4,243,667",8.58,"1,358,068",8.63,"1,851,392",2.07,"1,524,206",5.61,"836,976",9.95,"3,259,743",4.42,-,-,"16,823",-0.38
2002M05,"1,257,131",-20.68,"2,833,058",-13.06,"258,657",-26.12,"17,056",-38.33,"534,868",-21.36,"172,952",-21.32,"258,623",-19.62,"221,714",-18.80,"204,983",-12.02,"2,421,336",-11.57,"8,786,991",5.39,"6,276,526",5.20,"1,866,622",2.66,"114,700",1.02,"4,228,303",7.67,"1,349,713",7.46,"1,851,814",1.38,"1,527,801",5.26,"840,252",9.77,"3,267,539",4.44,-,-,"16,773",-0.97
2002M06,"1,254,886",-18.76,"2,895,059",-10.53,"255,656",-24.92,"17,160",-33.89,"531,956",-19.58,"172,144",-19.95,"259,132",-17.39,"222,173",-17.16,"208,142",-9.09,"2,483,582",-8.91,"8,788,869",4.91,"6,293,020",4.83,"1,859,141",2.03,"114,249",1.09,"4,226,341",7.01,"1,349,642",6.87,"1,857,914",1.15,"1,533,109",5.03,"845,473",9.95,"3,279,547",4.10,-,-,"16,473",-3.03
