期間,發行部門--中央銀行_原始值,發行部門--中央銀行_年增率(%),持有部門-其他貨幣機構_原始值,持有部門-其他貨幣機構_年增率(%),持有部門-其他金融機構_原始值,持有部門-其他金融機構_年增率(%)
2009,"5,928,485",36.76,"5,875,485",36.70,"53,000",43.83
2010,"6,712,620",13.23,"6,645,555",13.11,"67,065",26.54
2011,"6,682,155",-0.45,"6,627,705",-0.27,"54,450",-18.81
2012,"6,642,560",-0.59,"6,585,040",-0.64,"57,520",5.64
