期間,土地面積(平方公里)_原始值,土地面積(平方公里)_年增率(%),鄉鎮市區數_原始值,鄉鎮市區數_年增率(%),村里數_原始值,村里數_年增率(%),鄰數_原始值,鄰數_年增率(%),戶數_原始值,戶數_年增率(%),人口數_原始值,人口數_年增率(%),年(月)人口增加率(0/00)_原始值,年(月)人口增加率(0/00)_年增率(%),男性人口數_原始值,男性人口數_年增率(%),女性人口數_原始值,女性人口數_年增率(%),性比例(每百女子對男子數)_原始值,性比例(每百女子對男子數)_年增率(%),戶量(人/戶)_原始值,戶量(人/戶)_年增率(%),人口密度(人/平方公里)_原始值,人口密度(人/平方公里)_年增率(%)
2011M01,"36,191.467",-,368,0.00,"7,835",-0.13,"147,891",-0.18,"7,942,075",1.64,"23,164,628",0.17,0.11,-,"11,634,515",-0.02,"11,530,113",0.37,100.90,-,2.92,-,640.06,-
2011M02,"36,191.467",-,368,0.00,"7,835",0.15,"147,904",0.07,"7,947,403",1.64,"23,164,457",0.16,-0.01,-,"11,632,909",-0.04,"11,531,548",0.35,100.88,-,2.92,-,640.05,-
2011M03,"36,191.467",-,368,0.00,"7,835",0.09,"147,912",0.02,"7,959,795",1.59,"23,165,878",0.15,0.06,-,"11,631,490",-0.04,"11,534,388",0.35,100.84,-,2.91,-,640.09,-
2011M04,"36,191.467",-,368,0.00,"7,835",0.09,"147,921",0.03,"7,970,921",1.56,"23,170,321",0.16,0.19,-,"11,631,965",-0.03,"11,538,356",0.36,100.81,-,2.91,-,640.22,-
2011M05,"36,191.467",-,368,0.00,"7,835",0.06,"147,920",-0.01,"7,983,216",1.57,"23,174,528",0.17,0.18,-,"11,632,520",-0.02,"11,542,008",0.36,100.78,-,2.90,-,640.33,-
2011M06,"36,191.467",-,368,0.00,"7,835",0.06,"147,921",-0.01,"7,995,060",1.52,"23,180,477",0.18,0.26,-,"11,633,505",-0.01,"11,546,972",0.38,100.75,-,2.90,-,640.50,-
2011M07,"36,191.467",-,368,0.00,"7,835",0.00,"147,940",0.02,"8,007,543",1.53,"23,188,078",0.20,0.33,-,"11,635,880",0.01,"11,552,198",0.38,100.72,-,2.90,-,640.71,-
2011M08,"36,191.467",-,368,0.00,"7,835",0.00,"147,880",0.00,"8,022,520",1.54,"23,193,638",0.21,0.24,-,"11,637,076",0.02,"11,556,562",0.40,100.70,-,2.89,-,640.86,-
2011M09,"36,192.815",-,368,0.00,"7,835",0.00,"147,831",-0.03,"8,042,061",1.56,"23,197,947",0.22,0.19,-,"11,637,704",0.04,"11,560,243",0.41,100.67,-,2.88,-,640.95,-
2011M10,"36,192.815",-,368,0.00,"7,835",0.00,"147,829",-0.03,"8,047,803",1.56,"23,205,605",0.24,0.33,-,"11,640,046",0.06,"11,565,559",0.42,100.64,-,2.88,-,641.17,-
