期間,教育總經費(千元)_原始值,教育總經費(千元)_年增率(%),教育總經費占國民生產毛額比率(%)-合計_原始值,教育總經費占國民生產毛額比率(%)-合計_年增率(%),教育總經費占國民生產毛額比率(%)-公部門_原始值,教育總經費占國民生產毛額比率(%)-公部門_年增率(%),教育總經費占國民生產毛額比率(%)-私立_原始值,教育總經費占國民生產毛額比率(%)-私立_年增率(%),政府教育經費(千元)_原始值,政府教育經費(千元)_年增率(%),平均每人政府教育經費(元)_原始值,平均每人政府教育經費(元)_年增率(%),政府教育經費占政府歲出比率(%)_原始值,政府教育經費占政府歲出比率(%)_年增率(%)
1981,"74,112,578",...,4.44,-,3.61,-,0.83,-,"60,262,157",...,"3,312",...,14.71,-
1982,"94,673,666",27.74,5.04,-,4.14,-,0.90,-,"77,809,670",29.12,"4,202",26.87,15.14,-
1983,"110,942,492",17.18,5.45,-,4.51,-,0.94,-,"91,864,372",18.06,"4,889",16.34,16.51,-
1984,"111,121,047",0.16,4.80,-,3.85,-,0.95,-,"89,206,666",-2.89,"4,678",-4.31,16.28,-
1985,"123,915,028",11.51,4.94,-,4.00,-,0.94,-,"100,352,921",12.49,"5,196",11.07,16.57,-
1986,"137,899,432",11.29,5.00,-,4.10,-,0.91,-,"112,949,397",12.55,"5,790",11.43,16.45,-
1987,"148,047,536",7.36,4.61,-,3.71,-,0.90,-,"119,030,192",5.38,"6,034",4.23,16.54,-
1988,"168,382,593",13.74,4.86,-,3.92,-,0.94,-,"135,970,263",14.23,"6,814",12.92,17.27,-
