期間,本國籍-合計_原始值,本國籍-合計_年增率(%),本國籍占總出生(%)_原始值,本國籍占總出生(%)_年增率(%),本國籍-男_原始值,本國籍-男_年增率(%),本國籍-女_原始值,本國籍-女_年增率(%),大陸港澳地區與外國籍-計_原始值,大陸港澳地區與外國籍-計_年增率(%),大陸港澳地區與外國籍-男_原始值,大陸港澳地區與外國籍-男_年增率(%),大陸港澳地區與外國籍-女_原始值,大陸港澳地區與外國籍-女_年增率(%),大陸港澳地區-計_原始值,大陸港澳地區-計_年增率(%),大陸港澳地區-男_原始值,大陸港澳地區-男_年增率(%),大陸港澳地區-女_原始值,大陸港澳地區-女_年增率(%),外國籍-計_原始值,外國籍-計_年增率(%),外國籍-男_原始值,外國籍-男_年增率(%),外國籍-女_原始值,外國籍-女_年增率(%)
2004,"187,753",...,86.75,-,"98,704",...,"89,049",...,"28,666",...,"14,935",...,"13,731",...,"11,206",...,"5,885",...,"5,321",...,"17,460",...,"9,050",...,"8,410",...
2005,"179,345",-4.48,87.12,-,"93,527",-5.24,"85,818",-3.63,"26,509",-7.52,"13,851",-7.26,"12,658",-7.81,"10,022",-10.57,"5,219",-11.32,"4,803",-9.74,"16,487",-5.57,"8,632",-4.62,"7,855",-6.60
