期間,資產--放款_原始值,資產--放款_年增率(%),資產--證券投資-政府債券_原始值,資產--證券投資-政府債券_年增率(%),資產--證券投資-股份與債券等-公營事業_原始值,資產--證券投資-股份與債券等-公營事業_年增率(%),資產--證券投資-股份與債券等-民營企業_原始值,資產--證券投資-股份與債券等-民營企業_年增率(%),資產--證券投資-股份與債券等-金融機構_原始值,資產--證券投資-股份與債券等-金融機構_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-其他金融機構_原始值,資產--對金融機構債權-其他金融機構_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),負債與淨值--信託資金_原始值,負債與淨值--信託資金_年增率(%),負債與淨值--對金融機構負債-中央銀行_原始值,負債與淨值--對金融機構負債-中央銀行_年增率(%),負債與淨值--對金融機構負債-其他貨幣機構_原始值,負債與淨值--對金融機構負債-其他貨幣機構_年增率(%),負債與淨值--對金融機構負債-其他金融機構_原始值,負債與淨值--對金融機構負債-其他金融機構_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
1998M03,"257,597",19.64,"43,205",-6.41,"2,828",-34.84,"87,864",63.80,"20,679",2.72,"26,243",8.57,4,33.33,"22,724",-24.17,"2,139",-17.25,114,14.00,"41,258",0.70,"504,655",15.38,"275,712",5.26,50,-58.33,"39,799",22.37,"12,178",35.30,"55,431",-11.58,"121,485",--
1998M04,"257,022",19.56,"42,616",-7.86,"2,887",-36.80,"91,369",70.48,"21,487",33.86,"26,466",8.25,4,0.00,"20,647",-34.59,"1,390",-37.84,111,14.43,"44,769",10.92,"508,768",17.19,"274,699",6.03,50,-50.50,"40,386",22.09,"11,479",62.66,"59,956",-4.34,"122,198",--
1998M05,"254,172",17.01,"41,353",-9.62,"2,446",-44.45,"91,638",65.59,"21,057",20.86,"26,589",8.02,3,50.00,"27,951",-6.84,"1,441",-22.82,109,14.74,"45,091",16.13,"511,850",17.52,"278,465",5.99,39,-56.67,"39,637",17.09,"11,175",59.01,"60,049",1.24,"122,485",--
1998M06,"255,423",15.40,"41,639",11.11,"2,397",-43.08,"92,444",62.99,"21,725",12.07,"26,966",10.27,4,-20.00,"29,682",22.08,"2,046",32.00,97,2.11,"43,658",-9.41,"516,081",17.90,"278,911",7.88,39,-56.67,"42,468",17.60,"12,515",104.36,"60,517",-3.10,"121,631",--
1998M07,"259,899",13.44,"41,343",4.57,"2,422",-42.13,"94,050",57.57,"20,736",9.94,"26,879",9.06,3,0.00,"26,192",15.52,"2,005",29.52,100,11.11,"43,842",4.67,"517,471",17.02,"281,709",7.98,39,-57.14,"40,844",17.10,"12,468",113.60,"60,237",-6.61,"122,174",--
1998M08,"263,357",17.31,"41,176",3.25,"2,044",-38.89,"95,364",62.78,"21,205",-18.26,"26,873",5.41,8,100.00,"28,590",22.05,"2,808",101.00,101,8.60,"46,484",23.22,"528,010",19.90,"286,345",13.75,39,-56.67,"39,121",6.30,"14,972",149.08,"64,805",6.64,"122,728",--
1998M09,"265,813",16.62,"42,115",0.46,"2,110",-52.37,"94,629",47.36,"21,076",-55.76,"26,037",1.78,12,300.00,"36,001",66.31,"2,841",42.05,107,21.59,"47,324",26.27,"538,065",13.77,"290,742",14.93,39,-56.18,"40,899",0.30,"16,101",42.74,"68,962",15.95,"121,322",--
1998M10,"266,329",15.50,"40,986",-2.60,"1,894",-59.72,"98,215",39.31,"21,294",-20.57,"26,531",7.25,"1,122","8,530.77","37,493",24.60,"2,693","4,981.13",100,3.09,"45,926",8.97,"542,583",15.00,"295,829",17.30,-,-,"40,465",12.65,"15,405",63.64,"68,820",4.80,"122,064",--
1998M11,"187,610",-20.55,"32,194",-25.53,"2,309",-47.22,"86,879",20.37,"17,696",-37.15,"26,758",7.80,2,-60.00,"22,897",-20.41,"1,037",-10.99,90,-7.22,"45,755",14.38,"423,227",-11.63,"203,351",-18.85,-,-,"35,243",-4.82,"13,162",13.77,"63,300",-1.10,"108,171",--
1998M12,"193,996",-21.14,"31,601",-25.32,"2,163",-53.99,"88,019",16.73,"17,411",-21.57,"26,971",7.64,3,-57.14,"22,194",-23.36,887,"2,297.30",74,-26.73,"49,528",12.92,"432,847",-11.42,"205,034",-22.49,-,-,"37,656",-0.32,"15,299",56.51,"65,249",7.19,"109,609",--
