期間,櫃買市場證券-總成交值 (十億元)_原始值,櫃買市場證券-總成交值 (十億元)_年增率(%),上市證券信用交易-總成交值(十億元)_原始值,上市證券信用交易-總成交值(十億元)_年增率(%),上櫃證券信用交易-總成交值(十億元)_原始值,上櫃證券信用交易-總成交值(十億元)_年增率(%),證券服務事業-證券商總公司家數(家)_原始值,證券服務事業-證券商總公司家數(家)_年增率(%),證券服務事業-經紀商家數(家)_原始值,證券服務事業-經紀商家數(家)_年增率(%),期貨商-專營家數(家)_原始值,期貨商-專營家數(家)_年增率(%),期貨經理事業-專營家數(家)_原始值,期貨經理事業-專營家數(家)_年增率(%)
1993,"13,156.48",22.55,"9,200.28",55.49,...,...,272,-7.48,254,-8.30,...,...,...,...
1994,"15,973.48",21.41,"19,475.66",111.69,...,...,262,-3.68,245,-3.54,...,...,...,...
1995,"20,824.15",30.37,"10,301.17",-47.11,...,...,247,-5.73,232,-5.31,...,...,...,...
1996,"28,741.00",38.02,"13,134.66",27.51,...,...,229,-7.29,212,-8.62,...,...,...,...
1997,"42,682.87",48.51,"37,704.93",187.06,...,...,221,-3.49,199,-6.13,...,...,...,...
1998,"56,157.47",31.57,"29,761.91",-21.07,...,...,215,-2.71,188,-5.53,26,...,...,...
