期間,新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%)
2005M10,392,8.89,17,-37.04,-,--,6,50.00,8,0.00,2,100.00,4,33.33,5,0.00,2,-60.00,14,100.00,7,250.00,17,13.33,-,--,3,-40.00,33,13.79,9,80.00,10,25.00,66,10.00,86,8.86,26,18.18,26,-18.75,12,20.00,15,-11.76,15,36.36,9,125.00,536,90.75,20,11.11,-,--,43,207.14,15,150.00,16,166.67,12,140.00,14,133.33,10,66.67,22,57.14,9,800.00,11,22.22,-,--,5,150.00,35,20.69,16,-5.88,11,57.14,72,84.62,112,250.00,27,50.00,43,186.67,19,375.00,9,-40.00,6,200.00,9,-40.00
2005M11,353,-13.48,31,40.91,-,--,8,-38.46,10,0.00,1,0.00,2,--,4,0.00,8,60.00,15,-16.67,3,-75.00,10,-33.33,-,--,1,-75.00,25,-13.79,9,12.50,11,-8.33,68,3.03,75,-12.79,13,-38.10,19,-40.62,7,-58.82,13,8.33,15,50.00,5,-44.44,223,-18.32,10,-9.09,-,--,8,-11.11,9,28.57,1,-50.00,2,-33.33,-,--,4,-55.56,17,70.00,2,-33.33,4,-60.00,1,--,1,-80.00,24,-11.11,3,-57.14,8,-11.11,25,-21.88,46,-23.33,15,-25.00,12,-14.29,10,-33.33,7,0.00,5,66.67,9,50.00
2005M12,409,-5.32,25,-24.24,-,--,10,-16.67,10,150.00,4,0.00,3,0.00,9,200.00,3,-62.50,8,-50.00,2,-50.00,12,33.33,-,--,10,150.00,38,-2.56,6,-25.00,17,183.33,69,-12.66,101,5.21,17,-37.04,21,-32.26,8,60.00,15,-31.82,13,0.00,8,33.33,295,-1.99,12,100.00,1,--,15,0.00,8,-20.00,6,0.00,5,-28.57,-,--,6,20.00,10,11.11,1,-50.00,4,-55.56,-,--,3,-40.00,29,3.57,7,-12.50,5,-54.55,35,-2.78,54,3.85,20,-20.00,22,0.00,6,-45.45,26,100.00,6,0.00,14,27.27
2006M01,361,2.56,24,26.32,-,--,7,0.00,7,16.67,1,--,6,--,7,133.33,7,133.33,7,-66.67,8,700.00,15,66.67,-,--,8,0.00,26,-10.34,2,-77.78,9,12.50,56,1.82,84,10.53,19,-38.71,26,23.81,6,-25.00,19,26.67,12,-25.00,5,-16.67,241,-8.37,14,75.00,-,--,15,0.00,11,83.33,4,-42.86,9,350.00,7,133.33,2,-75.00,6,0.00,1,-75.00,2,0.00,-,--,3,50.00,23,-32.35,1,-80.00,2,-60.00,30,-25.00,47,-6.00,21,10.53,14,-6.67,7,-30.00,15,36.36,1,-83.33,6,20.00
2006M02,249,10.18,14,16.67,-,--,2,-75.00,6,50.00,-,--,1,0.00,6,100.00,1,-66.67,9,0.00,2,0.00,5,-44.44,-,--,-,--,16,-27.27,11,175.00,8,-20.00,45,15.38,57,23.91,23,35.29,18,38.46,7,40.00,6,-14.29,6,0.00,6,100.00,"2,569","1,775.18",89,"1,680.00",-,--,65,828.57,41,720.00,108,"5,300.00",104,--,68,"1,600.00",51,"5,000.00",53,"5,200.00",13,"1,200.00",25,733.33,4,--,20,"1,900.00",289,"1,505.56",35,600.00,28,833.33,354,"2,260.00",595,"1,883.33",59,637.50,24,118.18,103,"3,333.33",173,"5,666.67",23,360.00,245,"3,983.33"
2006M03,394,-5.97,25,-3.85,-,--,9,50.00,7,0.00,3,50.00,4,100.00,6,-14.29,5,-16.67,13,-13.33,6,50.00,19,72.73,1,--,7,16.67,36,24.14,4,-63.64,14,40.00,60,-20.00,89,-11.88,22,-18.52,23,-17.86,9,-25.00,12,-14.29,13,8.33,7,-12.50,390,-1.76,17,-37.04,-,--,23,76.92,12,-40.00,9,-18.18,9,200.00,9,80.00,6,-25.00,13,-50.00,4,-20.00,8,-20.00,-,--,4,-33.33,36,28.57,5,-16.67,8,100.00,69,18.97,71,-4.05,19,-38.71,22,15.79,9,-43.75,14,366.67,6,-25.00,17,6.25
2006M04,364,6.74,19,-13.64,-,--,7,0.00,6,-14.29,1,0.00,3,0.00,11,120.00,6,200.00,5,-72.22,8,166.67,9,12.50,1,0.00,10,42.86,34,-5.56,9,125.00,7,-46.15,60,13.21,81,14.08,16,-20.00,34,21.43,15,87.50,8,-20.00,9,50.00,5,-37.50,244,14.02,6,0.00,-,--,11,-42.11,8,60.00,4,-20.00,3,50.00,2,-50.00,3,0.00,9,12.50,1,0.00,5,-28.57,-,--,2,0.00,25,31.58,2,-50.00,8,166.67,30,7.14,50,8.70,18,20.00,23,35.29,18,157.14,4,--,3,-57.14,9,80.00
2006M05,396,13.79,27,35.00,-,--,9,12.50,9,50.00,5,150.00,4,33.33,13,"1,200.00",4,-20.00,9,-18.18,5,0.00,12,20.00,-,--,4,-20.00,35,9.38,3,-66.67,6,-57.14,75,78.57,95,28.38,23,4.55,23,-8.00,9,-55.00,14,-26.32,7,-22.22,5,0.00,338,30.00,14,7.69,-,--,11,0.00,18,63.64,3,-40.00,7,133.33,8,700.00,9,125.00,9,12.50,4,0.00,8,14.29,-,--,4,33.33,36,33.33,10,100.00,6,0.00,45,66.67,62,67.57,26,0.00,24,-7.69,12,33.33,11,-15.38,4,-42.86,7,0.00
2006M06,400,10.19,24,14.29,-,--,12,50.00,12,140.00,2,--,5,66.67,7,0.00,5,400.00,8,-11.11,6,200.00,15,87.50,3,--,6,100.00,23,-23.33,6,0.00,11,57.14,62,0.00,83,12.16,28,12.00,38,-2.56,13,62.50,17,-22.73,9,-50.00,5,0.00,297,-2.94,17,-19.05,-,--,14,0.00,11,450.00,3,-25.00,4,0.00,2,-71.43,3,-62.50,14,-26.32,3,-25.00,6,200.00,-,--,2,-33.33,30,57.89,5,-37.50,6,-40.00,47,38.24,53,10.42,22,-8.33,17,-34.62,12,-14.29,8,-42.86,6,-33.33,12,0.00
2006M07,368,1.94,22,-15.38,-,--,6,0.00,3,-66.67,1,-50.00,2,--,6,50.00,2,-75.00,11,0.00,7,16.67,7,-22.22,1,--,2,-33.33,25,-32.43,7,16.67,9,-18.18,57,-8.06,95,13.10,25,31.58,35,59.09,14,75.00,11,-21.43,11,10.00,9,125.00,308,0.00,8,-60.00,-,--,7,-46.15,7,-65.00,4,33.33,4,-50.00,2,-33.33,3,0.00,14,0.00,3,0.00,5,-37.50,1,0.00,4,33.33,35,66.67,5,-61.54,5,-28.57,41,17.14,64,6.67,28,55.56,21,0.00,14,75.00,15,200.00,6,50.00,12,-29.41
2006M08,401,-6.09,21,-30.00,-,--,9,12.50,8,-11.11,1,-50.00,2,-33.33,7,16.67,4,0.00,6,-53.85,3,-40.00,16,-15.79,1,-50.00,5,25.00,32,-13.51,8,60.00,10,-28.57,81,14.08,101,2.02,24,4.35,23,-17.86,10,66.67,12,-40.00,10,-9.09,7,-12.50,"1,001",99.01,43,43.33,-,--,26,44.44,32,60.00,33,725.00,40,263.64,36,200.00,13,62.50,29,141.67,7,40.00,11,22.22,1,0.00,10,100.00,91,78.43,22,29.41,17,112.50,152,126.87,215,141.57,40,42.86,38,35.71,47,95.83,41,156.25,19,-5.00,38,90.00
2006M09,394,0.25,19,-9.52,-,--,5,-44.44,5,-50.00,2,0.00,4,-42.86,4,-20.00,5,150.00,17,6.25,10,233.33,9,80.00,1,--,1,0.00,30,0.00,10,66.67,20,66.67,61,-21.79,93,2.20,22,4.76,20,-37.50,12,-7.69,18,38.46,12,9.09,14,180.00,236,-49.79,5,-79.17,-,--,12,-36.84,4,-75.00,4,-42.86,2,-50.00,3,-76.92,1,-90.00,12,-50.00,2,-50.00,5,-54.55,2,100.00,1,-85.71,24,-41.46,6,-60.00,7,-46.15,32,-34.69,45,-50.55,22,-24.14,16,-56.76,4,-73.33,13,-13.33,6,-50.00,8,-38.46
2006M10,301,-23.21,15,-11.76,-,--,7,16.67,5,-37.50,3,50.00,4,0.00,4,-20.00,2,0.00,7,-50.00,9,28.57,5,-70.59,1,--,3,0.00,19,-42.42,5,-44.44,12,20.00,55,-16.67,70,-18.60,19,-26.92,25,-3.85,7,-41.67,9,-40.00,8,-46.67,7,-22.22,509,-5.04,13,-35.00,-,--,18,-58.14,16,6.67,5,-68.75,7,-41.67,2,-85.71,7,-30.00,24,9.09,2,-77.78,10,-9.09,2,--,7,40.00,40,14.29,10,-37.50,8,-27.27,56,-22.22,95,-15.18,80,196.30,45,4.65,24,26.32,11,22.22,8,33.33,19,111.11
