期間,合計_原始值,合計_年增率(%),隔夜_原始值,隔夜_年增率(%),1週_原始值,1週_年增率(%),2週_原始值,2週_年增率(%),3週_原始值,3週_年增率(%),1個月_原始值,1個月_年增率(%),2-6個月_原始值,2-6個月_年增率(%),7個月-1年_原始值,7個月-1年_年增率(%)
2005M09,"300,768",98.59,"11,660",-79.46,"133,368",265.99,"91,224",195.51,"32,351",77.27,"16,285",137.74,"15,880",596.49,-,-
2005M10,"330,517",104.83,"65,856",77.65,"108,861",121.87,"86,355",85.19,"21,715",61.33,"11,600",-10.11,"36,130","1,520.18",-,-
2005M11,"357,449",121.72,"67,678",60.01,"104,213",113.84,"108,689",140.68,"31,371",243.23,"25,473",101.21,"20,025",519.97,-,-
2005M12,"308,784",90.56,"50,702",-29.88,"139,205",330.38,"66,390",141.33,"21,173",128.65,"13,871",-14.22,"17,443",291.98,-,-
2006M01,"366,463",95.86,"26,410",-56.56,-,-,"155,635",441.62,"121,727",809.09,"40,270",82.25,"22,421",104.57,-,-
2006M02,"364,744",103.18,"76,325",72.59,"77,345",42.77,"132,224",182.25,"52,985","1,078.49","15,115",-26.69,"10,750",17.36,-,-
2006M03,"313,249",45.16,"29,817",-18.31,"92,415",57.29,"109,129",78.91,"61,608",167.08,"11,430",-36.00,"8,850",-52.46,-,-
2006M04,"360,805",60.69,"79,352",90.43,"93,650",127.44,"129,433",68.06,"31,695",23.91,"5,360",-65.42,"20,900",-11.44,415,-
2006M05,"361,986",69.32,"39,667",-11.86,"111,603",68.07,"157,719",158.77,"25,997",51.37,"3,800",-62.56,"22,160",57.05,"1,040",-
2006M06,"345,432",55.04,"44,866",-23.07,"132,018",146.31,"99,501",60.33,"47,790",39.66,"9,127",12.82,"10,790",65.49,"1,340",-
2006M07,"278,505",4.32,"35,314",-23.41,"87,364",39.46,"103,398",40.09,"27,239",0.92,"7,150",-62.73,"16,400",-57.10,"1,640",-
2006M08,"270,282",-10.05,"26,237",214.74,"112,469",-7.48,"98,376",6.34,"21,610",-28.07,"2,700",-87.08,"7,150",-72.62,"1,740",-
2006M09,"322,237",7.14,"54,978",371.51,"145,214",8.88,"90,345",-0.96,"19,550",-39.57,"3,770",-76.85,"6,440",-59.45,"1,940",-
2006M10,"315,742",-4.47,"68,915",4.64,"96,264",-11.57,"95,198",10.24,"45,360",108.89,"3,400",-70.69,"4,790",-86.74,"1,815",-
2006M11,"234,531",-34.39,"34,855",-48.50,"98,135",-5.83,"58,300",-46.36,"22,250",-29.07,"1,000",-96.07,"14,391",-28.13,"5,600",-
2006M12,"256,391",-16.97,"33,679",-33.57,"90,679",-34.86,"83,177",25.29,"29,855",41.01,"1,610",-88.39,"11,391",-34.70,"6,000",-
2007M01,"239,134",-34.75,"33,799",27.98,"107,024",-,"58,800",-62.22,"21,050",-82.71,"1,700",-95.78,"11,046",-50.73,"5,715",-
2007M02,"249,206",-31.68,"50,625",-33.67,"62,946",-18.62,"46,720",-64.67,"62,564",18.08,"13,986",-7.47,"6,435",-40.14,"5,930",-
2007M03,"232,319",-25.84,"20,697",-30.59,"93,373",1.04,"73,124",-32.99,"17,750",-71.19,"5,400",-52.76,"16,230",83.39,"5,745",-
2007M04,"282,497",-21.70,"52,543",-33.78,"83,167",-11.19,"89,072",-31.18,"15,190",-52.07,"12,300",129.48,"23,735",13.56,"6,490","1,463.86"
2007M05,"238,081",-34.23,"44,346",11.80,"116,050",3.98,"28,450",-81.96,"15,050",-42.11,"7,010",84.47,"24,785",11.85,"2,390",129.81
2007M06,"160,929",-53.41,"48,853",8.89,"65,077",-50.71,"31,724",-68.12,"3,500",-92.68,"1,350",-85.21,"8,735",-19.05,"1,690",26.12
2007M07,"164,447",-40.95,"34,318",-2.82,"82,129",-5.99,"41,155",-60.20,590,-97.83,"1,100",-84.62,"3,480",-78.78,"1,675",2.13
2007M08,"212,940",-21.22,"54,719",108.56,"91,796",-18.38,"59,745",-39.27,100,-99.54,-,-,"5,220",-26.99,"1,360",-21.84
2007M09,"172,791",-46.38,"52,133",-5.17,"80,053",-44.87,"25,030",-72.30,"2,550",-86.96,"6,100",61.80,"5,580",-13.35,"1,345",-30.67
2007M10,"159,678",-49.43,"32,317",-53.11,"72,221",-24.98,"38,660",-59.39,400,-99.12,-,-,"15,780",229.44,300,-83.47
2007M11,"223,765",-4.59,"40,910",17.37,"100,967",2.89,"64,395",10.45,"5,000",-77.53,"5,550",455.00,"6,940",-51.78,3,-99.95
2007M12,"200,663",-21.74,"32,250",-4.24,"66,580",-26.58,"89,320",7.39,"5,950",-80.07,250,-84.47,"6,310",-44.61,3,-99.95
2008M01,"191,617",-19.87,"39,930",18.14,"38,470",-64.05,"45,809",-22.09,"45,370",115.53,"16,580",875.29,"5,455",-50.62,3,-99.95
2008M02,"242,164",-2.83,"39,669",-21.64,"85,058",35.13,"92,814",98.66,"9,370",-85.02,"6,970",-50.16,"8,280",28.67,3,-99.95
2008M03,"154,304",-33.58,"20,530",-0.81,"50,359",-46.07,"65,817",-9.99,"11,615",-34.56,-,-,"5,980",-63.15,3,-99.95
2008M04,"137,981",-51.16,"46,775",-10.98,"21,027",-74.72,"54,276",-39.07,"7,400",-51.28,-,-,"8,500",-64.19,3,-99.95
2008M05,"209,006",-12.21,"34,575",-22.03,"63,466",-45.31,"92,180",224.01,"10,500",-30.23,"2,050",-70.76,"6,235",-74.84,-,-
2008M06,"145,198",-9.78,"18,425",-62.28,"35,143",-46.00,"55,570",75.17,"25,810",637.43,"4,500",233.33,"5,750",-34.17,-,-
2008M07,"160,433",-2.44,"25,485",-25.74,"39,886",-51.43,"69,200",68.14,"20,207","3,324.92","2,300",109.09,"3,355",-3.59,-,-
2008M08,"215,438",1.17,"21,421",-60.85,"70,707",-22.97,"86,270",44.40,"29,285","29,185.00","3,100",-,"4,655",-10.82,-,-
2008M09,"215,126",24.50,"50,647",-2.85,"71,401",-10.81,"58,015",131.78,"19,708",672.86,"7,890",29.34,"7,465",33.78,-,-
2008M10,"103,508",-35.18,"13,118",-59.41,"55,975",-22.49,"26,930",-30.34,"1,200",200.00,300,-,"5,985",-62.07,-,-
2008M11,"134,226",-40.01,"25,332",-38.08,"78,505",-22.25,"24,155",-62.49,"2,270",-54.60,-,-,"3,964",-42.88,-,-
2008M12,"160,613",-19.96,"35,911",11.35,"49,500",-25.65,"69,340",-22.37,"2,800",-52.94,-,-,"3,062",-51.47,-,-
2009M01,"224,773",17.30,"74,549",86.70,-,-,"106,995",133.57,"33,650",-25.83,"5,000",-69.84,"3,979",-27.06,600,"19,900.00"
2009M02,"285,732",17.99,"83,744",111.11,"125,238",47.24,"41,990",-54.76,"18,240",94.66,"5,220",-25.11,"10,700",29.23,600,"19,900.00"
2009M03,"188,979",22.47,"42,506",107.04,"49,400",-1.90,"58,725",-10.78,"8,800",-24.24,"4,550",-,"24,398",307.99,600,"19,900.00"
2009M04,"237,583",72.19,"42,674",-8.77,"79,076",276.07,"61,371",13.07,"19,020",157.03,"4,650",-,"30,192",255.20,600,"19,900.00"
2009M05,"431,312",106.36,"61,964",79.22,"106,136",67.23,"174,150",88.92,"48,100",358.10,"7,885",284.63,"32,477",420.88,600,-
2009M06,"337,336",132.33,"67,380",265.70,"137,419",291.03,"107,785",93.96,"12,585",-51.24,640,-85.78,"10,877",89.17,650,-
2009M07,"303,592",89.23,"68,606",169.20,"141,152",253.89,"64,114",-7.35,"8,065",-60.09,"9,400",308.70,"11,705",248.88,550,-
2009M08,"276,354",28.28,"86,106",301.97,"97,874",38.42,"50,320",-41.67,"16,550",-43.49,"11,351",266.16,"13,603",192.22,550,-
2009M09,"313,393",45.68,"99,089",95.65,"143,816",101.42,"48,495",-16.41,"2,990",-84.83,"10,500",33.08,"7,953",6.54,550,-
2009M10,"325,357",214.33,"77,282",489.13,"167,447",199.15,"54,660",102.97,"8,100",575.00,"11,365","3,688.33","6,453",7.82,50,-
2009M11,"280,144",108.71,"83,509",229.66,"118,546",51.00,"57,405",137.65,"9,030",297.80,"4,400",-,"7,204",81.74,50,-
2009M12,"197,965",23.26,"30,151",-16.04,"110,990",124.22,"34,740",-49.90,"6,090",117.50,"1,500",-,"14,494",373.35,-,-
