期間,合計_原始值,合計_年增率(%),亞洲_原始值,亞洲_年增率(%),美洲_原始值,美洲_年增率(%),歐洲_原始值,歐洲_年增率(%),大洋洲_原始值,大洋洲_年增率(%),非洲_原始值,非洲_年增率(%),未列明_原始值,未列明_年增率(%)
2011M01,"690,743",-5.59,"628,836",-2.78,"42,462",-22.23,"8,804",-53.28,"10,332",-1.10,136,-83.43,173,108.43
2011M02,"804,856",-3.95,"746,318",-1.12,"31,627",-39.13,"18,617",-4.17,"8,061",-29.64,2,100.00,231,-24.26
2011M03,"667,160",-7.06,"606,326",-6.90,"32,614",-21.84,"21,929",23.45,"5,729",-16.52,-,--,562,163.85
2011M04,"752,558",1.16,"690,567",1.09,"33,641",-10.99,"20,814",33.95,"7,390",0.04,-,--,146,14.96
2011M05,"809,015",5.44,"736,192",4.46,"41,596",5.45,"23,542",44.10,"6,729",5.24,45,--,911,167.94
2011M06,"890,332",10.33,"804,014",9.26,"49,296",11.86,"26,447",35.81,"9,567",29.14,-,--,"1,008",469.49
2011M07,"1,026,829",3.97,"933,756",3.44,"53,351",-1.36,"26,865",53.50,"12,056",-1.40,1,0.00,800,-23.52
2011M08,"911,458",3.16,"825,270",1.95,"51,321",3.26,"23,825",47.78,"10,385",34.98,44,-84.62,613,130.45
2011M09,"823,272",5.15,"745,564",2.58,"40,683",8.79,"27,469",155.60,"8,739",15.20,-,--,817,102.73
2011M10,"844,814",6.25,"778,938",4.36,"37,091",15.61,"19,162",100.15,"8,766",26.06,2,--,855,515.11
2011M11,"706,108",3.39,"655,117",2.02,"31,113",7.78,"11,792",87.38,"7,270",32.33,1,--,815,388.02
2011M12,"656,728",-3.03,"611,316",-4.25,"28,464",2.37,"9,796",104.89,"6,590",11.05,7,--,555,119.37
2012M01,"901,293",30.48,"805,418",28.08,"65,163",53.46,"20,476",132.58,"8,989",-13.00,215,58.09,"1,032",496.53
2012M02,"772,495",-4.02,"711,348",-4.69,"35,539",12.37,"16,617",-10.74,"8,120",0.73,123,"6,050.00",748,223.81
2012M03,"723,643",8.47,"659,089",8.70,"37,076",13.68,"21,458",-2.15,"5,751",0.38,6,--,263,-53.20
2012M04,"851,486",13.15,"782,368",13.29,"42,379",25.97,"19,899",-4.40,"6,326",-14.40,342,--,172,17.81
2012M05,"849,354",4.99,"774,744",5.24,"44,586",7.19,"22,922",-2.63,"5,752",-14.52,"1,138","2,428.89",212,-76.73
2012M06,"908,600",2.05,"817,506",1.68,"54,875",11.32,"27,534",4.11,"8,555",-10.58,-,--,130,--
2012M07,"1,041,365",1.42,"941,943",0.88,"60,592",13.57,"27,807",3.51,"10,824",-10.22,-,--,199,--
2012M08,"933,988",2.47,"842,583",2.10,"57,535",12.11,"25,371",6.49,"8,342",-19.67,1,-97.73,156,-74.55
2012M09,"818,593",-0.57,"744,064",-0.20,"43,090",5.92,"25,303",-7.89,"5,968",-31.71,1,--,167,-79.56
2012M10,"912,063",7.96,"843,869",8.34,"40,420",8.98,"21,317",11.25,"6,349",-27.57,-,--,108,--
2012M11,"773,440",9.54,"731,147",11.61,"28,255",-9.19,"6,807",-42.27,"7,102",-2.31,-,--,129,--
2012M12,"753,440",14.73,"713,518",16.72,"27,504",-3.37,"5,249",-46.42,"7,088",7.56,-,--,81,--
2013M01,"753,483",-16.40,"704,042",-12.59,"35,115",-46.11,"5,519",-73.05,"8,764",-2.50,3,-98.60,40,-96.12
2013M02,"966,575",25.12,"914,067",28.50,"34,882",-1.85,"7,905",-52.43,"9,696",19.41,1,-99.19,24,-96.79
2013M03,"814,558",12.56,"770,918",16.97,"28,489",-23.16,"7,939",-63.00,"7,182",24.88,-,--,30,--
2013M04,"897,886",5.45,"850,233",8.67,"32,382",-23.59,"8,884",-55.35,"6,321",-0.08,-,--,66,--
2013M05,"853,288",0.46,"799,738",3.23,"36,163",-18.89,"10,851",-52.66,"6,518",13.32,-,--,18,--
2013M06,"1,002,864",10.37,"934,271",14.28,"46,373",-15.49,"13,684",-50.30,"8,528",-0.32,-,--,8,--
2013M07,"1,089,257",4.60,"1,017,208",7.99,"49,785",-17.84,"12,342",-55.62,"9,914",-8.41,-,--,8,--
2013M08,"1,022,387",9.46,"955,905",13.45,"46,789",-18.68,"11,303",-55.45,"8,369",0.32,8,700.00,13,-91.67
2013M09,"977,616",19.43,"914,652",22.93,"39,462",-8.42,"15,228",-39.82,"8,241",38.09,-,--,33,--
2013M10,"1,007,052",10.41,"952,631",12.89,"33,619",-16.83,"12,034",-43.55,"8,706",37.12,-,--,62,--
2013M11,"862,989",11.58,"815,172",11.49,"32,246",14.12,"8,089",18.83,"7,412",4.36,-,--,70,--
2013M12,"804,953",6.84,"760,100",6.53,"31,290",13.77,"6,022",14.73,"7,469",5.38,2,--,70,-13.58
2014M01,"854,554",13.41,"791,492",12.42,"43,393",23.57,"8,458",53.25,"11,086",26.49,-,--,125,212.50
2014M02,"957,463",-0.94,"906,483",-0.83,"31,186",-10.60,"8,002",1.23,"11,642",20.07,...,--,...,--
2014M03,"873,540",7.24,"820,385",6.42,"32,740",14.92,"9,160",15.38,"9,544",32.89,...,--,...,--
2014M04,"985,216",9.73,"930,624",9.46,"36,224",11.86,"9,399",5.80,"8,906",40.90,4,--,59,--
2014M05,"1,047,248",22.73,"982,395",22.84,"42,502",17.53,"12,587",16.00,"9,552",46.55,1,--,211,"1,072.22"
