期間,臺灣加權指數_原始值,臺灣加權指數_年增率(%),店頭市場股價指數_原始值,店頭市場股價指數_年增率(%)
1993,"6,070.56",79.76,...,...
1994,"7,124.66",17.36,...,...
1995,"5,173.73",-27.38,101.96,...
1996,"6,933.94",34.02,233.09,128.61
1997,"8,187.27",18.08,245.05,5.13
1998,"6,418.43",-21.60,165.80,-32.34
