期間,資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款_原始值,資產--放款_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-人壽保險公司等_原始值,資產--對金融機構債權-人壽保險公司等_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--郵政儲金-劃撥_原始值,負債與淨值--郵政儲金-劃撥_年增率(%),負債與淨值--郵政儲金-存簿_原始值,負債與淨值--郵政儲金-存簿_年增率(%),負債與淨值--郵政儲金-定期_原始值,負債與淨值--郵政儲金-定期_年增率(%),負債與淨值--對金融機構負債-中央銀行_原始值,負債與淨值--對金融機構負債-中央銀行_年增率(%),負債與淨值--對金融機構負債-其他貨幣機構_原始值,負債與淨值--對金融機構負債-其他貨幣機構_年增率(%),負債與淨值--對金融機構負債-人壽保險公司等_原始值,負債與淨值--對金融機構負債-人壽保險公司等_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
2001M05,"3,212,942",10.40,1,0.00,"8,108",125.60,"141,453",30.91,"1,358",23.12,"135,971",291.33,"33,479",112.42,"1,208,162",3.59,"1,586,090",8.98,"4,915",-2.33,"11,734",-1.23,"81,671",-24.60,388,6.59,"21,993",-27.40,"876,699",6.89,"2,072,367",16.38,0,--,"7,000",-75.37,0,--,"225,273",5.92,"9,222",-75.50
2001M06,"3,215,811",10.03,1,0.00,"15,247",328.17,"141,563",25.08,"2,756",111.84,"128,425",288.41,"28,852",89.13,"1,191,144",2.03,"1,597,318",9.93,"4,883",-2.65,"16,828",-9.19,"88,794",-20.94,526,19.27,"26,238",-16.61,"901,026",7.79,"2,079,436",15.46,0,--,600,-95.73,0,--,"196,283",-2.13,"11,702",-70.11
2001M07,"3,238,004",7.16,1,0.00,"7,830",113.41,"142,887",23.32,"1,227",25.59,"144,725",105.81,"26,891",37.37,"1,203,853",2.55,"1,598,270",8.96,"5,111",1.49,"12,425",5.78,"94,784",-38.31,431,-15.82,"26,684",-4.73,"920,763",8.10,"2,089,534",14.45,0,--,"8,200",-73.78,0,--,"180,682",-26.11,"11,710",-70.53
2001M08,"3,268,969",9.23,1,0.00,"3,231",-2.24,"145,465",23.84,709,7.59,"152,399",136.66,"28,337",49.84,"1,215,203",2.60,"1,604,715",9.96,"5,319",4.07,"15,341",30.35,"98,249",-22.97,508,-8.30,"28,598",-8.70,"926,778",10.69,"2,098,756",13.61,0,--,"3,500",-87.83,0,--,"197,019",-4.99,"13,810",-65.72
2001M09,"3,283,286",8.16,1,0.00,"6,269",79.73,"144,825",19.90,"6,046",696.57,"154,796",69.17,"35,120",79.23,"1,210,693",2.61,"1,602,553",9.15,"5,334",5.85,"17,782",28.01,"99,867",-24.67,388,-46.11,"27,841",1.98,"929,784",11.51,"2,102,997",12.39,0,-100.00,"8,400",-79.42,0,--,"202,408",3.15,"11,468",-71.76
2001M10,"3,280,729",8.48,118,"11,700.00","8,679",65.63,"147,634",23.02,"1,058",-4.43,"160,172",54.43,"33,562",69.71,"1,230,448",6.49,"1,588,738",8.37,"11,397",123.43,"11,550",-3.59,"87,373",-35.68,350,-52.05,"23,180",-7.64,"937,636",14.31,"2,090,314",10.65,0,--,0,-100.00,0,--,"216,693",2.01,"12,556",-69.58
2001M11,"3,266,452",7.36,210,"20,900.00","4,328",0.23,"151,417",22.50,"10,731","1,020.15","174,527",58.58,"29,061",36.59,"1,218,638",5.77,"1,569,054",6.53,"11,252",122.86,"15,133",27.32,"82,101",-41.51,326,-58.84,"22,571",-9.36,"957,268",15.96,"2,069,273",7.83,0,--,"11,800",-76.47,0,--,"188,588",4.69,"16,626",-60.53
2001M12,"3,237,025",4.30,261,"26,000.00","4,909",6.67,"150,660",38.65,"5,870",705.21,"166,250",6.89,"22,684",-27.19,"1,234,969",10.00,"1,548,044",0.85,"11,355",122.60,"15,379",-10.99,"76,644",-37.57,309,-58.30,"28,312",-2.81,"968,923",15.05,"2,043,991",4.37,0,--,"5,400",-83.23,0,--,"170,522",-27.10,"19,568",182.04
2002M01,"3,257,952",3.39,244,"1,120.00","13,466",25.92,"151,065",47.44,"7,348",636.27,"181,822",23.73,"19,443",-37.99,"1,256,721",8.96,"1,532,949",-2.16,"10,343",103.88,"12,672",-9.63,"71,879",-39.83,289,-48.85,"27,803",-5.54,"1,030,413",10.97,"2,024,080",1.56,0,--,0,-100.00,0,--,"152,844",-19.22,"22,523",162.26
2002M02,"3,260,334",2.98,231,437.21,"4,164",-43.39,"160,791",33.98,"5,170",232.05,"188,298",34.48,"17,401",-43.91,"1,240,417",4.37,"1,534,541",-1.51,"9,349",83.78,"15,491",-1.01,"84,481",-14.41,272,-49.06,"31,443",-8.46,"1,084,800",18.74,"2,015,552",-0.70,0,--,0,-100.00,0,--,"104,605",-39.51,"23,662",153.12
2002M03,"3,255,726",2.71,122,84.85,"3,107",-68.75,"172,665",32.53,"1,976",-7.45,"169,374",26.26,"17,897",-38.35,"1,273,471",7.50,"1,531,239",-2.94,"8,959",78.89,"15,262",-0.93,"61,654",-24.26,252,-50.20,"26,209",-1.61,"1,084,244",19.61,"2,002,606",-2.62,0,--,"4,950",76.79,0,--,"112,999",-32.54,"24,466",165.19
2002M04,"3,279,872",2.74,113,25.56,"4,041",-37.34,"176,096",34.12,659,-73.70,"179,828",31.72,"16,987",-51.31,"1,281,705",6.07,"1,539,898",-2.30,"8,921",78.78,"14,590",-2.77,"57,034",-25.21,228,-51.59,"26,410",-17.75,"1,075,543",21.14,"1,994,255",-3.51,0,--,"2,290",-2.55,0,--,"155,976",-19.45,"25,170",170.79
2002M05,"3,285,282",2.25,89,"8,800.00","7,555",-6.82,"175,894",24.35,659,-51.47,"180,916",33.05,"15,252",-54.44,"1,280,961",6.03,"1,541,138",-2.83,"9,292",89.05,"15,159",29.19,"58,367",-28.53,204,-47.42,"22,810",3.71,"1,065,531",21.54,"1,983,519",-4.29,0,--,"7,845",12.07,0,--,"179,988",-20.10,"25,385",175.27
2002M06,"3,318,931",3.21,58,"5,700.00","3,607",-76.34,"174,238",23.08,"22,258",707.62,"168,654",31.32,"13,913",-51.78,"1,305,694",9.62,"1,548,516",-3.06,"9,558",95.74,"16,725",-0.61,"55,710",-37.26,184,-65.02,"28,039",6.86,"1,068,152",18.55,"1,977,102",-4.92,0,--,"12,945","2,057.50",0,--,"209,635",6.80,"22,874",95.47
2002M07,"3,370,149",4.08,1,0.00,"2,498",-68.10,"135,193",-5.38,"26,655","2,072.37","172,916",19.48,"14,222",-47.11,"1,357,056",12.73,"1,543,537",-3.42,"8,792",72.02,"11,766",-5.30,"97,513",2.88,429,-0.46,"25,099",-5.94,"1,091,914",18.59,"1,961,066",-6.15,0,--,"23,115",181.89,0,--,"243,401",34.71,"25,125",114.56
2002M08,"3,343,806",2.29,1,0.00,"4,376",35.44,"176,058",21.03,"21,198","2,889.84","168,807",10.77,"14,504",-48.82,"1,344,322",10.63,"1,530,478",-4.63,"8,688",63.34,"15,848",3.30,"59,526",-39.41,486,-4.33,"29,491",3.12,"1,088,933",17.50,"1,950,030",-7.09,0,--,"10,795",208.43,0,--,"239,175",21.40,"24,896",80.28
2002M09,"3,331,358",1.46,1,0.00,"2,153",-65.66,"181,258",25.16,"21,277",251.92,"167,125",7.96,"14,784",-57.90,"1,328,333",9.72,"1,537,909",-4.03,"8,381",57.12,"13,199",-25.77,"56,938",-42.99,487,25.52,"29,762",6.90,"1,078,125",15.95,"1,944,814",-7.52,-,-,"45,500",441.67,-,-,"207,963",2.74,"24,707",115.44
2002M10,"3,279,672",-0.03,-,-,"2,843",-67.24,"182,827",23.84,"21,353","1,918.24","166,532",3.97,"14,342",-57.27,"1,340,144",8.92,"1,477,713",-6.99,"8,238",-27.72,"12,178",5.44,"53,502",-38.77,575,64.29,"25,072",8.16,"1,077,201",14.88,"1,941,696",-7.11,-,-,"29,650",--,-,-,"181,446",-16.27,"24,032",91.40
2002M11,"3,236,753",-0.91,-,-,"2,919",-32.56,"179,734",18.70,"24,907",132.10,"163,707",-6.20,"14,053",-51.64,"1,332,057",9.31,"1,441,749",-8.11,"8,223",-26.92,"15,296",1.08,"54,108",-34.10,608,86.50,"26,416",17.04,"1,085,568",13.40,"1,938,819",-6.30,-,-,"3,600",-69.49,-,-,"154,706",-17.97,"27,036",62.61
2002M12,"3,253,641",0.51,1,-99.62,"4,316",-12.08,"193,910",28.71,"23,450",299.49,"170,151",2.35,"8,024",-64.63,"1,355,416",9.75,"1,450,682",-6.29,"7,773",-31.55,"15,418",0.25,"24,500",-68.03,216,-30.10,"28,478",0.59,"1,082,739",11.75,"1,950,295",-4.58,-,-,"2,500",-53.70,-,-,"173,387",1.68,"16,026",-18.10
2003M01,"3,284,843",0.83,1,-99.59,"5,241",-61.08,"189,087",25.17,"25,660",249.21,"176,393",-2.99,"6,324",-67.47,"1,366,063",8.70,"1,450,219",-5.40,"7,596",-26.56,"32,328",155.11,"25,931",-63.92,227,-21.45,"27,647",-0.56,"1,185,979",15.10,"1,948,504",-3.73,-,-,"1,140",--,-,-,"79,793",-47.79,"41,553",84.49
2003M02,"3,372,703",3.45,1,-99.57,"3,651",-12.32,"193,937",20.61,"23,924",362.75,"177,041",-5.98,"7,023",-59.64,"1,420,726",14.54,"1,432,565",-6.65,"7,244",-22.52,"18,130",17.04,"88,461",4.71,240,-11.76,"31,306",-0.44,"1,182,344",8.99,"1,946,616",-3.42,-,-,"9,740",--,-,-,"160,335",53.28,"42,122",78.02
2003M03,"3,294,722",1.20,5,-95.90,"2,789",-10.23,"210,470",21.89,"21,610",993.62,"176,017",3.92,"7,580",-57.65,"1,417,505",11.31,"1,425,936",-6.88,"6,886",-23.14,"12,763",-16.37,"13,161",-78.65,217,-13.89,"29,127",11.13,"1,165,410",7.49,"1,940,569",-3.10,-,-,"1,400",-71.72,-,-,"115,849",2.52,"42,150",72.28
2003M04,"3,299,665",0.60,27,-76.11,"2,975",-26.38,"212,544",20.70,"20,925","3,075.27","182,576",1.53,"7,573",-55.42,"1,419,314",10.74,"1,422,011",-7.66,"6,830",-23.44,"14,003",-4.02,"10,887",-80.91,306,34.21,"27,006",2.26,"1,163,275",8.16,"1,935,724",-2.93,-,-,"11,900",419.65,-,-,"118,655",-23.93,"42,799",70.04
2003M05,"3,301,535",0.49,57,-35.96,"6,548",-13.33,"213,973",21.65,"20,926","3,075.42","182,373",0.81,"6,884",-54.86,"1,420,772",10.91,"1,415,531",-8.15,"7,126",-23.31,"15,092",-0.44,"12,253",-79.01,326,59.80,"25,987",13.93,"1,164,943",9.33,"1,931,425",-2.63,-,-,"23,500",199.55,-,-,"111,312",-38.16,"44,042",73.50
2003M06,"3,306,908",-0.36,1,-98.28,"7,625",111.39,"212,535",21.98,"20,600",-7.45,"153,754",-8.83,"5,778",-58.47,"1,423,125",8.99,"1,427,370",-7.82,"6,979",-26.98,"13,688",-18.16,"35,453",-36.36,314,70.65,"24,456",-12.78,"1,150,421",7.70,"1,927,866",-2.49,-,-,"11,695",-9.66,"1,836",--,"145,267",-30.70,"45,053",96.96
2003M07,"3,311,394",-1.74,-,-,"3,933",57.45,"218,624",61.71,"20,359",-23.62,"160,504",-7.18,"6,652",-53.23,"1,437,999",5.96,"1,408,587",-8.74,"6,677",-24.06,"12,060",2.50,"35,999",-63.08,459,6.99,"19,964",-20.46,"1,177,886",7.87,"1,923,659",-1.91,-,-,"18,947",-18.03,555,--,"122,783",-49.56,"47,141",87.63
2003M08,"3,326,758",-0.51,"2,338","233,700.00","1,557",-64.42,"230,424",30.88,"20,294",-4.26,"147,380",-12.69,"7,648",-47.27,"1,448,846",7.78,"1,407,696",-8.02,"6,524",-24.91,"15,399",-2.83,"38,652",-35.07,"1,414",190.95,"21,486",-27.14,"1,170,563",7.50,"1,921,166",-1.48,-,-,"15,983",48.06,"2,156",--,"145,338",-39.23,"48,652",95.42
2003M09,"3,338,946",0.23,"2,682","268,100.00","3,531",64.00,"237,159",30.84,"20,382",-4.21,"139,026",-16.81,"7,302",-50.61,"1,462,468",10.10,"1,405,639",-8.60,"6,471",-22.79,"12,728",-3.57,"41,558",-27.01,"4,386",800.62,"20,600",-30.78,"1,165,940",8.15,"1,921,785",-1.18,-,-,"23,693",-47.93,968,-,"152,880",-26.49,"48,694",97.09
2003M10,"3,329,001",1.50,"3,193",-,"4,914",72.85,"235,442",28.78,"20,283",-5.01,"124,648",-25.15,"5,281",-63.18,"1,475,058",10.07,"1,395,516",-5.56,"6,548",-20.51,"14,846",21.91,"43,272",-19.12,"3,239",463.30,"17,524",-30.11,"1,160,966",7.78,"1,934,151",-0.39,-,-,"13,282",-55.20,832,-,"149,288",-17.72,"49,719",106.89
2003M11,"3,344,739",3.34,"3,193",-,"6,446",120.83,"227,800",26.74,"20,975",-15.79,"146,533",-10.49,"7,296",-48.08,"1,457,284",9.40,"1,412,648",-2.02,"6,607",-19.65,"15,256",-0.26,"40,701",-24.78,"2,632",332.89,"17,962",-32.00,"1,155,622",6.45,"1,936,968",-0.10,-,-,"11,696",224.89,"2,517",-,"166,124",7.38,"51,218",89.44
2003M12,"3,380,896",3.91,"3,169","316,800.00","9,040",109.45,"230,310",18.77,"20,485",-12.64,"126,494",-25.66,"7,387",-7.94,"1,482,802",9.40,"1,396,888",-3.71,"6,510",-16.25,"15,030",-2.52,"82,781",237.88,"5,807","2,588.43","19,724",-30.74,"1,155,302",6.70,"1,938,485",-0.61,-,-,"9,079",263.16,"1,151",-,"204,197",17.77,"47,151",194.22
2004M01,"3,436,745",4.62,"3,162","316,100.00","8,680",65.62,"228,512",20.85,"20,305",-20.87,"129,501",-26.58,"5,074",-19.77,"1,526,374",11.74,"1,409,683",-2.80,"6,462",-14.93,"19,019",-41.17,"79,973",208.41,"5,611","2,371.81","20,435",-26.09,"1,266,982",6.83,"1,948,215",-0.01,-,-,"19,977","1,652.37",947,-,"126,424",58.44,"48,154",15.89
2004M02,"3,475,402",3.05,"3,355","335,400.00","8,449",131.42,"231,794",19.52,"20,186",-15.62,"123,235",-30.39,"4,311",-38.62,"1,573,390",10.75,"1,411,402",-1.48,"6,168",-14.85,"15,868",-12.48,"77,244",-12.68,"4,489","1,770.42","20,293",-35.18,"1,244,020",5.22,"1,977,809",1.60,-,-,"16,993",74.47,"1,960",-,"160,392",0.04,"49,446",17.39
2004M03,"3,475,950",5.50,"3,165","63,200.00","15,520",456.47,"231,888",10.18,"20,160",-6.71,"136,209",-22.62,"4,197",-44.63,"1,581,972",11.60,"1,391,965",-2.38,"6,076",-11.76,"12,278",-3.80,"72,520",451.02,"2,693","1,141.01","19,068",-34.53,"1,228,796",5.44,"1,980,119",2.04,-,-,"50,710","3,522.14","1,033",-,"142,237",22.78,"51,294",21.69
2004M04,"3,461,481",4.90,"5,329","19,637.04","4,702",58.05,"232,630",9.45,"20,100",-3.94,"140,975",-22.79,"5,219",-31.08,"1,582,799",11.52,"1,371,844",-3.53,"5,976",-12.50,"14,492",3.49,"77,415",611.08,"1,193",289.87,"18,027",-33.25,"1,225,653",5.36,"1,984,587",2.52,-,-,"27,539",131.42,"1,019",-,"150,422",26.77,"53,041",23.93
2004M05,"3,479,160",5.38,"6,802","11,833.33","6,716",2.57,"233,078",8.93,"19,157",-8.45,"140,929",-22.72,"4,187",-39.18,"1,601,048",12.69,"1,369,466",-3.25,"5,968",-16.25,"12,942",-14.25,"78,867",543.65,"3,543",986.81,"19,991",-23.07,"1,205,195",3.46,"1,989,627",3.01,-,-,"29,842",26.99,"2,342",-,"175,020",57.23,"53,600",21.70
2004M06,"3,458,123",4.57,"9,707","970,600.00","8,800",15.41,"234,017",10.11,"16,970",-17.62,"141,206",-8.16,"4,136",-28.42,"1,577,976",10.88,"1,370,288",-4.00,"6,004",-13.97,"13,311",-2.75,"75,708",113.54,"4,436","1,312.74","20,389",-16.63,"1,204,114",4.67,"1,994,555",3.46,-,-,"9,600",-17.91,"1,097",-40.25,"177,144",21.94,"46,788",3.85
2004M07,"3,446,460",4.08,"12,104",-,"7,166",82.20,"235,089",7.53,"16,479",-19.06,"139,369",-13.17,"2,529",-61.98,"1,573,701",9.44,"1,361,719",-3.33,"5,673",-15.04,"14,856",23.18,"77,775",116.05,"5,729","1,148.15","19,209",-3.78,"1,248,624",6.01,"2,006,053",4.28,-,-,"9,477",-49.98,679,22.34,"108,003",-12.04,"48,686",3.28
2004M08,"3,457,361",3.93,"13,384",472.46,"2,307",48.17,"245,440",6.52,"15,298",-24.62,"137,562",-6.66,"2,511",-67.17,"1,597,485",10.26,"1,349,220",-4.15,"5,513",-15.50,"12,892",-16.28,"75,749",95.98,"2,579",82.39,"23,452",9.15,"1,232,476",5.29,"2,015,109",4.89,-,-,"16,888",5.66,"1,096",-49.17,"115,760",-20.35,"50,001",2.77
2004M09,"3,455,781",3.50,"13,599",407.05,"3,726",5.52,"246,431",3.91,"15,111",-25.86,"133,571",-3.92,"2,387",-67.31,"1,586,524",8.48,"1,352,108",-3.81,"5,487",-15.21,"13,403",5.30,"83,434",100.77,"7,864",79.30,"20,282",-1.54,"1,232,404",5.70,"2,025,614",5.40,-,-,"19,202",-18.95,"1,331",37.50,"98,402",-35.63,"50,682",4.08
