期間,總指數(不含食物)_原始值,總指數(不含食物)_年增率(%),總指數(不含蔬菜水果)_原始值,總指數(不含蔬菜水果)_年增率(%),總指數(不含蔬果及能源)【即核心物價】_原始值,總指數(不含蔬果及能源)【即核心物價】_年增率(%),總指數(不含食物及能源)_原始值,總指數(不含食物及能源)_年增率(%),總指數(不含蔬果水產及能源)_原始值,總指數(不含蔬果水產及能源)_年增率(%),總指數(不含設算租金)_原始值,總指數(不含設算租金)_年增率(%)
1997M11,92.00,1.58,87.69,0.77,89.41,0.57,94.82,1.37,90.26,0.51,84.38,-0.87
1997M12,91.93,1.69,87.72,1.07,89.41,0.86,94.70,1.44,90.22,0.83,84.44,0.04
1998M01,92.98,2.87,88.59,2.03,90.32,2.06,95.83,2.97,91.10,2.04,85.47,2.13
1998M02,91.22,-0.05,87.43,-0.27,89.07,-0.36,93.87,-0.16,89.77,-0.31,84.81,0.07
1998M03,91.22,1.21,87.35,0.82,88.98,0.78,93.87,1.19,89.71,0.84,85.43,2.72
1998M04,92.13,0.99,88.22,0.98,89.94,1.04,94.90,1.05,90.73,1.15,85.71,2.21
1998M05,92.18,0.60,88.30,0.46,90.03,0.50,94.98,0.69,90.80,0.54,85.37,1.69
1998M06,92.44,0.45,88.56,0.19,90.07,0.18,94.91,0.43,90.78,0.15,86.86,1.41
1998M07,91.79,0.61,88.28,0.64,89.80,0.66,94.24,0.65,90.47,0.68,86.16,0.71
1998M08,91.35,0.61,88.08,0.82,89.63,0.88,93.82,0.67,90.30,0.87,85.65,0.23
1998M09,91.68,0.13,88.70,1.01,90.33,1.11,94.23,0.19,91.02,1.08,86.26,0.20
1998M10,92.04,0.48,88.97,1.82,90.91,2.04,95.03,0.68,91.61,1.92,87.11,2.89
1998M11,92.41,0.45,89.13,1.64,91.16,1.96,95.54,0.76,91.91,1.83,88.19,4.52
1998M12,92.38,0.49,89.01,1.47,91.05,1.83,95.54,0.89,91.77,1.72,86.40,2.32
1999M01,91.77,-1.30,88.70,0.12,90.76,0.49,94.93,-0.94,91.45,0.38,85.65,0.21
1999M02,93.11,2.07,89.84,2.76,92.02,3.31,96.45,2.75,92.71,3.28,86.75,2.29
1999M03,91.36,0.15,88.31,1.10,90.37,1.56,94.51,0.68,91.04,1.48,84.74,-0.81
1999M04,92.48,0.38,89.19,1.10,91.29,1.50,95.71,0.85,92.02,1.42,85.48,-0.27
1999M05,92.43,0.27,89.17,0.99,91.22,1.32,95.59,0.64,91.91,1.22,85.77,0.47
1999M06,92.77,0.36,89.60,1.17,91.41,1.49,95.59,0.72,92.06,1.41,85.88,-1.13
1999M07,92.09,0.33,89.09,0.92,90.83,1.15,94.78,0.57,91.45,1.08,85.21,-1.10
1999M08,92.06,0.78,89.13,1.19,90.81,1.32,94.67,0.91,91.41,1.23,86.77,1.31
1999M09,92.45,0.84,89.38,0.77,91.07,0.82,95.08,0.90,91.68,0.73,86.84,0.67
1999M10,92.99,1.03,89.73,0.85,91.70,0.87,96.04,1.06,92.35,0.81,87.50,0.45
1999M11,93.15,0.80,89.79,0.74,91.72,0.61,96.16,0.65,92.39,0.52,87.19,-1.13
1999M12,93.08,0.76,89.63,0.70,91.48,0.47,95.99,0.47,92.15,0.41,86.53,0.15
2000M01,92.67,0.98,89.33,0.71,91.13,0.41,95.50,0.60,91.74,0.32,86.19,0.63
2000M02,94.34,1.32,90.60,0.85,92.47,0.49,97.31,0.89,93.04,0.36,87.76,1.16
2000M03,92.61,1.37,89.29,1.11,90.99,0.69,95.30,0.84,91.53,0.54,85.91,1.38
2000M04,93.90,1.54,90.24,1.18,91.90,0.67,96.57,0.90,92.48,0.50,86.79,1.53
2000M05,93.91,1.60,90.30,1.27,91.96,0.81,96.57,1.03,92.52,0.66,87.42,1.92
2000M06,94.31,1.66,90.66,1.18,92.07,0.72,96.61,1.07,92.62,0.61,87.31,1.67
2000M07,93.71,1.76,90.20,1.25,91.52,0.76,95.89,1.17,92.07,0.68,86.72,1.77
2000M08,93.34,1.39,89.89,0.85,91.23,0.46,95.53,0.91,91.81,0.44,87.06,0.33
2000M09,94.24,1.94,90.52,1.28,91.85,0.86,96.45,1.44,92.46,0.85,88.48,1.89
2000M10,94.84,1.99,90.89,1.29,92.43,0.80,97.36,1.37,93.14,0.86,88.51,1.15
2000M11,94.87,1.85,90.90,1.24,92.44,0.78,97.40,1.29,93.16,0.83,89.53,2.68
2000M12,94.69,1.73,90.63,1.12,92.16,0.74,97.20,1.26,92.93,0.85,88.22,1.95
2001M01,95.90,3.49,91.54,2.47,93.14,2.21,98.55,3.19,93.89,2.34,88.63,2.83
2001M02,93.94,-0.42,90.10,-0.55,91.58,-0.96,96.38,-0.96,92.29,-0.81,86.60,-1.32
2001M03,93.92,1.41,90.06,0.86,91.54,0.60,96.35,1.10,92.30,0.84,86.32,0.48
2001M04,94.68,0.83,90.67,0.48,92.22,0.35,97.22,0.67,92.99,0.55,87.23,0.51
2001M05,94.60,0.73,90.58,0.31,92.14,0.20,97.16,0.61,92.93,0.44,87.20,-0.25
2001M06,94.57,0.28,90.50,-0.18,91.80,-0.29,96.78,0.18,92.57,-0.05,87.15,-0.18
2001M07,94.09,0.41,90.09,-0.12,91.43,-0.10,96.36,0.49,92.15,0.09,86.83,0.13
2001M08,93.73,0.42,89.87,-0.02,91.21,-0.02,95.96,0.45,91.92,0.12,87.54,0.55
2001M09,93.55,-0.73,89.75,-0.85,91.07,-0.85,95.75,-0.73,91.77,-0.75,88.00,-0.54
2001M10,94.33,-0.54,90.30,-0.65,91.92,-0.55,96.98,-0.39,92.69,-0.48,89.64,1.28
2001M11,94.24,-0.66,90.24,-0.73,91.88,-0.61,96.90,-0.51,92.66,-0.54,88.38,-1.28
2001M12,93.68,-1.07,89.82,-0.89,91.54,-0.67,96.46,-0.76,92.33,-0.65,86.54,-1.90
2002M01,93.72,-2.27,90.41,-1.23,92.23,-0.98,96.57,-2.01,93.02,-0.93,86.97,-1.87
2002M02,95.10,1.23,91.56,1.62,93.48,2.07,98.11,1.79,94.23,2.10,88.29,1.95
2002M03,93.17,-0.80,90.01,-0.06,91.81,0.29,95.96,-0.40,92.59,0.31,86.52,0.23
2002M04,94.39,-0.31,90.97,0.33,92.76,0.59,97.20,-0.02,93.60,0.66,87.60,0.42
2002M05,94.26,-0.36,90.87,0.32,92.61,0.51,97.00,-0.16,93.40,0.51,87.10,-0.11
2002M06,94.41,-0.17,90.98,0.53,92.60,0.87,96.98,0.21,93.38,0.88,87.44,0.33
2002M07,93.74,-0.37,90.51,0.47,92.10,0.73,96.26,-0.10,92.82,0.73,87.46,0.73
2002M08,93.39,-0.36,90.20,0.37,91.73,0.57,95.82,-0.15,92.48,0.61,87.44,-0.11
2002M09,93.76,0.22,90.49,0.82,91.98,1.00,96.15,0.42,92.76,1.08,87.38,-0.70
2002M10,94.42,0.10,90.95,0.72,92.63,0.77,97.09,0.11,93.43,0.80,88.00,-1.83
2002M11,94.39,0.16,90.94,0.78,92.55,0.73,96.95,0.05,93.34,0.73,87.97,-0.46
2002M12,94.13,0.48,90.64,0.91,92.22,0.74,96.66,0.21,93.01,0.74,87.54,1.16
2003M01,94.53,0.86,91.01,0.66,92.55,0.35,97.01,0.46,93.30,0.30,88.34,1.58
2003M02,93.55,-1.63,90.32,-1.35,91.78,-1.82,95.89,-2.26,92.50,-1.84,86.84,-1.64
2003M03,93.60,0.46,90.31,0.33,91.63,-0.20,95.75,-0.22,92.36,-0.25,86.52,0.00
2003M04,94.49,0.11,91.06,0.10,92.60,-0.17,96.96,-0.25,93.35,-0.27,87.70,0.11
2003M05,94.04,-0.23,90.68,-0.21,92.27,-0.37,96.57,-0.44,92.98,-0.45,87.64,0.62
2003M06,93.71,-0.74,90.38,-0.66,91.76,-0.91,95.93,-1.08,92.44,-1.01,87.05,-0.45
2003M07,93.27,-0.50,90.03,-0.53,91.36,-0.80,95.43,-0.86,92.04,-0.84,86.62,-0.96
2003M08,93.24,-0.16,90.04,-0.18,91.29,-0.48,95.29,-0.55,91.99,-0.53,87.02,-0.48
2003M09,93.40,-0.38,90.18,-0.34,91.41,-0.62,95.42,-0.76,92.11,-0.70,87.36,-0.02
2003M10,93.78,-0.68,90.50,-0.49,91.99,-0.69,96.17,-0.95,92.73,-0.75,88.14,0.16
2003M11,93.80,-0.63,90.50,-0.48,92.05,-0.54,96.27,-0.70,92.80,-0.58,87.67,-0.34
2003M12,93.65,-0.51,90.41,-0.25,91.93,-0.31,96.08,-0.60,92.68,-0.35,87.66,0.14
