期間,上市公司-家數_原始值,上市公司-家數_年增率(%),上市公司-資本額_原始值,上市公司-資本額_年增率(%),上市公司-上市面值_原始值,上市公司-上市面值_年增率(%),上市公司-上市公司市值_原始值,上市公司-上市公司市值_年增率(%),上櫃公司-家數_原始值,上櫃公司-家數_年增率(%),上櫃公司-資本額_原始值,上櫃公司-資本額_年增率(%),上櫃公司-上櫃面值_原始值,上櫃公司-上櫃面值_年增率(%),上櫃公司-上櫃市值_原始值,上櫃公司-上櫃市值_年增率(%),其他公開發行公司-家數_原始值,其他公開發行公司-家數_年增率(%),其他公開發行公司-家數-興櫃股票_原始值,其他公開發行公司-家數-興櫃股票_年增率(%),其他公開發行公司-資本額_原始值,其他公開發行公司-資本額_年增率(%),其他公開發行公司-資本額-興櫃股票_原始值,其他公開發行公司-資本額-興櫃股票_年增率(%)
1998M08,419,...,"2,609.63",...,"2,439.06",...,"7,811.21",...,160,...,395.42,...,395.42,...,929.26,...,"1,761",...,...,...,"1,466.66",...,...,...
1998M09,421,...,"2,630.37",...,"2,535.07",...,"8,451.57",...,161,...,401.46,...,400.46,...,955.25,...,"1,774",...,...,...,"1,470.51",...,...,...
1998M10,428,...,"2,686.86",...,"2,651.15",...,"9,237.62",...,157,...,362.76,...,361.76,...,932.09,...,"1,792",...,...,...,"1,442.97",...,...,...
1998M11,431,...,"2,712.95",...,"2,668.13",...,"9,255.87",...,159,...,351.95,...,350.95,...,870.56,...,"1,810",...,...,...,"1,539.29",...,...,...
1998M12,437,...,"2,734.07",...,"2,696.66",...,"8,392.61",...,176,...,381.39,...,381.39,...,887.63,...,"1,810",...,...,...,"1,518.79",...,...,...
1999M01,445,...,"2,767.08",...,"2,730.56",...,"8,129.54",...,184,...,372.08,...,365.23,...,811.85,...,"1,817",...,...,...,"1,529.11",...,...,...
1999M02,447,...,"2,783.09",...,"2,749.68",...,"8,451.97",...,187,...,364.00,...,360.82,...,841.26,...,"1,810",...,...,...,"1,522.65",...,...,...
1999M03,451,...,"2,794.79",...,"2,763.96",...,"9,305.67",...,198,...,372.05,...,369.31,...,896.38,...,"1,802",...,...,...,"1,510.76",...,...,...
1999M04,450,...,"2,793.83",...,"2,772.38",...,"10,050.75",...,208,...,383.00,...,378.33,...,966.80,...,"1,813",...,...,...,"1,514.18",...,...,...
1999M05,454,...,"2,813.10",...,"2,781.02",...,"9,956.87",...,218,...,420.95,...,415.46,...,"1,078.26",...,"1,819",...,...,...,"1,517.06",...,...,...
1999M06,455,...,"2,880.36",...,"2,789.90",...,"10,714.07",...,223,...,432.81,...,411.54,...,"1,113.23",...,"1,851",...,...,...,"1,522.48",...,...,...
1999M07,454,...,"2,992.64",...,"2,799.16",...,"9,754.92",...,226,...,455.76,...,418.84,...,"1,014.09",...,"1,984",...,...,...,"1,595.28",...,...,...
1999M08,454,8.35,"3,035.79",16.33,"2,877.42",17.97,"10,515.43",34.62,228,42.50,471.46,19.23,437.51,10.64,"1,143.77",23.08,"1,988",12.89,...,...,"1,594.72",8.73,...,...
1999M09,456,8.31,"3,061.58",16.39,"2,967.57",17.06,"10,212.52",20.84,233,44.72,463.85,15.54,438.09,9.40,"1,094.96",14.63,"1,990",12.18,...,...,"1,608.85",9.41,...,...
1999M10,458,7.01,"3,088.25",14.94,"3,020.85",13.94,"10,755.40",16.43,244,55.41,489.21,34.86,459.45,27.00,"1,201.26",28.88,"1,997",11.44,...,...,"1,590.55",10.23,...,...
1999M11,461,6.96,"3,097.00",14.16,"3,054.28",14.47,"10,724.79",15.87,251,57.86,497.64,41.40,482.39,37.45,"1,288.55",48.01,"2,008",10.94,...,...,"1,596.32",3.70,...,...
1999M12,462,5.72,"3,083.02",12.76,"3,056.54",13.35,"11,803.52",40.64,264,50.00,513.76,34.71,504.96,32.40,"1,468.44",65.43,"2,018",11.49,...,...,"1,609.63",5.98,...,...
2000M01,464,4.27,"3,108.59",12.34,"3,084.41",12.96,"13,985.51",72.03,274,48.91,519.18,39.53,512.95,40.45,"1,798.82",121.57,"2,027",11.56,...,...,"1,606.68",5.07,...,...
2000M02,463,3.58,"3,104.09",11.53,"3,083.10",12.13,"13,550.71",60.33,280,49.73,532.65,46.33,526.59,45.94,"1,892.06",124.91,"2,029",12.10,...,...,"1,606.48",5.51,...,...
2000M03,470,4.21,"3,113.99",11.42,"3,099.00",12.12,"14,223.30",52.85,283,42.93,565.94,52.11,559.38,51.47,"2,327.16",159.62,"2,027",12.49,...,...,"1,572.73",4.10,...,...
