期間,日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%)
2010M07,"1,433,335",3.14,"194,848",3.05,"1,238,487",3.15,"983,900",10.80,"1,178,976",9.44,"195,076",3.05,"2,417,235",6.12,"1,487,355",5.26,"201,953",4.08,"1,285,402",5.44,"964,717",10.42,"1,166,913",9.26,"202,196",4.05,"2,452,072",7.23
2010M08,"1,446,039",5.17,"194,025",3.13,"1,252,014",5.49,"982,031",9.83,"1,176,273",8.66,"194,242",3.12,"2,428,070",7.00,"1,461,885",5.37,"199,295",1.95,"1,262,590",5.93,"961,496",9.58,"1,160,995",8.18,"199,499",1.93,"2,423,381",7.00
2010M09,"1,439,974",4.02,"194,639",2.88,"1,245,335",4.20,"986,428",10.57,"1,181,294",9.23,"194,866",2.87,"2,426,402",6.59,"1,484,012",6.84,"200,209",4.31,"1,283,803",7.25,"968,511",10.13,"1,168,941",9.08,"200,430",4.29,"2,452,523",8.12
2010M10,"1,443,617",4.14,"194,714",3.17,"1,248,903",4.29,"989,329",9.95,"1,184,263",8.77,"194,934",3.16,"2,432,946",6.42,"1,473,986",6.55,"201,898",4.10,"1,272,088",6.95,"973,089",9.81,"1,175,221",8.78,"202,132",4.09,"2,447,075",7.82
2010M11,"1,440,716",4.36,"195,501",3.25,"1,245,215",4.54,"993,492",9.35,"1,189,217",8.30,"195,725",3.24,"2,434,208",6.34,"1,464,651",7.49,"204,265",3.06,"1,260,386",8.25,"975,090",8.72,"1,179,588",7.69,"204,498",3.07,"2,439,741",7.98
2010M12,"1,452,743",4.01,"195,714",2.42,"1,257,029",4.26,"1,001,859",9.25,"1,197,786",8.06,"195,927",2.40,"2,454,602",6.08,"1,505,930",8.24,"208,775",-0.53,"1,297,155",9.79,"995,853",9.12,"1,204,824",7.31,"208,971",-0.55,"2,501,783",8.59
2011M01,"1,528,313",8.95,"277,863",34.56,"1,250,450",4.52,"1,069,616",14.22,"1,347,714",17.89,"278,098",34.51,"2,597,929",11.06,"1,583,344",9.32,"320,101",20.28,"1,263,243",6.86,"1,265,273",35.43,"1,585,623",32.06,"320,350",20.25,"2,848,617",19.56
2011M02,"1,534,477",8.75,"260,255",-15.33,"1,274,222",15.45,"1,199,109",8.77,"1,459,601",3.51,"260,492",-15.34,"2,733,586",8.76,"1,572,272",11.82,"231,623",-7.23,"1,340,649",15.93,"1,103,916",4.20,"1,335,779",2.01,"231,863",-7.26,"2,676,188",8.55
2011M03,"1,515,664",8.24,"209,432",-0.40,"1,306,232",9.76,"1,093,045",7.84,"1,302,698",6.41,"209,653",-0.45,"2,608,709",8.07,"1,591,049",12.32,"212,678",4.06,"1,378,371",13.71,"1,068,530",9.41,"1,281,457",8.48,"212,927",4.02,"2,659,579",11.13
2011M04,"1,529,108",9.20,"207,486",4.93,"1,321,622",9.90,"1,082,194",9.28,"1,289,915",8.54,"207,721",4.88,"2,611,302",9.23,"1,581,818",6.88,"219,548",8.63,"1,362,270",6.60,"1,062,144",9.81,"1,281,933",9.60,"219,789",8.59,"2,643,962",8.04
