期間,批發、零售及餐飲業_原始值,批發、零售及餐飲業_年增率(%),批發業_原始值,批發業_年增率(%),零售業_原始值,零售業_年增率(%),餐飲業_原始值,餐飲業_年增率(%)
2006M09,"1,002,932",5.85,"724,574",8.06,"254,043",-0.08,"24,315",6.93
2006M10,"1,011,640",5.72,"717,591",6.23,"268,446",4.18,"25,603",7.90
2006M11,"1,028,507",5.59,"738,128",6.11,"266,431",4.21,"23,948",5.00
2006M12,"1,041,602",5.43,"734,900",6.61,"279,966",2.11,"26,736",9.16
2007M01,"1,039,422",7.61,"733,233",12.74,"278,711",-3.29,"27,477",0.41
2007M02,"907,844",3.30,"619,271",0.25,"260,331",10.05,"28,243",15.01
2007M03,"1,023,241",4.67,"743,704",5.90,"254,066",0.92,"25,472",8.09
2007M04,"1,003,322",4.77,"721,025",6.11,"257,772",1.41,"24,526",2.59
2007M05,"1,025,184",7.11,"733,771",9.05,"266,171",2.53,"25,242",2.31
2007M06,"1,029,567",3.68,"736,478",4.20,"266,285",2.03,"26,804",6.27
2007M07,"1,072,789",8.24,"760,489",10.06,"284,378",4.10,"27,922",3.73
2007M08,"1,068,951",9.48,"771,377",10.70,"270,667",6.68,"26,908",4.07
2007M09,"1,066,516",6.34,"777,168",7.26,"264,054",3.94,"25,294",4.02
2007M10,"1,109,462",9.67,"801,678",11.72,"281,520",4.87,"26,264",2.58
2007M11,"1,082,196",5.22,"778,312",5.44,"278,926",4.69,"24,958",4.22
2007M12,"1,131,548",8.64,"808,608",10.03,"294,674",5.25,"28,266",5.72
2008M01,"1,160,273",11.63,"832,100",13.48,"298,777",7.20,"29,397",6.99
2008M02,"984,024",8.39,"684,554",10.54,"269,117",3.37,"30,354",7.48
2008M03,"1,101,315",7.63,"812,312",9.23,"261,402",2.89,"27,600",8.36
2008M04,"1,091,997",8.84,"800,066",10.96,"265,927",3.16,"26,004",6.03
2008M05,"1,110,420",8.31,"809,822",10.36,"273,120",2.61,"27,478",8.86
2008M06,"1,090,907",5.96,"797,546",8.29,"265,941",-0.13,"27,420",2.30
2008M07,"1,107,411",3.23,"807,289",6.15,"272,582",-4.15,"27,540",-1.37
2008M08,"1,104,864",3.36,"812,790",5.37,"263,950",-2.48,"28,125",4.52
2008M09,"1,082,218",1.47,"805,957",3.70,"251,962",-4.58,"24,300",-3.93
2008M10,"1,073,243",-3.26,"776,039",-3.20,"271,906",-3.42,"25,297",-3.68
2008M11,"958,906",-11.39,"674,600",-13.33,"259,474",-6.97,"24,831",-0.51
2008M12,"944,137",-16.56,"652,503",-19.31,"265,322",-9.96,"26,312",-6.91
2009M01,"938,376",-19.12,"607,664",-26.97,"299,909",0.38,"30,803",4.78
2009M02,"896,766",-8.87,"628,040",-8.26,"241,169",-10.38,"27,557",-9.22
2009M03,"969,395",-11.98,"688,553",-15.24,"253,459",-3.04,"27,383",-0.79
2009M04,"986,153",-9.69,"702,536",-12.19,"257,150",-3.30,"26,467",1.78
2009M05,"976,558",-12.06,"681,440",-15.85,"266,227",-2.52,"28,892",5.14
2009M06,"1,040,586",-4.61,"749,680",-6.00,"263,591",-0.88,"27,315",-0.38
2009M07,"1,078,566",-2.60,"775,410",-3.95,"275,861",1.20,"27,295",-0.89
2009M08,"1,082,739",-2.00,"779,341",-4.12,"275,384",4.33,"28,014",-0.39
2009M09,"1,090,914",0.80,"802,930",-0.38,"263,047",4.40,"24,937",2.62
2009M10,"1,114,792",3.87,"802,694",3.43,"286,410",5.33,"25,688",1.54
2009M11,"1,094,708",14.16,"786,280",16.56,"283,277",9.17,"25,151",1.29
2009M12,"1,125,054",19.16,"795,594",21.93,"302,662",14.07,"26,798",1.85
2010M01,"1,065,906",13.59,"759,508",24.99,"278,070",-7.28,"28,328",-8.04
2010M02,"984,937",9.83,"672,275",7.04,"281,514",16.73,"31,149",13.04
2010M03,"1,106,113",14.10,"807,203",17.23,"270,677",6.79,"28,233",3.10
2010M04,"1,110,368",12.60,"802,947",14.29,"279,504",8.69,"27,917",5.48
2010M05,"1,116,030",14.28,"798,702",17.21,"286,207",7.51,"31,120",7.71
2010M06,"1,144,448",9.98,"832,938",11.11,"282,351",7.12,"29,160",6.75
