期間,累計買賣超金額 (新臺幣億元)_投信,累計買賣超金額 (新臺幣億元)_自營商,累計買賣超金額 (新臺幣億元)_外資,交易金額比重(%)_投信,交易金額比重(%)_自營商,交易金額比重(%)_外資
2002,69,23,279,4.1,1.9,7.6
2003,-57,298,"5,490",4.1,2.7,10.7
2004,-141,-154,"2,840",3.0,3.4,12.5
2005,-863,169,"7,194",3.4,4.1,17.9
2006,-543,69,"5,581",2.7,3.4,18.4
