期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),國庫券_原始值,國庫券_年增率(%),國庫券_原始值,國庫券_年增率(%),國庫券_原始值,國庫券_年增率(%),商業本票_原始值,商業本票_年增率(%),商業本票_原始值,商業本票_年增率(%),商業本票_原始值,商業本票_年增率(%),銀行承兌匯票_原始值,銀行承兌匯票_年增率(%),銀行承兌匯票_原始值,銀行承兌匯票_年增率(%),銀行承兌匯票_原始值,銀行承兌匯票_年增率(%),可轉讓定期存單_原始值,可轉讓定期存單_年增率(%),可轉讓定期存單_原始值,可轉讓定期存單_年增率(%),可轉讓定期存單_原始值,可轉讓定期存單_年增率(%)
1997M01,"905,555",25.94,"902,874",34.57,"1,752,883",20.47,0,-100.00,0,--,"15,000",-36.58,"714,084",55.79,"693,725",62.34,"1,115,616",64.41,"134,713",-8.93,"137,781",13.40,"265,291",-11.76,"56,758",-39.67,"71,368",-41.54,"356,976",-21.05
1997M02,"582,516",-3.75,"573,167",-6.12,"1,762,232",21.55,0,--,0,--,"15,000",-36.58,"448,925",12.67,"440,232",7.93,"1,124,309",68.04,"81,706",-30.12,"87,602",-30.53,"259,395",-11.03,"51,885",-42.25,"45,333",-40.76,"363,528",-21.91
1997M03,"868,356",21.64,"828,113",15.59,"1,802,475",24.55,0,-100.00,0,--,"15,000",-55.42,"686,420",41.91,"644,772",37.48,"1,165,957",70.51,"129,456",-9.56,"110,832",-20.34,"278,019",-5.94,"52,480",-31.83,"72,509",-33.05,"343,499",-20.89
1997M04,"813,447",-10.53,"863,935",5.42,"1,751,987",14.00,0,--,"15,000",-4.46,0,-100.00,"665,356",3.25,"660,852",20.73,"1,170,461",49.90,"99,616",-38.89,"123,618",-21.16,"254,017",-15.82,"48,475",-52.36,"64,465",-35.29,"327,509",-24.94
1997M05,"877,233",-5.62,"847,555",1.52,"1,781,665",9.20,0,--,0,-100.00,0,-100.00,"716,830",15.01,"674,302",21.19,"1,212,989",43.09,"94,790",-52.66,"104,966",-34.52,"243,841",-28.64,"65,613",-38.10,"68,287",-37.63,"324,835",-24.95
1997M06,"811,709",13.76,"870,778",25.56,"1,722,596",4.30,"15,000",50.00,0,--,"15,000",-22.28,"668,175",36.13,"709,309",54.76,"1,171,855",33.13,"61,666",-54.35,"99,550",-33.14,"205,957",-37.19,"66,868",-13.82,"61,919",-28.28,"329,784",-22.24
1997M07,"853,314",7.87,"847,749",17.74,"1,728,161",0.32,"22,320",-25.60,0,--,"37,320",-24.30,"685,702",30.60,"683,532",39.73,"1,174,025",28.15,"74,096",-54.63,"90,586",-37.25,"189,467",-45.37,"71,196",-2.08,"73,631",-14.87,"327,349",-20.22
1997M08,"863,153",4.76,"947,112",10.78,"1,644,202",-2.80,0,-100.00,0,-100.00,"37,320",-31.27,"698,072",19.88,"792,916",36.94,"1,079,181",17.38,"51,562",-68.69,"82,587",-55.76,"158,442",-51.22,"113,519",83.25,"71,609",-9.63,"369,259",-6.05
1997M09,"975,436",20.19,"920,251",19.57,"1,699,387",-2.00,0,--,"15,000",61.29,"22,320",-50.40,"739,386",25.34,"712,457",32.10,"1,106,110",14.04,"54,863",-63.37,"70,448",-54.64,"142,857",-55.26,"181,187",151.99,"122,346",86.22,"428,100",7.06
1997M10,"1,278,491",64.47,"1,119,491",42.76,"1,858,387",7.59,0,-100.00,"11,850",-60.50,"10,470",-65.10,"979,103",75.09,"861,385",65.51,"1,223,828",21.33,"88,741",-38.15,"75,818",-50.84,"155,780",-49.52,"210,647",253.08,"170,438",114.34,"468,309",23.23
1997M11,"1,073,284",17.66,"1,097,111",24.45,"1,834,560",4.36,0,--,"10,470",-30.20,0,-100.00,"779,472",12.81,"808,929",29.35,"1,194,371",11.18,"74,438",-51.38,"90,213",-45.65,"140,005",-52.65,"219,374",222.00,"187,499",149.40,"500,184",34.11
1997M12,"1,446,350",54.44,"1,238,672",31.18,"2,042,238",16.69,"20,000",--,0,--,"20,000",33.33,"1,090,562",50.03,"988,433",40.02,"1,296,500",18.37,"73,084",-46.18,"81,184",-50.24,"131,905",-50.85,"262,704",256.01,"169,055",124.88,"593,833",59.81
1998M01,"998,355",10.25,"1,106,745",22.58,"1,933,848",10.32,0,--,0,--,"20,000",33.33,"843,880",18.18,"937,651",35.16,"1,202,729",7.81,"60,169",-55.34,"64,553",-53.15,"127,521",-51.93,"94,306",66.15,"104,541",46.48,"583,598",63.48
1998M02,"1,161,123",99.33,"966,750",68.67,"2,128,221",20.77,0,--,"4,070",--,"15,930",6.20,"947,915",111.15,"745,984",69.45,"1,404,661",24.94,"57,653",-29.44,"49,098",-43.95,"136,076",-47.54,"155,555",199.81,"167,598",269.70,"571,554",57.22
1998M03,"1,370,571",57.84,"1,278,871",54.43,"2,219,921",23.16,0,--,0,--,"15,930",6.20,"1,114,991",62.44,"992,392",53.91,"1,527,260",30.99,"70,924",-45.21,"71,432",-35.55,"135,568",-51.24,"184,656",251.86,"215,047",196.58,"541,163",57.54
1998M04,"1,232,561",51.52,"1,163,733",34.70,"2,288,749",30.64,0,--,0,-100.00,"15,930",--,"1,022,967",53.75,"964,837",46.00,"1,585,389",35.45,"62,724",-37.03,"66,666",-46.07,"131,627",-48.18,"146,870",202.98,"132,230",105.12,"555,803",69.71
1998M05,"1,054,949",20.26,"1,065,806",25.75,"2,277,894",27.85,0,--,"15,930",--,0,--,"871,618",21.59,"824,224",22.23,"1,632,784",34.61,"51,566",-45.60,"56,884",-45.81,"126,309",-48.20,"131,765",100.82,"168,768",147.15,"518,801",59.71
1998M06,"1,134,260",39.74,"1,120,930",28.73,"2,291,224",33.01,0,-100.00,0,--,0,-100.00,"881,363",31.91,"905,226",27.62,"1,608,921",37.30,"45,345",-26.47,"56,137",-43.61,"115,517",-43.91,"207,552",210.39,"159,567",157.70,"566,786",71.87
1998M07,"1,180,536",38.35,"1,076,552",26.99,"2,395,209",38.60,0,-100.00,0,--,0,-100.00,"965,733",40.84,"885,442",29.54,"1,689,213",43.88,"44,428",-40.04,"42,239",-53.37,"117,706",-37.88,"170,375",139.30,"148,871",102.19,"588,290",79.71
1998M08,"1,094,222",26.77,"1,027,249",8.46,"2,462,181",49.75,0,--,0,--,0,-100.00,"918,569",31.59,"876,621",10.56,"1,731,160",60.41,"40,217",-22.00,"47,084",-42.99,"110,839",-30.04,"135,436",19.31,"103,544",44.60,"620,182",67.95
1998M09,"1,131,000",15.95,"1,058,320",15.00,"2,534,860",49.16,0,--,0,-100.00,0,-100.00,"983,967",33.08,"880,426",23.58,"1,834,701",65.87,"20,007",-63.53,"41,420",-41.20,"89,426",-37.40,"127,026",-29.89,"136,474",11.55,"610,733",42.66
