期間,合計_原始值,合計_年增率(%),小型車_原始值,小型車_年增率(%),大客貨車_原始值,大客貨車_年增率(%),聯結車_原始值,聯結車_年增率(%),每日平均通行車輛數_原始值,每日平均通行車輛數_年增率(%)
2006,"574,713",0.16,"480,595",0.30,"55,241",-2.19,"38,877",1.81,"1,575",0.16
2007,"569,643",-0.88,"475,503",-1.06,"54,348",-1.62,"39,792",2.35,"1,561",-0.88
2008,"543,548",-4.58,"453,932",-4.54,"50,348",-7.36,"39,269",-1.31,"1,485",-4.84
