期間,境外外國機構投資人-申請登記件數_原始值,境外外國機構投資人-申請登記件數_年增率(%),境外外國機構投資人-完成登記件數_原始值,境外外國機構投資人-完成登記件數_年增率(%),境外外國機構投資人-累積匯入淨額_原始值,境外外國機構投資人-累積匯入淨額_年增率(%),境外華僑及外國自然人-申請登記件數_原始值,境外華僑及外國自然人-申請登記件數_年增率(%),境外華僑及外國自然人-完成登記件數_原始值,境外華僑及外國自然人-完成登記件數_年增率(%),境外華僑及外國自然人-累積匯入淨額_原始值,境外華僑及外國自然人-累積匯入淨額_年增率(%),合計數-總完成登記件數_原始值,合計數-總完成登記件數_年增率(%),合計數-總累積匯入淨額_原始值,合計數-總累積匯入淨額_年增率(%),合計數-持有股票市值占總市值比例(%)_原始值,合計數-持有股票市值占總市值比例(%)_年增率(%)
2009M03,92,-37.84,92,-37.84,"1,236.20",-19.47,1,-50.00,1,-50.00,0.76,11.76,93,-38.00,"1,236.96",-19.45,28.82,-
2009M04,66,-57.96,66,-57.96,"1,264.90",-17.48,0,--,0,--,0.76,11.76,66,-57.96,"1,265.66",-17.47,29.42,-
2009M05,83,-41.55,83,-41.55,"1,334.52",-11.74,0,-100.00,0,-100.00,0.76,5.56,83,-42.36,"1,335.28",-11.73,29.63,-
2009M06,107,-32.70,107,-32.70,"1,343.35",-10.42,0,-100.00,0,-100.00,0.76,4.11,107,-33.54,"1,344.11",-10.42,29.66,-
2009M07,103,-21.97,103,-21.97,"1,367.27",-5.16,1,-50.00,1,-50.00,0.76,4.11,104,-22.39,"1,368.03",-5.15,30.49,-
2009M08,94,-40.51,94,-40.51,"1,364.25",-1.99,3,200.00,3,200.00,0.76,2.70,97,-38.99,"1,365.01",-1.98,30.91,-
2009M09,101,8.60,101,8.60,"1,434.91",7.12,2,100.00,2,100.00,0.76,1.33,103,9.57,"1,435.67",7.12,30.42,-
2009M10,103,-8.85,103,-8.85,"1,463.38",15.74,1,--,1,--,0.76,1.33,104,-7.96,"1,464.14",15.73,29.96,-
2009M11,102,29.11,102,29.11,"1,483.38",19.68,3,0.00,3,0.00,0.76,0.00,105,28.05,"1,484.14",19.67,29.80,-
2009M12,90,-15.09,90,-15.09,"1,509.03",21.02,2,100.00,2,100.00,0.76,0.00,92,-14.02,"1,509.79",21.01,30.05,-
2010M01,90,66.67,90,66.67,"1,541.39",25.53,3,200.00,3,200.00,0.90,18.42,93,69.09,"1,542.29",25.53,30.16,-
2010M02,90,16.88,90,16.88,"1,522.34",24.61,1,0.00,1,0.00,0.96,26.32,91,16.67,"1,523.30",24.61,29.53,-
2010M03,154,67.39,154,67.39,"1,558.12",26.04,3,200.00,3,200.00,0.96,26.32,157,68.82,"1,559.08",26.04,29.81,-
2010M04,110,66.67,110,66.67,"1,604.43",26.84,3,--,3,--,0.95,25.00,113,71.21,"1,605.38",26.84,30.06,-
2010M05,115,38.55,115,38.55,"1,581.31",18.49,2,--,2,--,0.95,25.00,117,40.96,"1,582.26",18.50,29.90,-
2010M06,118,10.28,118,10.28,"1,588.25",18.23,9,--,9,--,0.96,26.32,127,18.69,"1,589.21",18.24,29.67,-
2010M07,126,22.33,126,22.33,"1,579.88",15.55,3,200.00,3,200.00,0.96,26.32,129,24.04,"1,580.84",15.56,30.67,-
2010M08,123,30.85,123,30.85,"1,553.36",13.86,5,66.67,5,66.67,0.97,27.63,128,31.96,"1,554.33",13.87,29.90,-
2010M09,113,11.88,113,11.88,"1,576.87",9.89,9,350.00,9,350.00,0.97,27.63,122,18.45,"1,577.84",9.90,30.25,-
2010M10,104,0.97,104,0.97,"1,598.77",9.25,19,"1,800.00",19,"1,800.00",0.99,30.26,123,18.27,"1,599.76",9.26,30.09,-
2010M11,145,42.16,145,42.16,"1,612.73",8.72,14,366.67,14,366.67,1.03,35.53,159,51.43,"1,613.76",8.73,30.95,-
2010M12,119,32.22,119,32.22,"1,656.49",9.77,10,400.00,10,400.00,1.09,43.42,129,40.22,"1,657.58",9.79,31.19,-
2011M01,117,30.00,117,30.00,"1,689.49",9.61,6,100.00,6,100.00,1.40,55.56,123,32.26,"1,690.89",9.64,31.61,-
2011M02,134,48.89,134,48.89,"1,702.38",11.83,12,"1,100.00",12,"1,100.00",1.41,46.88,146,60.44,"1,703.79",11.85,31.98,-
2011M03,156,1.30,156,1.30,"1,706.97",9.55,5,66.67,5,66.67,1.41,46.88,161,2.55,"1,708.38",9.58,31.91,-
2011M04,114,3.64,114,3.64,"1,711.68",6.68,5,66.67,5,66.67,1.36,43.16,119,5.31,"1,713.04",6.71,31.39,-
2011M05,116,0.87,116,0.87,"1,691.39",6.96,1,-50.00,1,-50.00,1.34,41.05,117,0.00,"1,692.73",6.98,31.04,-
2011M06,148,25.42,148,25.42,"1,611.21",1.45,7,-22.22,7,-22.22,1.30,35.42,155,22.05,"1,612.51",1.47,31.11,-
2011M07,130,3.17,130,3.17,"1,569.93",-0.63,11,266.67,11,266.67,1.54,60.42,141,9.30,"1,571.47",-0.59,30.74,-
2011M08,146,18.70,146,18.70,"1,574.32",1.35,0,-100.00,0,-100.00,1.36,40.21,146,14.06,"1,575.68",1.37,30.78,-
2011M09,125,10.62,125,10.62,"1,554.86",-1.40,40,344.44,40,344.44,3.10,219.59,165,35.25,"1,557.96",-1.26,30.97,-
