期間,合計_原始值,合計_年增率(%),貼現_原始值,貼現_年增率(%),進口押匯_原始值,進口押匯_年增率(%),短期放款與透支-計_原始值,短期放款與透支-計_年增率(%),短期放款與透支-無擔保_原始值,短期放款與透支-無擔保_年增率(%),短期放款與透支-擔保_原始值,短期放款與透支-擔保_年增率(%),中長期放款-計_原始值,中長期放款-計_年增率(%),中長期放款-無擔保_原始值,中長期放款-無擔保_年增率(%),中長期放款-擔保_原始值,中長期放款-擔保_年增率(%)
2010M01,"17,603,328",1.97,311,29.05,"1,543","1,086.92","4,058,652",-1.15,"2,698,972",-3.00,"1,359,680",2.74,"13,542,822",2.94,"4,087,790",0.05,"9,455,032",4.24
2010M02,"17,600,986",3.16,273,11.89,"1,570",851.52,"4,066,388",4.07,"2,695,423",3.34,"1,370,965",5.56,"13,532,755",2.88,"4,053,925",-1.08,"9,478,830",4.67
2010M03,"17,558,910",3.22,439,38.92,"1,414","2,042.42","4,011,197",3.56,"2,608,556",1.40,"1,402,641",7.83,"13,545,860",3.12,"4,002,616",-1.56,"9,543,244",5.21
2010M04,"17,656,681",3.92,391,56.40,"1,089","1,777.59","4,112,384",6.79,"2,697,334",5.37,"1,415,050",9.60,"13,542,817",3.06,"3,952,189",-2.68,"9,590,628",5.63
2010M05,"17,876,975",5.36,467,131.19,"2,383","1,761.72","4,272,278",11.53,"2,828,271",11.29,"1,444,007",12.02,"13,601,847",3.54,"3,628,308",-10.12,"9,973,539",9.59
2010M06,"17,946,273",5.49,453,69.03,"1,557",262.94,"4,288,805",11.36,"2,804,703",11.73,"1,484,102",10.67,"13,655,458",3.77,"3,643,015",-9.21,"10,012,443",9.46
2010M07,"18,075,185",6.06,508,65.47,"1,885",99.26,"4,395,871",12.51,"2,920,883",11.73,"1,474,988",14.09,"13,676,921",4.13,"3,635,953",-8.21,"10,040,968",9.46
2010M08,"18,244,615",6.35,400,94.17,"1,611",358.97,"4,463,187",11.31,"2,987,758",9.98,"1,475,429",14.09,"13,779,417",4.83,"3,664,411",-6.73,"10,115,006",9.76
2010M09,"18,269,525",6.25,394,169.86,"1,536",-6.06,"4,429,433",10.67,"2,931,105",8.91,"1,498,328",14.29,"13,838,162",4.90,"3,669,237",-6.64,"10,168,925",9.80
2010M10,"18,352,039",7.18,558,226.32,"1,925",10.25,"4,548,125",15.65,"3,040,455",15.88,"1,507,670",15.17,"13,801,431",4.66,"3,600,163",-7.16,"10,201,268",9.58
2010M11,"18,430,201",6.80,559,140.95,"1,975",28.41,"4,554,069",14.33,"3,038,071",14.92,"1,515,998",13.16,"13,873,598",4.53,"3,584,750",-9.04,"10,288,848",10.27
2010M12,"18,735,529",6.73,296,51.02,"1,733",24.77,"4,528,700",11.25,"2,934,402",10.89,"1,594,298",11.91,"14,204,800",5.36,"3,823,266",-5.97,"10,381,534",10.26
2011M01,"19,067,816",8.32,402,29.26,"1,639",6.22,"4,727,765",16.49,"3,166,117",17.31,"1,561,648",14.85,"14,338,010",5.87,"3,862,373",-5.51,"10,475,637",10.79
2011M02,"19,084,320",8.43,400,46.52,"1,811",15.35,"4,672,969",14.92,"3,119,281",15.73,"1,553,688",13.33,"14,409,140",6.48,"3,861,532",-4.75,"10,547,608",11.28
