期間,定期存款--合計_原始值,定期存款--合計_年增率(%),定期存款--合計_原始值,定期存款--合計_年增率(%),定期存款--民營企業_原始值,定期存款--民營企業_年增率(%),定期存款--民營企業_原始值,定期存款--民營企業_年增率(%),定期存款--個人~未滿6個月_原始值,定期存款--個人~未滿6個月_年增率(%),定期存款--個人~未滿6個月_原始值,定期存款--個人~未滿6個月_年增率(%),定期存款--其他_原始值,定期存款--其他_年增率(%),定期存款--其他_原始值,定期存款--其他_年增率(%),定期儲蓄存款--合計_原始值,定期儲蓄存款--合計_年增率(%),定期儲蓄存款--合計_原始值,定期儲蓄存款--合計_年增率(%),定期儲存存款--國軍同袍儲蓄會(一戶)_原始值,定期儲存存款--國軍同袍儲蓄會(一戶)_年增率(%),定期儲存存款--國軍同袍儲蓄會(一戶)_原始值,定期儲存存款--國軍同袍儲蓄會(一戶)_年增率(%),定期儲蓄存款--退休及退役人員存款_原始值,定期儲蓄存款--退休及退役人員存款_年增率(%),定期儲蓄存款--退休及退役人員存款_原始值,定期儲蓄存款--退休及退役人員存款_年增率(%),定期儲蓄存款--個人_原始值,定期儲蓄存款--個人_年增率(%),定期儲蓄存款--個人_原始值,定期儲蓄存款--個人_年增率(%),定期儲蓄存款--其他_原始值,定期儲蓄存款--其他_年增率(%),定期儲蓄存款--其他_原始值,定期儲蓄存款--其他_年增率(%)
2005M09,"1,519,602",15.38,"2,972,752",10.33,"244,995",4.53,"1,225,080",10.88,"1,164,278",18.49,"936,898",17.79,"110,329",10.17,"810,775",2.10,"8,973,148",3.10,"7,006,532",6.13,-,-,"13,894",-4.45,"389,329",2.74,"426,883",3.94,"8,286,408",3.10,"4,687,391",6.91,"297,411",3.51,"1,878,364",4.82
2005M10,"1,527,721",14.24,"2,990,233",11.14,"245,336",4.19,"1,222,788",12.42,"1,171,619",17.19,"936,210",16.66,"110,766",8.56,"831,235",3.88,"8,985,924",2.91,"7,033,040",5.90,-,-,"13,824",-4.93,"388,763",2.65,"426,602",3.90,"8,300,236",2.92,"4,712,631",7.18,"296,925",3.02,"1,879,982",3.33
2005M11,"1,529,969",12.80,"3,010,541",9.25,"246,075",4.67,"1,235,684",13.19,"1,173,746",15.18,"939,632",11.60,"110,148",7.74,"835,224",1.61,"9,001,316",3.30,"7,043,852",5.78,-,-,"13,824",-2.79,"388,476",2.56,"426,659",3.87,"8,314,930",3.35,"4,625,815",5.14,"297,910",2.76,"1,977,554",7.81
2005M12,"1,523,446",11.36,"3,007,509",6.67,"244,685",3.32,"1,252,747",11.57,"1,146,194",11.41,"935,883",8.28,"132,567",29.52,"818,880",-1.62,"9,031,199",3.64,"7,068,609",5.70,-,-,"13,724",-3.43,"388,886",2.55,"427,506",3.97,"8,343,519",3.72,"4,762,617",7.89,"298,794",2.84,"1,864,762",0.92
2006M01,"1,531,377",10.98,"3,085,796",9.33,"245,292",3.58,"1,313,205",16.29,"1,176,568",13.06,"931,329",6.32,"109,517",6.96,"841,262",2.96,"9,069,275",4.02,"7,101,818",5.86,-,-,"13,691",-4.33,"389,516",2.43,"428,818",3.86,"8,380,557",4.13,"4,788,479",8.02,"299,202",3.10,"1,870,830",1.20
2006M02,"1,545,287",8.36,"3,126,721",7.92,"245,714",3.22,"1,312,360",15.27,"1,189,186",9.69,"932,620",1.96,"110,387",6.28,"881,742",4.47,"9,133,582",3.94,"7,149,137",5.91,-,-,"13,691",-4.33,"391,397",1.99,"432,217",3.69,"8,442,786",4.08,"4,816,609",7.76,"299,399",2.67,"1,886,620",2.02
2006M03,"1,552,208",6.86,"3,073,660",4.79,"244,292",1.67,"1,302,657",9.77,"1,197,560",8.17,"918,129",0.57,"110,356",4.95,"852,874",2.32,"9,138,243",3.56,"7,163,044",5.32,-,-,"13,691",-3.66,"390,979",1.68,"431,756",3.38,"8,448,042",3.70,"4,821,476",7.05,"299,222",2.14,"1,896,122",1.65
2006M04,"1,546,508",5.84,"3,050,365",2.85,"243,508",0.56,"1,305,047",7.83,"1,192,707",7.13,"910,973",-1.12,"110,293",4.38,"834,346",0.01,"9,116,051",2.92,"7,169,822",4.94,-,-,"13,491",-4.39,"390,650",1.73,"431,388",3.52,"8,427,490",3.03,"4,816,051",6.04,"297,911",1.41,"1,908,891",2.63
2006M05,"1,546,992",5.92,"3,081,046",3.47,"242,411",-0.47,"1,317,670",7.27,"1,188,523",7.06,"900,014",0.18,"116,058",8.62,"863,362",1.45,"9,216,566",3.84,"7,214,260",5.30,-,-,"13,409",-4.97,"389,966",1.72,"430,706",3.53,"8,527,779",4.02,"4,866,311",6.56,"298,821",1.49,"1,903,833",2.68
2006M06,"1,555,294",6.26,"3,120,131",1.83,"246,369",1.18,"1,391,132",7.49,"1,195,138",7.41,"879,231",-2.93,"113,787",5.87,"849,768",-1.68,"9,185,829",3.16,"7,191,131",4.40,-,-,"13,409",-4.36,"389,590",1.65,"430,361",3.45,"8,497,504",3.30,"4,850,855",5.48,"298,735",1.15,"1,896,506",2.00
2006M07,"1,747,036",17.84,"3,527,530",17.72,"269,157",10.13,"1,561,737",24.52,"1,359,457",20.27,"1,021,230",10.75,"118,422",9.80,"944,563",15.14,"9,677,731",8.36,"7,515,726",8.65,-,-,"13,409",-4.23,"391,068",1.58,"431,749",3.18,"8,979,311",8.83,"5,118,975",10.61,"307,352",4.01,"1,951,592",5.11
2006M08,"1,761,406",17.10,"3,485,202",18.42,"270,451",10.64,"1,527,888",26.08,"1,371,307",19.23,"1,034,418",11.24,"119,648",9.08,"922,895",15.18,"9,698,297",8.23,"7,532,087",8.09,-,-,"5,235",-62.48,"394,560",1.29,"434,274",1.74,"8,996,345",8.71,"5,133,688",10.11,"307,392",3.78,"1,958,890",5.00
2006M09,"1,774,247",16.76,"3,490,730",17.42,"270,107",10.25,"1,520,154",24.09,"1,383,194",18.80,"1,036,565",10.64,"120,946",9.62,"934,010",15.20,"9,694,283",8.04,"7,535,139",7.54,-,-,965,-93.05,"394,422",1.31,"433,616",1.58,"8,993,870",8.54,"5,133,599",9.52,"305,991",2.88,"1,966,957",4.72
