期間,資產淨額=負債淨值淨額_原始值,資產淨額=負債淨值淨額_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款-計_原始值,資產--放款-計_年增率(%),資產--放款-政府機關_原始值,資產--放款-政府機關_年增率(%),資產--放款-公營事業_原始值,資產--放款-公營事業_年增率(%),資產--放款-民間部門_原始值,資產--放款-民間部門_年增率(%),資產--對非金融機構證券投資-政府債券_原始值,資產--對非金融機構證券投資-政府債券_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--通貨發行額_原始值,負債與淨值--通貨發行額_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-計_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-計_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-支票存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-支票存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-活期存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-活期存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-活期儲蓄存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-活期儲蓄存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-定期存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-定期存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-定期儲蓄存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-定期儲蓄存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-外匯存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-外匯存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-郵政儲金_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-郵政儲金_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-貨幣市場共同基金_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-貨幣市場共同基金_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--信託資金_原始值,負債與淨值--信託資金_年增率(%),負債與淨值--人壽保險準備_原始值,負債與淨值--人壽保險準備_年增率(%),負債與淨值--金融債券_原始值,負債與淨值--金融債券_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%),負債與淨值--其他項目(淨額)_原始值,負債與淨值--其他項目(淨額)_年增率(%)
2005M09,"35,192,973",9.86,"12,173,097",12.13,"17,740,457",8.62,"1,807,634",-1.09,"538,917",19.28,"15,393,906",9.54,"2,600,393",9.49,"123,523",-1.65,"1,641,777",5.05,"482,062",43.76,"235,420",-8.22,"196,244",4.07,"1,982,685",36.91,"902,519",8.50,"22,354,128",6.31,"304,834",-0.73,"1,778,037",6.19,"4,691,365",5.05,"2,961,683",7.11,"7,689,485",4.75,"1,306,990",9.29,"3,620,995",10.45,739,-,"1,004,337",6.00,"1,782,355",14.56,"5,499,143",17.80,"784,206",20.73,"3,283,172",-0.87,"-2,399,572",--
2005M10,"35,323,400",10.16,"12,271,627",12.98,"17,695,345",8.27,"1,720,322",-5.96,"540,694",20.59,"15,434,329",9.73,"2,621,130",8.41,"123,253",3.39,"1,671,342",8.74,"512,175",48.35,"235,236",-8.39,"193,292",5.58,"1,927,517",31.32,"904,878",8.54,"22,320,425",6.14,"302,919",-8.74,"1,710,504",6.22,"4,660,598",4.29,"2,953,973",6.85,"7,719,973",4.91,"1,338,047",11.66,"3,633,680",10.25,731,-56.38,"972,745",2.03,"1,804,707",13.41,"5,556,958",17.67,"785,114",16.80,"3,488,786",5.81,"-2,437,730",--
2005M11,"35,513,868",10.44,"12,282,623",14.15,"17,828,799",7.50,"1,742,911",-8.35,"544,449",22.09,"15,541,439",9.16,"2,640,097",10.24,"126,397",-0.30,"1,664,709",11.11,"536,463",55.17,"239,244",-6.25,"195,536",3.38,"1,870,592",29.87,"910,571",8.04,"22,546,950",6.89,"304,981",2.73,"1,737,408",4.63,"4,742,445",6.61,"2,970,392",5.39,"7,735,967",4.91,"1,405,302",18.57,"3,649,214",10.31,"1,241",-53.93,"954,373",1.08,"1,831,177",14.79,"5,621,227",17.51,"797,863",17.75,"3,414,855",11.59,"-2,433,740",--
2005M12,"36,024,614",10.74,"12,382,522",15.58,"18,166,221",7.80,"1,782,204",-7.05,"557,852",22.30,"15,826,165",9.30,"2,652,754",8.31,"129,381",6.51,"1,677,872",7.03,"583,053",52.76,"239,726",-6.87,"193,085",2.42,"1,988,874",43.13,"922,910",7.70,"22,990,663",6.82,"383,098",19.79,"1,869,647",4.55,"4,888,036",6.49,"2,992,000",5.03,"7,758,841",4.81,"1,437,043",15.45,"3,660,395",10.05,"1,603",7.30,"931,901",0.72,"1,856,404",17.04,"5,704,484",17.05,"811,192",14.41,"3,058,557",7.49,"-2,240,371",--
2006M01,"36,332,867",10.52,"12,132,030",11.96,"18,271,206",8.33,"1,894,509",-2.58,"565,780",24.13,"15,810,917",9.30,"2,751,290",11.40,"127,959",4.22,"1,913,230",19.59,"602,576",55.60,"240,801",-5.34,"293,775",-13.46,"1,827,204",23.77,"1,319,028",23.54,"23,016,776",6.71,"384,148",13.77,"1,592,717",-5.72,"4,962,900",8.03,"3,052,963",6.69,"7,791,463",4.93,"1,441,596",17.80,"3,788,857",10.25,"2,132",92.77,"819,892",-8.38,"1,882,084",16.70,"5,788,612",16.83,"814,232",12.61,"3,187,572",12.94,"-2,322,533",--
2006M02,"36,463,214",11.22,"12,298,417",14.13,"18,259,468",8.09,"1,929,915",-2.97,"570,595",22.47,"15,758,958",9.15,"2,807,070",11.78,"144,641",16.91,"1,877,569",16.60,"620,097",56.64,"241,832",-5.77,"214,120",-1.92,"1,882,530",31.12,"1,007,411",0.84,"23,171,245",6.95,"349,168",7.64,"1,824,344",14.10,"4,833,905",3.01,"3,057,811",4.72,"7,836,351",4.87,"1,470,771",24.50,"3,796,497",9.27,"2,398",136.49,"849,430",-3.47,"1,942,126",20.13,"5,846,518",16.59,"818,567",12.57,"3,240,887",20.32,"-2,295,500",--
2006M03,"36,411,092",9.57,"12,250,764",10.65,"18,220,028",6.63,"1,923,647",-4.99,"565,680",25.12,"15,730,701",7.66,"2,848,294",13.08,"144,880",21.35,"1,924,995",19.20,"574,947",56.13,"249,695",-2.55,"197,489",1.17,"1,772,183",10.53,"960,058",4.49,"23,151,947",6.18,"293,688",-0.49,"1,777,686",4.36,"4,837,828",4.06,"3,043,777",2.58,"7,854,457",4.42,"1,520,209",29.20,"3,821,450",9.50,"2,852",206.34,"858,908",-2.93,"2,004,499",21.65,"5,904,977",16.02,"822,430",12.53,"3,302,983",15.81,"-2,366,893",--
2006M04,"36,598,555",9.55,"12,293,834",9.59,"18,256,996",6.81,"1,921,483",-2.24,"573,143",26.17,"15,762,370",7.42,"2,858,687",12.15,"141,433",17.73,"2,009,345",25.06,"587,549",59.84,"249,571",-2.27,"201,140",1.65,"1,739,654",-4.88,"959,806",4.96,"23,342,919",7.09,"341,537",3.36,"1,718,132",5.75,"4,947,070",7.56,"3,045,829",1.40,"7,859,922",4.06,"1,582,847",34.56,"3,844,752",9.61,"2,830",232.16,"870,709",2.21,"2,074,440",23.75,"5,960,555",15.62,"844,959",14.82,"3,214,150",15.70,"-2,408,637",--
2006M05,"36,850,344",9.67,"12,372,693",10.13,"18,356,290",6.20,"1,858,901",-4.43,"584,294",25.25,"15,913,095",6.99,"2,916,112",14.97,"151,679",29.60,"1,988,014",24.78,"618,229",60.81,"250,017",-2.13,"197,310",1.42,"1,749,858",-3.69,"951,898",5.70,"23,298,329",7.14,"347,942",18.55,"1,740,514",7.77,"4,881,784",6.43,"3,068,242",2.33,"7,831,562",3.43,"1,566,392",33.64,"3,859,129",10.02,"2,764",244.64,"922,799",2.74,"2,117,009",24.83,"6,009,827",14.68,"857,697",15.48,"3,237,961",18.70,"-2,295,034",--
2006M06,"37,121,063",9.15,"12,602,263",10.35,"18,384,485",5.30,"1,723,580",-8.48,"599,642",27.33,"16,061,263",6.34,"2,963,221",15.24,"150,035",30.91,"1,953,058",23.73,"619,768",47.80,"252,672",-1.55,"195,561",2.54,"1,833,567",2.44,"942,519",4.88,"23,380,143",5.24,"309,207",-1.07,"1,848,984",3.43,"4,806,148",3.10,"3,129,068",1.36,"7,805,885",2.75,"1,604,619",28.69,"3,873,371",9.98,"2,861",269.16,"980,891",0.46,"2,147,896",26.34,"6,070,613",14.39,"873,008",12.11,"3,322,874",20.00,"-2,430,448",--
